GPU acceleration enabled
Loading Setup File: setup_files/dynamic_1.py
using given n: 0
Starting SourceModule Code
Getting function
Past the SourceModule code
CUDAC Available
Running Nested Sampling
-initializing models
-Running dynesty dynamic sampler
iter: 76 | batch: 0 | bound: 0 | nc: 25 | ncall: 411 | eff(%): 17.234 | logz: -78506.197 +/-  0.465 | dlogz: 75715.201 >  5.000 
iter: 77 | batch: 0 | bound: 0 | nc: 1 | ncall: 412 | eff(%): 17.421 | logz: -77348.277 +/-  0.466 | dlogz: 73503.009 >  5.000 
iter: 78 | batch: 0 | bound: 0 | nc: 5 | ncall: 417 | eff(%): 17.450 | logz: -74221.921 +/-  0.467 | dlogz: 72345.056 >  5.000 
iter: 79 | batch: 0 | bound: 0 | nc: 10 | ncall: 427 | eff(%): 17.287 | logz: -73699.519 +/-  0.468 | dlogz: 69218.667 >  5.000 
iter: 80 | batch: 0 | bound: 0 | nc: 11 | ncall: 438 | eff(%): 17.094 | logz: -71650.208 +/-  0.469 | dlogz: 68696.232 >  5.000 
iter: 81 | batch: 0 | bound: 0 | nc: 16 | ncall: 454 | eff(%): 16.736 | logz: -71000.779 +/-  0.470 | dlogz: 66646.889 >  5.000 
iter: 82 | batch: 0 | bound: 0 | nc: 4 | ncall: 458 | eff(%): 16.803 | logz: -70280.417 +/-  0.472 | dlogz: 65997.426 >  5.000 
iter: 83 | batch: 0 | bound: 0 | nc: 17 | ncall: 475 | eff(%): 16.436 | logz: -68601.087 +/-  0.473 | dlogz: 65277.032 >  5.000 
iter: 84 | batch: 0 | bound: 0 | nc: 3 | ncall: 478 | eff(%): 16.535 | logz: -67662.313 +/-  0.474 | dlogz: 63597.669 >  5.000 
iter: 85 | batch: 0 | bound: 0 | nc: 9 | ncall: 487 | eff(%): 16.441 | logz: -65852.587 +/-  0.475 | dlogz: 62658.863 >  5.000 
iter: 86 | batch: 0 | bound: 0 | nc: 4 | ncall: 491 | eff(%): 16.507 | logz: -60879.896 +/-  0.476 | dlogz: 60849.104 >  5.000 
iter: 87 | batch: 0 | bound: 0 | nc: 36 | ncall: 527 | eff(%): 15.619 | logz: -60203.078 +/-  0.477 | dlogz: 55876.380 >  5.000 
iter: 88 | batch: 0 | bound: 0 | nc: 7 | ncall: 534 | eff(%): 15.603 | logz: -57933.327 +/-  0.478 | dlogz: 55199.529 >  5.000 
iter: 89 | batch: 0 | bound: 0 | nc: 10 | ncall: 544 | eff(%): 15.505 | logz: -57118.850 +/-  0.480 | dlogz: 52929.745 >  5.000 
iter: 90 | batch: 0 | bound: 0 | nc: 7 | ncall: 551 | eff(%): 15.491 | logz: -57080.342 +/-  0.481 | dlogz: 52115.235 >  5.000 
iter: 91 | batch: 0 | bound: 0 | nc: 35 | ncall: 586 | eff(%): 14.773 | logz: -55084.028 +/-  0.482 | dlogz: 52076.695 >  5.000 
iter: 92 | batch: 0 | bound: 0 | nc: 72 | ncall: 658 | eff(%): 13.372 | logz: -54813.260 +/-  0.483 | dlogz: 50080.348 >  5.000 
iter: 93 | batch: 0 | bound: 0 | nc: 40 | ncall: 698 | eff(%): 12.775 | logz: -49614.021 +/-  0.484 | dlogz: 49809.547 >  5.000 
iter: 94 | batch: 0 | bound: 0 | nc: 19 | ncall: 717 | eff(%): 12.584 | logz: -48007.955 +/-  0.485 | dlogz: 46545.515 >  5.000 
iter: 95 | batch: 0 | bound: 0 | nc: 67 | ncall: 784 | eff(%): 11.671 | logz: -46476.134 +/-  0.486 | dlogz: 44939.417 >  5.000 
iter: 96 | batch: 0 | bound: 0 | nc: 51 | ncall: 835 | eff(%): 11.098 | logz: -42806.585 +/-  0.487 | dlogz: 43407.563 >  5.000 
iter: 97 | batch: 0 | bound: 0 | nc: 31 | ncall: 866 | eff(%): 10.826 | logz: -40691.863 +/-  0.488 | dlogz: 39737.981 >  5.000 
iter: 98 | batch: 0 | bound: 0 | nc: 48 | ncall: 914 | eff(%): 10.381 | logz: -38567.001 +/-  0.490 | dlogz: 37623.227 >  5.000 
iter: 99 | batch: 0 | bound: 0 | nc: 42 | ncall: 956 | eff(%): 10.041 | logz: -37135.080 +/-  0.491 | dlogz: 35498.331 >  5.000 
iter: 100 | batch: 0 | bound: 0 | nc: 2 | ncall: 958 | eff(%): 10.121 | logz: -36545.100 +/-  0.492 | dlogz: 34066.378 >  5.000 
iter: 101 | batch: 0 | bound: 0 | nc: 105 | ncall: 1063 | eff(%):  9.241 | logz: -36068.413 +/-  0.493 | dlogz: 33476.365 >  5.000 
iter: 102 | batch: 0 | bound: 1 | nc: 2 | ncall: 1065 | eff(%):  9.315 | logz: -35383.281 +/-  0.494 | dlogz: 32999.645 >  5.000 
iter: 103 | batch: 0 | bound: 1 | nc: 1 | ncall: 1066 | eff(%):  9.398 | logz: -35191.217 +/-  0.495 | dlogz: 32314.480 >  5.000 
iter: 104 | batch: 0 | bound: 1 | nc: 9 | ncall: 1075 | eff(%):  9.412 | logz: -34388.642 +/-  0.496 | dlogz: 32122.384 >  5.000 
iter: 105 | batch: 0 | bound: 1 | nc: 17 | ncall: 1092 | eff(%):  9.358 | logz: -33859.101 +/-  0.497 | dlogz: 31319.776 >  5.000 
iter: 106 | batch: 0 | bound: 2 | nc: 5 | ncall: 1097 | eff(%):  9.406 | logz: -33725.749 +/-  0.498 | dlogz: 30790.202 >  5.000 
iter: 107 | batch: 0 | bound: 2 | nc: 14 | ncall: 1111 | eff(%):  9.378 | logz: -32428.325 +/-  0.499 | dlogz: 30656.818 >  5.000 
iter: 108 | batch: 0 | bound: 3 | nc: 2 | ncall: 1113 | eff(%):  9.449 | logz: -31361.057 +/-  0.500 | dlogz: 29359.361 >  5.000 
iter: 109 | batch: 0 | bound: 3 | nc: 9 | ncall: 1122 | eff(%):  9.462 | logz: -30989.676 +/-  0.501 | dlogz: 28292.059 >  5.000 
iter: 110 | batch: 0 | bound: 3 | nc: 1 | ncall: 1123 | eff(%):  9.540 | logz: -28142.660 +/-  0.503 | dlogz: 27920.646 >  5.000 
iter: 111 | batch: 0 | bound: 3 | nc: 3 | ncall: 1126 | eff(%):  9.602 | logz: -26751.323 +/-  0.504 | dlogz: 25073.597 >  5.000 
iter: 112 | batch: 0 | bound: 3 | nc: 5 | ncall: 1131 | eff(%):  9.647 | logz: -26622.066 +/-  0.505 | dlogz: 23682.227 >  5.000 
iter: 113 | batch: 0 | bound: 4 | nc: 9 | ncall: 1140 | eff(%):  9.658 | logz: -26454.532 +/-  0.506 | dlogz: 23552.937 >  5.000 
iter: 114 | batch: 0 | bound: 4 | nc: 8 | ncall: 1148 | eff(%):  9.677 | logz: -24493.689 +/-  0.507 | dlogz: 23385.371 >  5.000 
iter: 115 | batch: 0 | bound: 4 | nc: 4 | ncall: 1152 | eff(%):  9.729 | logz: -24369.964 +/-  0.508 | dlogz: 21424.495 >  5.000 
iter: 116 | batch: 0 | bound: 5 | nc: 2 | ncall: 1154 | eff(%):  9.797 | logz: -23980.097 +/-  0.509 | dlogz: 21300.737 >  5.000 
iter: 117 | batch: 0 | bound: 5 | nc: 2 | ncall: 1156 | eff(%):  9.865 | logz: -23945.288 +/-  0.510 | dlogz: 20910.837 >  5.000 
iter: 118 | batch: 0 | bound: 5 | nc: 1 | ncall: 1157 | eff(%):  9.941 | logz: -23752.706 +/-  0.511 | dlogz: 20875.995 >  5.000 
iter: 119 | batch: 0 | bound: 5 | nc: 6 | ncall: 1163 | eff(%):  9.975 | logz: -23422.504 +/-  0.512 | dlogz: 20683.381 >  5.000 
iter: 120 | batch: 0 | bound: 5 | nc: 5 | ncall: 1168 | eff(%): 10.017 | logz: -22946.418 +/-  0.513 | dlogz: 20727.039 >  5.000 
iter: 121 | batch: 0 | bound: 5 | nc: 7 | ncall: 1175 | eff(%): 10.041 | logz: -22735.388 +/-  0.514 | dlogz: 20250.920 >  5.000 
iter: 122 | batch: 0 | bound: 6 | nc: 5 | ncall: 1180 | eff(%): 10.083 | logz: -22543.732 +/-  0.515 | dlogz: 20039.857 >  5.000 
iter: 123 | batch: 0 | bound: 7 | nc: 25 | ncall: 1205 | eff(%):  9.960 | logz: -22240.111 +/-  0.516 | dlogz: 19848.169 >  5.000 
iter: 124 | batch: 0 | bound: 8 | nc: 21 | ncall: 1226 | eff(%):  9.873 | logz: -21881.334 +/-  0.517 | dlogz: 19544.515 >  5.000 
