logz,logdust,logNpix,logage,lnprob,N_walkers
-0.3199,-1.9678,3.7043,8.8898,-768960.2597,32
-0.3717,-2.0920,3.5593,8.8007,-727902.2436,32
-0.3798,-2.1116,3.5365,8.7867,-722824.1684,32
-0.3798,-2.1116,3.5365,8.7867,-722824.1684,32
-0.3798,-2.1116,3.5365,8.7867,-722824.1684,32
-0.3798,-2.1116,3.5365,8.7867,-722824.1684,32
-0.4461,-2.2707,3.3509,8.6727,-659557.4999,32
-0.4461,-2.2707,3.3509,8.6727,-659557.4999,32
-0.7051,-2.8923,2.6257,8.2272,-282316.0089,32
-0.7051,-2.8923,2.6257,8.2272,-282316.0089,32
-0.7051,-2.8923,2.6257,8.2272,-282316.0089,32
-0.7051,-2.8923,2.6257,8.2272,-282316.0089,32
-0.7051,-2.8923,2.6257,8.2272,-282316.0089,32
-0.7051,-2.8923,2.6257,8.2272,-282316.0089,32
-0.7051,-2.8923,2.6257,8.2272,-282316.0089,32
-0.7051,-2.8923,2.6257,8.2272,-282316.0089,32
-0.8443,-3.2263,2.2360,7.9878,-132229.1250,32
-0.8639,-3.2733,2.1812,7.9542,-127724.5881,32
-0.9148,-3.3956,2.0385,7.8665,-127294.2287,32
-0.9148,-3.3956,2.0385,7.8665,-127294.2287,32
-0.9148,-3.3956,2.0385,7.8665,-127294.2287,32
-0.9148,-3.3956,2.0385,7.8665,-127294.2287,32
-0.9148,-3.3956,2.0385,7.8665,-127294.2287,32
-0.9148,-3.3956,2.0385,7.8665,-127294.2287,32
-0.9148,-3.3956,2.0385,7.8665,-127294.2287,32
-0.9148,-3.3956,2.0385,7.8665,-127294.2287,32
-0.9148,-3.3956,2.0385,7.8665,-127294.2287,32
-0.9148,-3.3956,2.0385,7.8665,-127294.2287,32
-0.9148,-3.3956,2.0385,7.8665,-127294.2287,32
-0.9148,-3.3956,2.0385,7.8665,-127294.2287,32
-0.9148,-3.3956,2.0385,7.8665,-127294.2287,32
-0.9148,-3.3956,2.0385,7.8665,-127294.2287,32
-0.9148,-3.3956,2.0385,7.8665,-127294.2287,32
-0.9148,-3.3956,2.0385,7.8665,-127294.2287,32
-0.9148,-3.3956,2.0385,7.8665,-127294.2287,32
-0.9148,-3.3956,2.0385,7.8665,-127294.2287,32
-0.9148,-3.3956,2.0385,7.8665,-127294.2287,32
-0.9148,-3.3956,2.0385,7.8665,-127294.2287,32
-0.9148,-3.3956,2.0385,7.8665,-127294.2287,32
-0.9148,-3.3956,2.0385,7.8665,-127294.2287,32
-0.9148,-3.3956,2.0385,7.8665,-127294.2287,32
-0.9148,-3.3956,2.0385,7.8665,-127294.2287,32
-0.9148,-3.3956,2.0385,7.8665,-127294.2287,32
-0.9148,-3.3956,2.0385,7.8665,-127294.2287,32
-0.9148,-3.3956,2.0385,7.8665,-127294.2287,32
-0.9148,-3.3956,2.0385,7.8665,-127294.2287,32
-0.9148,-3.3956,2.0385,7.8665,-127294.2287,32
-0.9148,-3.3956,2.0385,7.8665,-127294.2287,32
