"N_scale: 1024, log_Npix: 0","N_scale: 1024, log_Npix: 2","N_scale: 1024, log_Npix: 4","N_scale: 128, log_Npix: 0","N_scale: 128, log_Npix: 2","N_scale: 128, log_Npix: 4","N_scale: 2048, log_Npix: 0","N_scale: 2048, log_Npix: 2","N_scale: 2048, log_Npix: 4","N_scale: 256, log_Npix: 0","N_scale: 256, log_Npix: 2","N_scale: 256, log_Npix: 4","N_scale: 512, log_Npix: 0","N_scale: 512, log_Npix: 2","N_scale: 512, log_Npix: 4"
-9135.913469800858,-2629.9832663182565,-277.29463149101707,-1652.3860928456315,-1011.0335381160494,-207.78151375139805,-12060.74882659126,-3211.0262113637077,-222.07623999441347,-3549.3795706184665,-1567.1458428657504,-112.70461007467513,-8493.244218228778,-2245.6284107561055,-182.07383629394985
-6832.76731388235,-2687.677627967805,-251.95027844543378,-2459.334021536101,-979.5622077520782,-148.3795590475044,-10524.404260182924,-3117.8892657525894,-220.4742487838176,-3201.010236012604,-1740.3337963608235,-191.85851532166768,-8875.512613839097,-2289.776460451219,-114.12936434672066
-7306.712930829459,-2534.6327198127096,-235.74336894882634,-1703.872760527331,-929.5036985164154,-238.52001811408007,-10419.273352509355,-3507.125984534369,-346.77421405039547,-3237.453370719114,-1379.1919201934002,-121.48334348584515,-6717.429281761891,-2446.4784259388707,-178.93458160455788
-9946.516454983,-2794.3666279703207,-259.4058911139437,-4607.13896939894,-898.9096421424013,-192.57103076603536,-10666.281194140412,-3144.0833329959673,-184.59123662775767,-2826.885588176057,-1893.1655405515003,-155.33231106815657,-9667.081066630642,-2164.6579949714514,-318.28760797681093
-10351.878146289668,-2820.279989562353,-249.62600901689802,-1926.4964609775518,-984.070970866514,-136.1268670035152,-9423.533658395058,-3211.7245309457276,-217.5759010441283,-2838.2300608263026,-1687.3414318906052,-191.00863674726295,-8184.6523794036375,-2136.978211916696,-353.97363587193837
-10267.32961353165,-2917.2437002966803,-182.9934691510107,-2147.2459244882066,-1214.4727271569004,-175.50714169126275,-9730.253256129892,-3133.8180950428273,-235.6112407769087,-3413.6201881198044,-1858.7436814445743,-175.69550422123433,-8677.561977597145,-2221.8323217422258,-140.4524952828907
-9437.0648156541,-2911.142441876049,-222.35535502209194,-1583.5255736195938,-798.4025167996275,-155.57980363851183,-10517.750322977137,-2988.013656540664,-223.96727428189627,-2696.850155941206,-1535.6554901014388,-131.15498871240845,-9000.370338795567,-2178.5873609063747,-210.39768860929095
-7500.667600537427,-2707.4882638726535,-238.77123208954276,-3252.242402915803,-1016.0975099748256,-122.08009619618791,-9386.843334941785,-3414.2147596757536,-277.9663804944938,-6952.96861066361,-2343.8005008852383,-112.82160630629764,-5443.589231358764,-2096.755820893591,-177.66788407629292
-11830.276863498146,-2753.7655212121913,-276.45616737384347,-1619.316950808081,-1300.920326849546,-193.6216750598314,-9606.792408703277,-3286.7435183691705,-167.72722810289403,-3765.709122179043,-1432.2667080489948,-128.2292338027758,-8295.6399268774,-2365.2341441253566,-201.46103711623772
-10036.401268572734,-2464.654328236572,-176.6939705573963,-1588.6003120572182,-810.190590396617,-92.54865279828093,-10891.36972728434,-3203.965106605923,-169.8362620680278,-7581.578557099069,-1531.0225398763505,-160.60529266115435,-7024.474332869401,-2165.6844973206403,-211.99225309021992
-8668.201970224125,-2621.299274150878,-211.79624805417936,-2120.6255943001747,-778.5032675630135,-120.96391110155929,-11568.186647146846,-3238.332767047702,-173.37910046736627,-2764.2609247812875,-2530.3058307424362,-187.54269006061588,-7432.62055298049,-2515.2254538284606,-143.4357825670099
-7838.250993652914,-2694.35065370701,-253.23117266887112,-1871.2390493400069,-1038.1327493853692,-215.46919644866128,-9910.170350324843,-3067.2447207642945,-220.8342153740467,-5096.545287462314,-2679.925133493269,-245.40293839881227,-9583.313681219352,-2183.9501143128196,-144.73164991588052
-8873.448142164088,-2963.036603451383,-332.76686615265123,-1998.8789563826754,-893.143977829279,-120.83548821594613,-10094.42186691431,-3159.5834637997823,-351.3131913125496,-3443.1474562775934,-2003.0891245609923,-199.27789811110492,-7864.648599116968,-2129.9759059612634,-172.75034890061835
-9317.243893150313,-2616.816336385098,-329.3016849928735,-2114.290432839164,-806.6969662270319,-143.89301040992328,-9557.147825885444,-3111.733279357297,-194.1082478786007,-2550.801069638444,-2001.1428527609846,-133.27875341764891,-8302.343637788372,-2086.381965627305,-109.14808199012262
-9742.821620142184,-2618.4450480813266,-181.2213442597056,-1641.05894178612,-1075.8045476283062,-360.56067005545214,-10611.103459483771,-3216.105452728243,-179.4235070835714,-4021.271316868523,-1811.7804097195722,-125.45374879004481,-6646.025803874347,-2144.838169283899,-140.88026415373338
-9109.71786045421,-2577.466928120665,-259.0769282873556,-1758.3906079920841,-968.4961027175183,-199.66661873866053,-10711.460166928056,-3183.4440829299906,-215.44982645105972,-2729.8361280983354,-1689.7008119381574,-167.5887023382967,-11192.983668503173,-2003.2114702701067,-140.48859788081901
-8657.001498178952,-3003.203522044667,-319.1275563010753,-1722.809650596483,-947.200251801977,-213.59753477466137,-10077.332302132148,-3322.567146424333,-173.4645632527478,-2554.9645748046014,-1829.059733479939,-134.4569646696917,-9249.215925633887,-2137.8454140103495,-155.6658414075165
