logz,logdust,logNpix,logage,lnprob,N_walkers
-0.1749,-2.1077,2.0153,9.5856,-861.3528,128
-0.1749,-2.1077,2.0153,9.5856,-861.3528,128
-0.1749,-2.1077,2.0153,9.5856,-861.3528,128
-0.1749,-2.1077,2.0153,9.5856,-861.3528,128
-0.1749,-2.1077,2.0153,9.5856,-861.3528,128
-0.1749,-2.1077,2.0153,9.5856,-861.3528,128
-0.1749,-2.1077,2.0153,9.5856,-861.3528,128
-0.1749,-2.1077,2.0153,9.5856,-861.3528,128
-0.1749,-2.1077,2.0153,9.5856,-861.3528,128
-0.1749,-2.1077,2.0153,9.5856,-861.3528,128
-0.1749,-2.1077,2.0153,9.5856,-861.3528,128
-0.1748,-2.1068,2.0154,9.5855,-860.8138,128
-0.1748,-2.1068,2.0154,9.5855,-860.8138,128
-0.1748,-2.1068,2.0154,9.5855,-860.8138,128
-0.1748,-2.1068,2.0154,9.5855,-860.8138,128
-0.1748,-2.1068,2.0154,9.5855,-860.8138,128
-0.1748,-2.1068,2.0154,9.5855,-860.8138,128
-0.1748,-2.1068,2.0154,9.5855,-860.8138,128
-0.1748,-2.1068,2.0154,9.5855,-860.8138,128
-0.1748,-2.1068,2.0154,9.5855,-860.8138,128
-0.1748,-2.1068,2.0154,9.5855,-860.8138,128
-0.1748,-2.1068,2.0154,9.5855,-860.8138,128
-0.1748,-2.1068,2.0154,9.5855,-860.8138,128
-0.1748,-2.1068,2.0154,9.5855,-860.8138,128
-0.1748,-2.1068,2.0154,9.5855,-860.8138,128
-0.1748,-2.1068,2.0154,9.5855,-860.8138,128
-0.1748,-2.1068,2.0154,9.5855,-860.8138,128
-0.1748,-2.1068,2.0154,9.5855,-860.8138,128
-0.1748,-2.1068,2.0154,9.5855,-860.8138,128
-0.1748,-2.1068,2.0154,9.5855,-860.8138,128
-0.1748,-2.1068,2.0154,9.5855,-860.8138,128
-0.1748,-2.1068,2.0154,9.5855,-860.8138,128
-0.1748,-2.1068,2.0154,9.5855,-860.8138,128
-0.1748,-2.1068,2.0154,9.5855,-860.8138,128
-0.1748,-2.1068,2.0154,9.5855,-860.8138,128
-0.1748,-2.1068,2.0154,9.5855,-860.8138,128
-0.1748,-2.1068,2.0154,9.5855,-860.8138,128
