# Vega Mags
# arm region extracted from square X=[2732,2988), Y=[3822, 4078) from M51 image
# Imag Vmag-Imag Bmag-Vmag
# F814W F555W-F814W F435W-F555W
25.858916 0.903723 0.429123
25.929958 0.843615 0.577920
25.876164 0.896096 0.588011
25.737620 0.908599 0.588778
25.776912 1.016294 0.553667
25.937778 0.886069 0.692800
25.969625 0.877663 0.611104
26.001046 0.947992 0.506617
25.890012 1.000524 0.571292
25.864785 0.920642 0.528821
25.911539 0.881794 0.474180
25.877932 0.831472 0.553001
25.919047 0.782077 0.624786
25.818386 0.875485 0.566288
25.845509 0.916877 0.478414
25.866926 0.985460 0.599158
25.909424 0.949153 0.584264
25.934528 0.891488 0.644684
25.763480 1.100688 0.633523
25.774184 1.093210 0.604082
25.766416 1.008501 0.636934
25.724770 0.915051 0.599846
25.687369 0.848724 0.667522
25.606494 0.663084 0.553241
25.463677 0.410861 0.297485
25.526694 0.597445 0.151984
25.576045 0.563055 0.399211
25.581608 0.424548 0.350677
25.543136 0.718386 0.286445
25.642269 0.900073 0.417509
25.680128 0.982747 0.558210
25.651315 0.941014 0.619141
25.623410 0.957841 0.574738
25.712376 0.954491 0.429570
25.735644 0.830770 0.507984
25.738541 0.765093 0.381412
25.730071 0.776506 0.418101
25.657549 0.874143 0.430661
25.578757 0.824421 0.456150
25.592394 0.775520 0.467077
25.552244 0.884667 0.449867
25.605198 0.790808 0.414801
25.624252 0.812108 0.242256
25.665671 0.820248 0.244090
25.654737 0.801565 0.309121
25.555314 0.923306 0.401977
25.251144 1.045041 0.536816
24.863376 1.218058 0.543729
24.882507 1.152364 0.421547
24.634845 1.295875 0.528583
24.784948 1.189848 0.410881
25.241213 0.837542 0.354745
25.324118 0.842439 0.330660
25.411598 0.842283 0.366749
25.415153 0.846418 0.432132
25.247080 0.916773 0.468300
25.231604 0.908363 0.404716
25.415522 0.976361 0.261093
25.579067 0.973646 0.294360
25.703454 0.854487 0.411294
25.760756 0.733225 0.500722
25.703763 0.786210 0.444857
25.602746 0.890604 0.442152
25.683258 0.751176 0.510923
25.728727 0.775236 0.376681
25.802343 0.841283 0.388465
25.770036 0.762795 0.524159
25.700410 0.717571 0.426370
25.616781 0.849994 0.333290
25.646884 0.745018 0.436662
25.635534 0.781812 0.352695
25.656439 0.827998 0.401958
25.727689 0.750045 0.426252
25.600105 0.754076 0.401466
25.557780 0.813927 0.347553
25.499982 0.977999 0.453739
25.566353 0.924758 0.516047
25.572101 1.001276 0.478560
25.684584 0.969482 0.424566
25.703800 0.843635 0.525057
25.714299 0.832601 0.545018
25.723230 0.841096 0.388164
25.600942 0.872434 0.441941
25.491742 0.912680 0.452054
25.435266 0.988483 0.506813
25.494690 0.966216 0.541919
25.598726 0.932820 0.458017
25.572332 0.974424 0.472194
25.549997 0.958702 0.524062
25.554349 0.868882 0.552184
25.503795 0.883303 0.537973
25.511669 0.977988 0.436875
25.507927 0.963248 0.469882
25.522993 0.851153 0.519978
25.524168 0.688883 0.473174
25.505507 0.762831 0.272207
25.535090 0.844426 0.277038
25.562382 0.854029 0.331834
25.573732 0.861269 0.316614
25.524492 0.886989 0.496671
25.550561 0.895309 0.518464
25.653620 0.811140 0.512010
25.742939 0.863858 0.454590
25.626362 1.037666 0.518853
25.678091 1.032429 0.539111
25.726701 0.973880 0.509339
25.793833 0.759670 0.522573
25.790145 0.802379 0.398583
25.655353 0.815148 0.525699
25.593012 0.919300 0.461584
25.536812 0.949336 0.438266
25.520271 0.921769 0.432581
25.497840 0.997602 0.416039
26.183356 0.976591 0.555920
26.157632 1.054866 0.545632
26.121289 1.044269 0.503420
26.079538 1.065410 0.577778
26.072062 0.982613 0.680347
26.149300 0.888731 0.620336
26.078332 0.973714 0.623300
25.972030 1.044581 0.739423
26.026492 1.149865 0.500337
26.043774 1.126574 0.527824
26.060239 1.045797 0.485680
25.952277 1.006480 0.547293
25.900892 0.931231 0.557042
25.597700 1.045773 0.660172
25.762504 0.993554 0.590073
25.932258 0.975361 0.664201
26.005255 1.021606 0.625530
26.079255 0.848685 0.794525
26.151837 0.854170 0.544239
26.187605 0.880020 0.482771
26.142308 0.973346 0.500486
26.153916 0.860390 0.586828
25.998846 0.908281 0.554273
25.914531 1.070477 0.583455
25.943322 1.115150 0.567650
25.944162 1.091036 0.573484
26.013473 1.088603 0.465417
26.060572 1.088757 0.513535
26.103298 0.968601 0.565401
26.124285 1.058856 0.413816
26.071229 0.968358 0.594712
26.067966 0.985018 0.630506
26.065378 0.958983 0.657520
26.009687 1.056207 0.558104
26.059006 0.983984 0.587100
26.115599 0.982262 0.677504
26.076157 0.982455 0.630003
26.098933 0.906343 0.461665
26.089750 0.971685 0.521922
26.090997 1.039596 0.431990
26.023083 1.046230 0.594065
25.913452 1.146006 0.591281
