logfeh_mean,logdust,logNpix,tau,dmod,logl
-4.6725e-01,-3.5914e-01,1.9174e+00,5.1629e+00,2.5781e+01,-2.6933e+03
1.2172e-02,-6.1250e-01,2.0996e+00,1.6804e+00,2.6149e+01,-2.0123e+03
1.9265e-01,-6.8439e-01,1.9017e+00,5.7708e-01,2.5510e+01,-1.6196e+03
-2.2219e-01,-4.7972e-01,2.2603e+00,3.7865e+00,2.6742e+01,-2.2397e+03
-3.6050e-01,-4.7153e-01,2.0461e+00,3.3820e+00,2.6116e+01,-2.8075e+03
2.7972e-02,-5.9683e-01,2.0036e+00,2.9382e+00,2.5957e+01,-9.4001e+02
-1.7400e-02,-6.1941e-01,2.0367e+00,8.2903e-01,2.5908e+01,-2.7148e+03
-3.6736e-01,-5.0525e-01,2.0854e+00,2.2825e-01,2.6238e+01,-2.5883e+03
-4.6046e-01,-4.9679e-01,2.0673e+00,1.6057e+00,2.6231e+01,-2.4984e+03
-2.5264e-01,-4.4368e-01,1.8285e+00,4.0451e+00,2.5508e+01,-2.5385e+03
-7.0567e-02,-6.1684e-01,2.1510e+00,4.4327e-01,2.6282e+01,-2.2463e+03
-2.3328e-01,-5.3016e-01,2.0410e+00,2.7458e+00,2.6102e+01,-1.2494e+03
-8.4096e-02,-5.4789e-01,2.1197e+00,3.4807e+00,2.6318e+01,-2.1350e+03
2.3230e-01,-7.2311e-01,2.0158e+00,6.1109e-01,2.5874e+01,-1.9600e+03
2.4344e-01,-7.1114e-01,1.8642e+00,1.0126e+00,2.5400e+01,-1.4985e+03
-2.3272e-01,-5.4102e-01,2.0967e+00,6.3706e-01,2.6213e+01,-1.5793e+03
5.8486e-02,-6.6706e-01,1.9547e+00,2.0246e-01,2.5702e+01,-2.3599e+03
8.0788e-02,-6.9301e-01,2.0393e+00,1.5674e+00,2.6054e+01,-1.8354e+03
-2.0830e-01,-5.5604e-01,2.1297e+00,2.1762e+00,2.6383e+01,-2.1589e+03
1.9918e-01,-6.3162e-01,1.8483e+00,2.8949e+00,2.5438e+01,-1.2786e+03
1.3989e-02,-6.5219e-01,2.1413e+00,4.3554e-01,2.6233e+01,-2.2242e+03
-9.1553e-04,-6.7487e-01,2.0608e+00,1.3320e+00,2.6141e+01,-2.5450e+03
-4.8076e-01,-3.6222e-01,2.0410e+00,4.7393e+00,2.6120e+01,-2.3200e+03
-4.9465e-01,-3.6992e-01,2.2348e+00,4.9095e+00,2.6698e+01,-2.5454e+03
-1.2276e-01,-5.7021e-01,2.1413e+00,2.6834e+00,2.6405e+01,-1.6681e+03
-2.3697e-01,-5.2014e-01,2.2465e+00,3.0662e+00,2.6682e+01,-1.9505e+03
7.6321e-02,-6.3997e-01,2.1896e+00,2.5869e+00,2.6412e+01,-2.2287e+03
-4.9817e-01,-4.0696e-01,2.2413e+00,4.3614e+00,2.6743e+01,-1.8079e+03
-4.9235e-01,-4.6942e-01,2.0775e+00,1.5872e-01,2.6189e+01,-1.5937e+03
1.8230e-01,-6.7667e-01,1.9131e+00,1.2752e+00,2.5594e+01,-2.3408e+03
-2.8015e-01,-4.6442e-01,2.3048e+00,4.0647e+00,2.6907e+01,-2.6813e+03
-3.2861e-03,-5.2446e-01,1.9747e+00,3.3624e+00,2.5800e+01,-1.6791e+03
1.7795e-01,-6.0345e-01,1.9416e+00,3.0642e+00,2.5681e+01,-1.4486e+03
-3.8841e-01,-4.4022e-01,2.1396e+00,3.5788e+00,2.6367e+01,-1.3406e+03
-1.0400e-01,-6.0774e-01,2.1253e+00,1.6899e+00,2.6335e+01,-2.0678e+03
-3.6776e-01,-4.7645e-01,2.0857e+00,2.5340e+00,2.6195e+01,-8.6478e+02
-2.6426e-01,-4.9397e-01,2.1726e+00,2.7221e+00,2.6396e+01,-1.9533e+03
-2.6397e-01,-4.5095e-01,2.0592e+00,3.7308e+00,2.6165e+01,-1.1599e+03
-3.9919e-01,-4.2579e-01,2.1827e+00,3.7268e+00,2.6469e+01,-2.4118e+03
-2.0982e-01,-5.1416e-01,1.9319e+00,2.3139e+00,2.5793e+01,-2.8143e+03
2.1210e-01,-7.1982e-01,1.8095e+00,4.9164e-01,2.5270e+01,-2.1428e+03
2.1323e-01,-7.3597e-01,1.9170e+00,1.8519e+00,2.5687e+01,-2.7729e+03
-3.9986e-02,-5.0957e-01,2.1335e+00,3.9645e+00,2.6324e+01,-2.0387e+03
1.9028e-01,-6.6709e-01,2.0979e+00,2.8472e+00,2.6223e+01,-2.6503e+03
-3.6706e-01,-4.7102e-01,2.1305e+00,2.2363e+00,2.6246e+01,-2.3793e+03
-5.7067e-02,-5.4239e-01,1.9401e+00,3.1894e+00,2.5778e+01,-1.0610e+03
-1.5654e-02,-6.5432e-01,1.9985e+00,1.3147e+00,2.5893e+01,-2.3758e+03
-1.0840e-01,-4.8662e-01,1.8837e+00,3.2080e+00,2.5565e+01,-2.1262e+03
-4.3991e-01,-4.9259e-01,2.1865e+00,9.0231e-01,2.6477e+01,-1.3089e+03
-1.3776e-01,-5.9420e-01,2.0731e+00,3.1690e-01,2.6131e+01,-1.0482e+03
-3.1064e-01,-5.4302e-01,2.3075e+00,1.9040e+00,2.6847e+01,-2.3475e+03
-2.3508e-01,-5.0773e-01,1.9519e+00,4.3806e-01,2.5722e+01,-2.3681e+03
1.3815e-01,-7.3006e-01,2.0763e+00,1.5634e+00,2.6137e+01,-1.9592e+03
-1.9035e-01,-5.5773e-01,2.0374e+00,2.3335e+00,2.6079e+01,-1.0374e+03
