logfeh_mean,logdust_med,logNpix,tau,logl
-2.8136e-01,-4.4297e-01,2.0039e+00,2.9424e+00,-1.0284e+03
-2.0624e-01,-5.3021e-01,1.9911e+00,3.1508e+00,-1.0004e+03
-3.1440e-01,-4.6249e-01,1.9996e+00,2.6781e+00,-9.7384e+02
-2.2166e-01,-5.7723e-01,1.9938e+00,2.6772e+00,-9.9446e+02
-2.7339e-01,-4.8599e-01,1.9988e+00,2.9371e+00,-9.7539e+02
-2.9621e-01,-4.4156e-01,1.9989e+00,3.0028e+00,-1.0003e+03
-2.2988e-01,-5.5712e-01,1.9948e+00,2.8173e+00,-9.9341e+02
-2.0799e-01,-5.8689e-01,1.9935e+00,2.8717e+00,-9.6986e+02
-2.7408e-01,-5.0968e-01,1.9934e+00,2.7535e+00,-1.0315e+03
-2.9465e-01,-5.2907e-01,1.9946e+00,2.6365e+00,-1.0170e+03
-2.9867e-01,-4.4857e-01,1.9986e+00,2.9524e+00,-1.0124e+03
-3.1331e-01,-5.2026e-01,1.9947e+00,2.4730e+00,-1.0092e+03
-2.0460e-01,-6.0170e-01,1.9895e+00,2.9385e+00,-9.9734e+02
-2.1641e-01,-5.9959e-01,1.9910e+00,2.8295e+00,-1.0149e+03
-2.0678e-01,-6.0817e-01,1.9975e+00,2.7012e+00,-1.0139e+03
-2.7466e-01,-4.3793e-01,1.9983e+00,3.1051e+00,-1.0261e+03
-2.5931e-01,-5.8459e-01,1.9958e+00,2.4351e+00,-1.0296e+03
-3.2405e-01,-4.7711e-01,2.0000e+00,2.4166e+00,-1.0187e+03
-2.1374e-01,-5.4750e-01,1.9941e+00,3.0892e+00,-1.0007e+03
-2.7948e-01,-4.8357e-01,1.9957e+00,2.9850e+00,-9.8633e+02
-3.2504e-01,-4.8362e-01,2.0034e+00,2.3801e+00,-1.0161e+03
-2.1318e-01,-5.3836e-01,1.9970e+00,3.0668e+00,-9.7004e+02
-2.3779e-01,-5.9930e-01,1.9913e+00,2.5833e+00,-1.0310e+03
-2.8693e-01,-4.9369e-01,1.9988e+00,2.8988e+00,-1.0122e+03
-2.6248e-01,-5.7733e-01,1.9957e+00,2.4192e+00,-1.0194e+03
-2.0004e-01,-5.2853e-01,1.9891e+00,3.3012e+00,-9.8957e+02
-2.0917e-01,-5.0550e-01,1.9998e+00,3.0747e+00,-1.0059e+03
-1.9194e-01,-5.3074e-01,2.0018e+00,3.1717e+00,-1.0282e+03
-2.0684e-01,-5.5312e-01,1.9996e+00,2.9066e+00,-9.7773e+02
-2.0917e-01,-5.7825e-01,1.9909e+00,2.8884e+00,-9.9436e+02
-2.2020e-01,-5.1145e-01,1.9991e+00,3.1803e+00,-9.8799e+02
-2.1565e-01,-4.8255e-01,2.0025e+00,3.1070e+00,-1.0156e+03
-1.9668e-01,-5.5682e-01,1.9908e+00,3.1404e+00,-1.0060e+03
-3.5191e-01,-4.4306e-01,1.9984e+00,2.6076e+00,-1.0109e+03
-2.8493e-01,-5.1054e-01,2.0010e+00,2.7059e+00,-1.0050e+03
-2.1985e-01,-5.3403e-01,1.9945e+00,2.9278e+00,-9.9886e+02
-2.9158e-01,-4.6006e-01,2.0068e+00,2.8292e+00,-1.0142e+03
-3.1876e-01,-4.4689e-01,2.0012e+00,2.7246e+00,-1.0037e+03
-2.4425e-01,-4.9539e-01,1.9993e+00,3.1052e+00,-1.0253e+03
-3.4778e-01,-4.2998e-01,2.0010e+00,2.6795e+00,-1.0270e+03
-2.1453e-01,-5.2940e-01,1.9994e+00,3.1195e+00,-1.0224e+03
-2.2565e-01,-5.6801e-01,1.9900e+00,2.9837e+00,-9.8506e+02
-3.1699e-01,-4.5074e-01,2.0011e+00,2.6522e+00,-9.9955e+02
-2.3130e-01,-5.4692e-01,2.0028e+00,2.6781e+00,-1.0284e+03
-3.2471e-01,-4.3215e-01,2.0018e+00,2.8185e+00,-1.0283e+03
-3.5487e-01,-4.2947e-01,2.0002e+00,2.7142e+00,-1.0261e+03
-2.5693e-01,-5.3816e-01,1.9909e+00,2.9482e+00,-1.0287e+03
-3.0002e-01,-4.8601e-01,2.0037e+00,2.7118e+00,-1.0098e+03
-2.9350e-01,-4.8812e-01,1.9994e+00,2.8341e+00,-9.8867e+02
-2.3270e-01,-5.8671e-01,1.9897e+00,2.8748e+00,-1.0052e+03
-2.7168e-01,-5.2129e-01,1.9952e+00,2.8604e+00,-9.8671e+02
-1.9722e-01,-5.2380e-01,1.9950e+00,3.2308e+00,-9.7057e+02
-2.5870e-01,-4.8245e-01,1.9972e+00,3.0727e+00,-9.6175e+02
-2.4960e-01,-4.9281e-01,1.9943e+00,3.0908e+00,-9.9776e+02
-3.1089e-01,-4.5707e-01,1.9926e+00,2.7932e+00,-1.0050e+03
-2.2292e-01,-5.1936e-01,1.9956e+00,3.1013e+00,-9.2534e+02
-3.1227e-01,-4.5163e-01,1.9967e+00,2.7345e+00,-9.9283e+02
-2.6935e-01,-5.2161e-01,2.0028e+00,2.6711e+00,-1.0166e+03
-2.5283e-01,-5.1596e-01,1.9988e+00,2.8418e+00,-9.7478e+02
-2.9947e-01,-5.0751e-01,1.9967e+00,2.7755e+00,-1.0161e+03
-2.2378e-01,-5.3190e-01,2.0030e+00,2.9122e+00,-9.9564e+02
-2.4246e-01,-5.4630e-01,1.9915e+00,2.9176e+00,-9.7155e+02
-2.0069e-01,-5.2231e-01,1.9966e+00,3.2299e+00,-1.0151e+03
-3.0674e-01,-4.5218e-01,2.0034e+00,2.9178e+00,-9.9999e+02
-2.2831e-01,-5.5207e-01,1.9957e+00,2.8974e+00,-9.5871e+02
-2.9084e-01,-4.4781e-01,2.0002e+00,3.0173e+00,-9.7030e+02
-3.1473e-01,-4.4336e-01,2.0062e+00,2.7281e+00,-1.0250e+03
-2.4271e-01,-5.4404e-01,1.9919e+00,2.9572e+00,-9.7544e+02
-2.1885e-01,-5.3754e-01,2.0035e+00,2.8604e+00,-1.0168e+03
-2.7657e-01,-4.7850e-01,2.0043e+00,2.7052e+00,-1.0028e+03
