logfeh_mean,logdust,logNpix,tau,dmod,logl
-4.4626e-01,-1.8952e+00,1.7764e+00,2.6611e+00,2.4859e+01,-7.4470e+04
-4.9621e-01,-1.8205e+00,2.0265e+00,1.3522e+00,2.5435e+01,-8.0984e+04
-4.3430e-01,-1.3667e+00,1.5195e+00,3.5247e+00,2.3962e+01,-6.8918e+04
-3.4243e-01,-1.4746e+00,1.8205e+00,4.7451e+00,2.4840e+01,-5.8413e+04
-4.0473e-01,-1.5896e+00,2.3547e+00,4.3646e+00,2.6467e+01,-5.3784e+04
-3.7420e-01,-1.8215e+00,1.8841e+00,2.7821e+00,2.4991e+01,-7.2161e+04
-4.2385e-01,-1.5441e+00,1.7208e+00,2.0074e+00,2.4573e+01,-8.9398e+04
-3.3448e-01,-1.4577e+00,1.9194e+00,4.1743e+00,2.4991e+01,-7.0045e+04
-4.0276e-01,-1.4311e+00,1.7606e+00,3.4385e+00,2.4579e+01,-6.9879e+04
-2.3307e-01,-1.6854e+00,2.4092e+00,4.6795e+00,2.6692e+01,-7.3210e+04
-2.2948e-01,-1.4080e+00,1.6252e+00,4.0250e+00,2.4072e+01,-8.4464e+04
-2.4604e-01,-1.9986e+00,1.9164e+00,2.7363e+00,2.5115e+01,-8.9396e+04
-1.4973e-01,-1.7581e+00,2.8563e+00,4.7229e+00,2.7846e+01,-8.9409e+04
-3.2381e-01,-1.9095e+00,1.9762e+00,3.9577e+00,2.5342e+01,-5.6130e+04
-4.8378e-01,-1.5131e+00,2.4500e+00,4.3707e+00,2.6915e+01,-6.3997e+04
-4.5724e-01,-1.3306e+00,2.4037e+00,4.2940e+00,2.6510e+01,-6.5405e+04
-3.3063e-01,-1.7025e+00,2.2728e+00,4.8131e+00,2.6421e+01,-6.3385e+04
-3.7835e-01,-1.1276e+00,1.7728e+00,4.7193e+00,2.4489e+01,-8.5206e+04
-2.7184e-01,-1.1329e+00,2.1764e+00,4.8578e+00,2.5715e+01,-8.7357e+04
-4.0862e-01,-1.6172e+00,2.2779e+00,4.1863e+00,2.5909e+01,-8.9651e+04
-2.9304e-01,-1.2637e+00,2.1558e+00,4.6345e+00,2.5949e+01,-8.4351e+04
-4.8957e-01,-1.9439e+00,1.7278e+00,1.6193e+00,2.4673e+01,-7.8082e+04
-4.9443e-01,-1.4599e+00,2.5938e+00,4.7759e+00,2.7327e+01,-5.8817e+04
-4.5117e-01,-1.9330e+00,2.0387e+00,3.2422e+00,2.5409e+01,-5.8441e+04
-4.2745e-01,-1.7892e+00,1.8047e+00,1.0623e-01,2.4527e+01,-8.8546e+04
-2.4018e-01,-1.4029e+00,1.6187e+00,4.4352e+00,2.4334e+01,-7.5068e+04
-4.1429e-01,-1.3330e+00,1.7453e+00,4.3562e+00,2.4980e+01,-8.7933e+04
-4.3851e-01,-1.5573e+00,2.0971e+00,4.6573e+00,2.5931e+01,-5.9214e+04
-2.1199e-01,-1.9938e+00,1.8689e+00,3.8700e+00,2.4983e+01,-6.6534e+04
-2.4853e-01,-1.8949e+00,1.9433e+00,2.8242e+00,2.5047e+01,-8.2719e+04
-2.8759e-01,-1.6236e+00,1.7505e+00,3.4751e+00,2.4363e+01,-8.5331e+04
-5.9403e-02,-1.7279e+00,1.8984e+00,4.4815e+00,2.5041e+01,-8.0273e+04
-2.4251e-01,-1.9528e+00,1.8413e+00,3.7267e+00,2.4644e+01,-8.3734e+04
-4.8342e-01,-1.3205e+00,2.3643e+00,3.6408e+00,2.6459e+01,-7.6352e+04
-3.9136e-01,-1.9248e+00,1.5266e+00,1.0130e+00,2.3729e+01,-8.7488e+04
-8.4111e-03,-1.9972e+00,1.9621e+00,4.4006e+00,2.5250e+01,-8.5071e+04
-2.6051e-01,-1.8116e+00,2.3469e+00,4.4142e+00,2.6443e+01,-6.4751e+04
-8.9775e-02,-1.5024e+00,2.2638e+00,4.9244e+00,2.6147e+01,-8.2180e+04
-2.2198e-01,-1.4319e+00,2.2051e+00,4.9711e+00,2.6016e+01,-7.0008e+04
-4.7261e-01,-1.9406e+00,1.7892e+00,2.9553e+00,2.5017e+01,-7.8378e+04
-3.9205e-01,-1.6390e+00,1.7915e+00,1.7659e+00,2.4575e+01,-8.7486e+04
-3.9912e-01,-1.1647e+00,1.8318e+00,4.6153e+00,2.4788e+01,-7.2236e+04
-2.5764e-01,-1.8552e+00,2.5795e+00,4.6083e+00,2.7153e+01,-6.6832e+04
-2.7970e-01,-1.4279e+00,1.8729e+00,3.6498e+00,2.4971e+01,-8.1696e+04
