nlive,niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh,logdust,logNpix,tau
2.0000e+03,3.5000e+01,2.0000e+00,1.0355e+01,-1.0785e+06,-1.0786e+06,-1.1647e-01,-inf,1.4722e-01,6.5133e+00,9.5121e+05,1.5434e+02,2.7846e-01,-1.8955e+00,3.3496e+00,2.3066e+00
2.0000e+03,3.6000e+01,1.0000e+00,1.0619e+01,-1.0768e+06,-1.0768e+06,-1.1980e-01,-inf,1.4726e-01,6.5168e+00,9.5083e+05,1.5837e+02,-7.3402e-01,-6.8382e-01,3.6436e+00,6.1541e+00
2.0000e+03,3.7000e+01,2.0000e+00,1.0850e+01,-1.0760e+06,-1.0760e+06,-1.2313e-01,-inf,1.4730e-01,6.5200e+00,9.4903e+05,1.6661e+02,-9.6441e-01,-1.9265e+00,3.4121e+00,4.0042e+00
2.0000e+03,3.8000e+01,1.0000e+00,1.1111e+01,-1.0756e+06,-1.0756e+06,-1.2646e-01,-inf,1.4734e-01,6.5235e+00,9.4826e+05,1.7076e+02,-1.3080e+00,-9.7656e-01,3.5308e+00,9.9419e+00
2.0000e+03,3.9000e+01,1.0000e+00,1.1370e+01,-1.0749e+06,-1.0749e+06,-1.2978e-01,-inf,1.4738e-01,6.5267e+00,9.4786e+05,1.7487e+02,-5.8438e-01,-1.5919e-01,3.6372e+00,3.2735e+00
2.0000e+03,4.0000e+01,2.0000e+00,1.1594e+01,-1.0749e+06,-1.0749e+06,-1.3311e-01,-inf,1.4736e-01,6.5256e+00,9.4720e+05,1.8307e+02,-7.5611e-01,-3.4460e-01,3.7034e+00,4.8457e+00
2.0000e+03,4.1000e+01,1.0000e+00,1.1850e+01,-1.0707e+06,-1.0707e+06,-1.3644e-01,-inf,1.4745e-01,6.5334e+00,9.4719e+05,1.8714e+02,-1.1075e+00,-1.5235e+00,3.4735e+00,9.0684e+00
2.0000e+03,4.2000e+01,1.0000e+00,1.2104e+01,-1.0697e+06,-1.0697e+06,-1.3977e-01,-inf,1.4749e-01,6.5367e+00,9.4298e+05,1.9122e+02,-6.2501e-01,-5.8149e-02,3.3216e+00,2.1860e+00
2.0000e+03,4.3000e+01,1.0000e+00,1.2356e+01,-1.0693e+06,-1.0693e+06,-1.4309e-01,-inf,1.4753e-01,6.5401e+00,9.4198e+05,1.9525e+02,-2.6772e-01,-1.5614e+00,3.6176e+00,6.8308e+00
2.0000e+03,4.4000e+01,1.0000e+00,1.2607e+01,-1.0691e+06,-1.0691e+06,-1.4642e-01,-inf,1.4756e-01,6.5434e+00,9.4157e+05,1.9930e+02,4.3045e-01,-1.0059e-01,2.6554e+00,1.8328e+00
2.0000e+03,4.5000e+01,1.0000e+00,1.2857e+01,-1.0690e+06,-1.0690e+06,-1.4975e-01,-inf,1.4760e-01,6.5466e+00,9.4135e+05,2.0334e+02,-1.2041e+00,-1.9670e+00,3.3472e+00,4.1421e+00
2.0000e+03,4.6000e+01,1.0000e+00,1.3105e+01,-1.0681e+06,-1.0681e+06,-1.5308e-01,-inf,1.4764e-01,6.5501e+00,9.4126e+05,2.0736e+02,-5.9745e-01,-6.9826e-01,3.4279e+00,3.5467e+00
2.0000e+03,4.7000e+01,2.0000e+00,1.3314e+01,-1.0674e+06,-1.0674e+06,-1.5641e-01,-inf,1.4768e-01,6.5533e+00,9.4040e+05,2.1543e+02,-1.4442e+00,-8.5340e-01,3.4169e+00,4.7846e+00
2.0000e+03,4.8000e+01,1.0000e+00,1.3559e+01,-1.0671e+06,-1.0671e+06,-1.5973e-01,-inf,1.4771e-01,6.5565e+00,9.3965e+05,2.1945e+02,2.7979e-01,-1.6631e+00,3.6507e+00,7.3250e+00
2.0000e+03,4.9000e+01,2.0000e+00,1.3764e+01,-1.0664e+06,-1.0664e+06,-1.6306e-01,-inf,1.4775e-01,6.5600e+00,9.3936e+05,2.2754e+02,-1.3305e+00,-1.3340e+00,3.1853e+00,2.2819e+00
2.0000e+03,5.0000e+01,1.0000e+00,1.4006e+01,-1.0661e+06,-1.0661e+06,-1.6639e-01,-inf,1.4779e-01,6.5633e+00,9.3866e+05,2.3163e+02,2.8377e-01,-3.7929e-01,3.8923e+00,9.6194e+00
