logfeh_mean,logdust_med,logNpix,tau,dmod,logl
-1.9047e-01,-9.9347e-01,1.9769e+00,3.2858e+00,2.6024e+01,-1.4191e+03
-1.8770e-01,-9.9129e-01,1.9862e+00,3.3300e+00,2.6062e+01,-1.4194e+03
-2.0341e-01,-9.8235e-01,1.9536e+00,3.2095e+00,2.5934e+01,-1.4176e+03
-1.8997e-01,-9.9632e-01,1.9667e+00,3.2542e+00,2.5989e+01,-1.4066e+03
-1.8710e-01,-9.9711e-01,1.9742e+00,3.2965e+00,2.6017e+01,-1.4087e+03
-1.8424e-01,-9.8499e-01,1.9800e+00,3.3146e+00,2.6025e+01,-1.4113e+03
-1.6716e-01,-9.9719e-01,1.9427e+00,3.2415e+00,2.5896e+01,-1.4102e+03
-1.8813e-01,-9.9930e-01,1.9827e+00,3.2926e+00,2.6048e+01,-1.4048e+03
-1.8760e-01,-9.9049e-01,1.9735e+00,3.3197e+00,2.6009e+01,-1.4095e+03
-1.6322e-01,-9.9878e-01,1.9479e+00,3.3349e+00,2.5925e+01,-1.4002e+03
-1.8809e-01,-9.9715e-01,1.9751e+00,3.2679e+00,2.6020e+01,-1.3993e+03
-2.0649e-01,-9.8833e-01,1.9434e+00,3.0562e+00,2.5904e+01,-1.4192e+03
-1.8779e-01,-9.9698e-01,1.9728e+00,3.2341e+00,2.6000e+01,-1.4070e+03
-1.8873e-01,-9.8961e-01,1.9829e+00,3.2688e+00,2.6039e+01,-1.3884e+03
-1.8703e-01,-9.9897e-01,1.9781e+00,3.3321e+00,2.6025e+01,-1.3982e+03
-1.9013e-01,-9.8705e-01,1.9715e+00,3.2687e+00,2.6003e+01,-1.4179e+03
-1.9033e-01,-9.7786e-01,1.9624e+00,3.3911e+00,2.5984e+01,-1.4028e+03
-2.0657e-01,-9.7699e-01,1.9633e+00,3.2358e+00,2.5971e+01,-1.4175e+03
-1.8820e-01,-9.8557e-01,1.9872e+00,3.3406e+00,2.6054e+01,-1.4181e+03
-1.8533e-01,-9.9778e-01,1.9809e+00,3.3090e+00,2.6043e+01,-1.4194e+03
-1.8966e-01,-9.9295e-01,1.9754e+00,3.2515e+00,2.6003e+01,-1.4198e+03
-1.9760e-01,-9.7361e-01,1.9510e+00,3.2743e+00,2.5927e+01,-1.3936e+03
-1.9044e-01,-9.9108e-01,1.9685e+00,3.2289e+00,2.5991e+01,-1.3973e+03
-1.8639e-01,-9.9950e-01,1.9784e+00,3.2442e+00,2.6024e+01,-1.4056e+03
-2.0456e-01,-9.5540e-01,1.9543e+00,3.3220e+00,2.5941e+01,-1.4179e+03
-1.8998e-01,-9.8495e-01,1.9750e+00,3.3292e+00,2.6015e+01,-1.4142e+03
-1.9041e-01,-9.9651e-01,1.9720e+00,3.2168e+00,2.6003e+01,-1.4081e+03
-1.8860e-01,-9.8392e-01,1.9734e+00,3.2661e+00,2.5997e+01,-1.4114e+03
-1.8601e-01,-9.9458e-01,1.9747e+00,3.2700e+00,2.6013e+01,-1.4106e+03
-1.9020e-01,-9.9571e-01,1.9675e+00,3.2644e+00,2.5996e+01,-1.4032e+03
-2.0423e-01,-9.6247e-01,1.9488e+00,3.2497e+00,2.5927e+01,-1.4113e+03
-1.9015e-01,-9.9962e-01,1.9812e+00,3.2867e+00,2.6040e+01,-1.4196e+03
-1.8904e-01,-9.8619e-01,1.9774e+00,3.3254e+00,2.6015e+01,-1.4167e+03
-1.8781e-01,-9.8038e-01,1.9766e+00,3.2401e+00,2.6011e+01,-1.4135e+03
-1.8810e-01,-9.8466e-01,1.9677e+00,3.2911e+00,2.5984e+01,-1.4006e+03
-1.9596e-01,-9.7516e-01,1.9439e+00,3.2207e+00,2.5905e+01,-1.4196e+03
-1.8824e-01,-9.8946e-01,1.9732e+00,3.2505e+00,2.6010e+01,-1.4114e+03
-1.8470e-01,-9.7306e-01,1.9857e+00,3.3698e+00,2.6040e+01,-1.4196e+03
-2.0202e-01,-9.5523e-01,1.9522e+00,3.3287e+00,2.5931e+01,-1.4121e+03
-1.8633e-01,-9.9326e-01,1.9789e+00,3.2523e+00,2.6025e+01,-1.4012e+03
