nlive,niter,ncall,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,logzh,logdust,logNpix,tau
2.0000e+03,3.0600e+02,7.6030e+03,4.0115e+00,-2.1979e+04,-2.1990e+04,-6.0794e+00,-2.1990e+04,3.4527e-01,1.0685e+01,2.0869e+04,-2.9853e-01,-7.7697e-01,3.0167e+00,5.6778e+00
2.0000e+03,3.0700e+02,7.8150e+03,3.9161e+00,-2.1815e+04,-2.1826e+04,-6.0992e+00,-2.1826e+04,3.4584e-01,1.0704e+01,2.0587e+04,-1.3051e+00,-6.7135e-01,3.0501e+00,1.8033e+00
2.0000e+03,3.0800e+02,7.8480e+03,3.9124e+00,-2.1581e+04,-2.1592e+04,-6.1190e+00,-2.1592e+04,3.4640e-01,1.0724e+01,2.0423e+04,1.2499e-01,-1.6246e+00,3.0441e+00,3.9057e+00
2.0000e+03,3.0900e+02,7.8610e+03,3.9186e+00,-2.1558e+04,-2.1568e+04,-6.1388e+00,-2.1568e+04,3.4697e-01,1.0744e+01,2.0189e+04,-9.7303e-01,-5.6343e-01,3.0360e+00,5.3907e+00
2.0000e+03,3.1000e+02,7.8710e+03,3.9263e+00,-2.1155e+04,-2.1166e+04,-6.1586e+00,-2.1166e+04,3.4753e-01,1.0764e+01,2.0165e+04,-6.3872e-01,-7.2312e-01,2.9357e+00,5.5450e+00
2.0000e+03,3.1100e+02,7.9010e+03,3.9240e+00,-2.1103e+04,-2.1114e+04,-6.1784e+00,-2.1114e+04,3.4810e-01,1.0784e+01,1.9763e+04,-3.1417e-01,-8.1714e-01,2.9949e+00,5.4698e+00
2.0000e+03,3.1200e+02,8.0550e+03,3.8618e+00,-2.0441e+04,-2.0451e+04,-6.1982e+00,-2.0451e+04,3.4866e-01,1.0803e+01,1.9711e+04,-5.4831e-01,-9.6823e-01,3.0530e+00,1.7629e+00
2.0000e+03,3.1300e+02,8.0970e+03,3.8542e+00,-2.0440e+04,-2.0451e+04,-6.2180e+00,-2.0450e+04,3.1694e-01,9.7372e+00,1.9048e+04,-1.4452e-01,-1.7534e+00,3.0793e+00,2.2342e+00
2.0000e+03,3.1400e+02,8.1370e+03,3.8476e+00,-1.9953e+04,-1.9964e+04,-6.2378e+00,-1.9964e+04,3.4978e-01,1.0843e+01,1.9047e+04,-1.4760e+00,-4.6560e-01,3.0257e+00,6.3199e+00
2.0000e+03,3.1500e+02,8.1770e+03,3.8410e+00,-1.9865e+04,-1.9876e+04,-6.2576e+00,-1.9876e+04,3.5034e-01,1.0863e+01,1.8560e+04,-1.1484e+00,-6.8229e-01,3.0394e+00,2.3617e+00
2.0000e+03,3.1600e+02,8.1960e+03,3.8443e+00,-1.9670e+04,-1.9680e+04,-6.2774e+00,-1.9680e+04,3.5090e-01,1.0883e+01,1.8473e+04,-2.7457e-02,-1.4195e+00,3.0621e+00,3.0847e+00
2.0000e+03,3.1700e+02,8.2410e+03,3.8355e+00,-1.9144e+04,-1.9155e+04,-6.2972e+00,-1.9155e+04,3.5146e-01,1.0902e+01,1.8277e+04,-1.2861e+00,-6.0701e-01,3.0013e+00,4.3455e+00
2.0000e+03,3.1800e+02,8.2520e+03,3.8424e+00,-1.9123e+04,-1.9134e+04,-6.3170e+00,-1.9134e+04,3.5202e-01,1.0922e+01,1.7751e+04,-4.9326e-01,-1.1012e+00,3.0758e+00,1.0929e+00
2.0000e+03,3.1900e+02,8.2650e+03,3.8485e+00,-1.9007e+04,-1.9018e+04,-6.3368e+00,-1.9018e+04,3.5257e-01,1.0942e+01,1.7731e+04,-9.6229e-01,-6.6931e-01,2.9664e+00,4.7585e+00
2.0000e+03,3.2000e+02,8.2800e+03,3.8535e+00,-1.8639e+04,-1.8650e+04,-6.3566e+00,-1.8650e+04,3.5313e-01,1.0962e+01,1.7615e+04,-7.6033e-01,-7.9565e-01,2.9878e+00,3.8418e+00
2.0000e+03,3.2100e+02,8.2860e+03,3.8628e+00,-1.8546e+04,-1.8557e+04,-6.3764e+00,-1.8557e+04,3.5369e-01,1.0982e+01,1.7247e+04,-3.8663e-01,-9.1446e-01,3.0628e+00,3.4146e+00
