logfeh_mean,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,logl
-2.6903e-01,-1.4221e+00,-2.6312e+00,-5.3221e-01,5.5744e-01,1.0152e+00,1.6582e+00,-3.1251e+04
-4.8298e-01,-1.4706e+00,-2.3624e+00,-1.8451e-01,1.2370e-01,1.0479e+00,1.6566e+00,-2.9122e+04
-4.6613e-01,-1.5401e+00,-1.6337e+00,-1.1605e-01,-3.2233e-01,7.5988e-01,1.7865e+00,-3.0482e+04
-3.5959e-01,-1.5336e+00,-3.1851e+00,-3.9109e-01,5.8394e-01,6.4494e-01,1.6801e+00,-3.1388e+04
-1.6016e-01,-1.8062e+00,-1.7556e+00,-1.3746e+00,-3.1955e-01,1.5012e+00,1.4924e+00,-3.2383e+04
-1.6270e-01,-1.5656e+00,-9.0641e-01,-1.0334e-01,-4.1047e-01,1.3538e+00,1.5016e+00,-2.9238e+04
-4.1805e-01,-1.7267e+00,-1.3388e+00,-8.6493e-01,-4.3703e-02,1.3962e+00,1.5074e+00,-3.2491e+04
-1.1499e-01,-1.5733e+00,-1.0005e+00,-2.1765e-01,6.8327e-01,1.0425e+00,1.6058e+00,-3.2024e+04
-3.6034e-01,-1.5935e+00,-2.2726e+00,-4.0496e-02,-1.0810e+00,2.5998e-01,1.8296e+00,-3.1734e+04
-1.6591e-01,-1.7398e+00,-2.8110e+00,-1.7001e+00,7.2122e-01,1.2193e+00,1.4839e+00,-2.8595e+04
-2.3008e-01,-1.8672e+00,-1.3929e+00,-2.2043e-01,3.0909e-01,7.6291e-01,1.7582e+00,-3.0662e+04
-3.8523e-01,-1.6655e+00,-9.6208e-01,-3.6733e-01,-1.1448e+00,8.3587e-01,1.8113e+00,-3.3984e+04
-4.4335e-01,-1.6338e+00,-1.7325e+00,-1.5536e+00,-5.2373e-01,1.3593e+00,1.5125e+00,-2.4834e+04
-4.6588e-01,-1.9753e+00,-1.2627e+00,-9.0397e-01,-7.5084e-01,1.0978e+00,1.6283e+00,-2.8018e+04
-2.8571e-01,-1.6377e+00,-2.6918e+00,-4.1240e-02,-4.7777e-01,1.1232e+00,1.7263e+00,-3.0754e+04
-4.6211e-01,-1.2096e+00,-1.8999e+00,-1.0074e+00,7.6165e-01,5.4851e-01,1.6588e+00,-3.2453e+04
-4.8341e-01,-1.4187e+00,-1.6660e+00,-1.0530e+00,-1.4122e-01,7.2934e-01,1.7580e+00,-3.3089e+04
-4.1519e-01,-1.5139e+00,-2.3423e+00,-2.0227e-01,-7.4047e-01,1.2709e+00,1.6660e+00,-3.4242e+04
-3.1453e-01,-1.8087e+00,-2.6540e+00,-6.2047e-01,-8.9720e-01,1.1991e+00,1.6883e+00,-2.5861e+04
-4.5883e-01,-1.1836e+00,-2.4827e+00,-1.0376e+00,5.3866e-01,1.0003e+00,1.6260e+00,-3.3678e+04
-2.5443e-01,-1.7495e+00,-2.4218e+00,-1.3664e-01,-7.0018e-02,1.2444e+00,1.6866e+00,-3.4465e+04
-3.5421e-01,-1.8340e+00,-2.1624e+00,-7.0572e-01,-6.7515e-01,1.2155e+00,1.6434e+00,-2.2884e+04
-2.5681e-01,-1.8959e+00,-1.5075e+00,-7.7086e-01,2.1676e-01,1.3627e+00,1.5496e+00,-2.9458e+04
-4.1885e-01,-1.7769e+00,-2.8319e+00,-2.0320e+00,-6.8716e-02,8.2661e-01,1.7613e+00,-3.0126e+04
-4.8782e-01,-1.6970e+00,-1.8497e+00,-5.9744e-01,-6.6131e-01,1.2139e+00,1.6468e+00,-2.6187e+04
-3.6775e-01,-1.8139e+00,-1.8826e+00,-2.0488e+00,3.4399e-01,7.8309e-01,1.7133e+00,-2.9164e+04
-4.5369e-01,-1.7816e+00,-1.0316e+00,-1.2040e+00,-3.2689e-01,9.5234e-01,1.7459e+00,-2.4585e+04
-1.1752e-01,-1.9159e+00,-2.6688e+00,-1.9403e+00,5.8667e-01,1.3117e+00,1.5741e+00,-3.3262e+04
-4.1935e-01,-1.6074e+00,-1.4964e+00,-1.9124e+00,3.4929e-01,1.2282e+00,1.5625e+00,-2.6411e+04
-7.3141e-02,-1.5833e+00,-1.5569e+00,-6.5749e-03,7.4647e-01,9.0922e-01,1.6383e+00,-3.3939e+04
-3.0135e-01,-1.9350e+00,-9.4555e-01,-3.5597e-01,1.2055e-01,1.0875e+00,1.6062e+00,-3.1365e+04
-2.7251e-01,-1.8636e+00,-3.0443e+00,-2.9669e-01,-8.3147e-01,7.2419e-01,1.8229e+00,-3.4529e+04
-1.1728e-01,-1.8767e+00,-2.4011e+00,-5.6324e-01,2.7826e-01,1.3081e+00,1.5637e+00,-2.7081e+04
-7.5131e-02,-1.9942e+00,-1.8611e+00,-1.8589e+00,5.6715e-01,1.3438e+00,1.5501e+00,-3.0622e+04
-2.3352e-01,-1.8379e+00,-2.7020e+00,-7.1324e-01,2.1270e-01,1.2812e+00,1.5417e+00,-2.6162e+04
-1.8552e-01,-1.9342e+00,-9.4760e-01,-1.0140e+00,7.1185e-01,6.2694e-01,1.6691e+00,-3.2790e+04
-2.3072e-01,-1.8231e+00,-1.8273e+00,-1.3653e+00,5.7997e-01,1.1053e+00,1.5987e+00,-2.6674e+04
-4.3388e-01,-1.7577e+00,-1.0012e+00,-2.0387e+00,-2.4602e-02,9.6458e-01,1.7228e+00,-2.5056e+04
-3.5275e-01,-1.8220e+00,-1.8515e+00,-5.0491e-01,5.1342e-01,8.2244e-01,1.7036e+00,-2.8631e+04
-2.4338e-01,-1.6113e+00,-3.1824e+00,-1.6148e+00,-1.2614e+00,1.3619e+00,1.5482e+00,-3.1253e+04
-2.1216e-01,-1.7961e+00,-1.8370e+00,-8.0982e-01,6.3981e-01,5.0633e-01,1.7559e+00,-3.3812e+04
-5.3638e-02,-1.6219e+00,-1.8273e+00,-2.9751e-01,5.3444e-01,1.1607e+00,1.6250e+00,-3.3468e+04
-3.0579e-01,-1.9960e+00,-2.4836e+00,-5.2691e-02,2.3943e-01,9.2800e-01,1.7155e+00,-3.0994e+04
-3.9132e-01,-1.8896e+00,-2.7810e+00,-3.2303e-01,4.9938e-01,9.7508e-01,1.6328e+00,-3.2633e+04
-3.9930e-01,-1.2014e+00,-1.0912e+00,-2.0503e+00,4.3483e-01,1.3222e+00,1.6045e+00,-3.4250e+04
-3.1087e-01,-1.6262e+00,-3.1060e+00,-2.2523e-01,2.4886e-02,9.9363e-01,1.7047e+00,-2.6388e+04
-1.6557e-01,-1.8261e+00,-2.9639e+00,1.5170e-01,-9.4171e-01,5.3667e-01,1.8074e+00,-3.3450e+04
-4.9717e-02,-1.8609e+00,-2.8427e+00,-1.8616e+00,5.7244e-01,1.4399e+00,1.4869e+00,-3.3316e+04
-4.2586e-01,-1.5050e+00,-2.4370e+00,-2.8407e-01,1.8821e-01,1.0701e+00,1.6917e+00,-2.9156e+04
-2.6192e-01,-1.1903e+00,-7.8389e-01,-4.4873e-01,2.9868e-01,1.3716e+00,1.5557e+00,-3.1610e+04
-3.5164e-01,-1.6145e+00,-9.8513e-01,-5.9018e-01,-3.5787e-02,9.4758e-01,1.7358e+00,-2.6295e+04
-4.7952e-01,-1.4442e+00,-2.7142e+00,-1.2944e+00,-8.1073e-01,1.2391e+00,1.6336e+00,-2.5117e+04
-2.9347e-01,-1.4768e+00,-1.5288e+00,-3.2059e-01,-1.0554e+00,1.1700e+00,1.6976e+00,-2.9149e+04
-3.7107e-01,-1.8492e+00,-1.5809e+00,-1.6435e+00,-1.3764e+00,1.2467e+00,1.6267e+00,-2.3968e+04
-2.6665e-01,-1.7054e+00,-1.1231e+00,-1.4266e+00,1.9872e-01,1.0275e+00,1.7631e+00,-3.3985e+04
-3.7370e-01,-1.4367e+00,-1.2894e+00,1.2952e-01,3.7948e-02,4.9579e-01,1.7546e+00,-3.2697e+04
-3.2115e-01,-1.7364e+00,-2.4685e+00,-6.9319e-01,5.5280e-01,9.4168e-01,1.6905e+00,-2.8339e+04
-4.7654e-01,-1.5897e+00,-2.6719e+00,-1.5012e+00,-5.6707e-01,1.2691e+00,1.6038e+00,-2.4514e+04
-3.9866e-01,-1.1074e+00,-1.1452e+00,1.9918e-02,-1.9281e-01,1.3112e+00,1.5800e+00,-2.9980e+04
-4.2585e-01,-1.1596e+00,-1.8483e+00,2.5935e-02,-9.7729e-01,1.2042e+00,1.6530e+00,-2.9290e+04
-5.3350e-02,-1.4035e+00,-3.0661e+00,-9.1856e-02,-3.1746e-01,1.4073e+00,1.5510e+00,-3.4538e+04
-4.8671e-01,-1.8013e+00,-2.4027e+00,-1.6826e+00,-1.4174e+00,1.1086e+00,1.6550e+00,-2.5476e+04
-3.2909e-01,-1.7737e+00,-2.3649e+00,-4.5933e-02,-1.0974e+00,9.6478e-01,1.7470e+00,-2.7812e+04
-2.3045e-01,-1.4001e+00,-2.4958e+00,-1.7283e-01,-3.8305e-01,1.2440e+00,1.6691e+00,-3.1041e+04
-4.2741e-01,-1.7035e+00,-1.7632e+00,-1.8515e+00,-7.3804e-01,1.1980e+00,1.6161e+00,-2.5746e+04
-2.0581e-01,-1.4446e+00,-2.9713e+00,-2.4716e-01,-2.8276e-01,1.4032e+00,1.6084e+00,-3.2571e+04
-3.8649e-01,-1.7524e+00,-2.4327e+00,-3.8542e-01,2.4358e-01,8.7156e-01,1.6755e+00,-2.8829e+04
-4.6686e-02,-1.8508e+00,-1.1065e+00,-8.0179e-01,4.7041e-01,1.3093e+00,1.6183e+00,-3.3826e+04
-2.9319e-01,-1.7055e+00,-2.7938e+00,-1.1382e+00,-1.5925e-02,1.4609e+00,1.4905e+00,-3.1567e+04
-4.0706e-01,-1.8316e+00,-1.7959e+00,-2.0138e+00,3.0748e-01,1.0109e+00,1.7341e+00,-3.1282e+04
-3.9859e-01,-1.7802e+00,-1.9018e+00,-7.1401e-01,6.5308e-01,6.0267e-01,1.6645e+00,-3.1307e+04
-4.8586e-01,-1.9610e+00,-9.2610e-01,-5.3677e-01,-6.7493e-01,9.8529e-01,1.6778e+00,-2.8619e+04
-1.0244e-01,-1.7432e+00,-1.6200e+00,-8.6334e-01,8.5538e-01,9.5491e-01,1.6070e+00,-3.3460e+04
-4.0848e-01,-1.9134e+00,-9.6149e-01,-8.2740e-01,-1.3616e+00,1.0744e+00,1.6548e+00,-2.6280e+04
-4.9834e-01,-1.2891e+00,-1.1728e+00,-3.2989e-01,4.5047e-01,1.0275e+00,1.6459e+00,-2.9844e+04
-3.1062e-01,-1.6253e+00,-1.0661e+00,-1.3632e+00,4.5954e-01,1.1899e+00,1.5905e+00,-2.6481e+04
-4.4198e-01,-1.4607e+00,-2.5163e+00,-1.3968e-01,-2.5376e-02,8.2860e-01,1.7414e+00,-2.6829e+04
-1.3639e-01,-1.7123e+00,-1.8558e+00,-7.9136e-02,-1.1254e+00,1.1071e+00,1.7277e+00,-3.3014e+04
