nlive,niter,ncall,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,logzh,logdust,logNpix,logage
2.0000e+03,5.5000e+01,6.4000e+01,3.4146e+01,-9.5049e+09,-9.5049e+09,-5.5722e-01,-9.5049e+09,6.0557e+00,3.6854e+03,inf,5.9952e-02,-1.4548e+00,5.5529e+00,9.6037e+00
2.0000e+03,5.6000e+01,6.6000e+01,3.4337e+01,-9.0057e+09,-9.0057e+09,-5.6717e-01,-9.0057e+09,2.6910e+00,7.2776e+02,inf,-5.5334e-01,-1.9489e-01,5.4520e+00,8.6083e+00
2.0000e+03,5.7000e+01,6.7000e+01,3.4731e+01,-8.5785e+09,-8.5785e+09,-5.7712e-01,-8.5785e+09,,-1.9398e+03,inf,-7.6876e-01,-3.9679e-01,6.5655e+00,9.4027e+00
2.0000e+03,5.8000e+01,6.9000e+01,3.4911e+01,-8.5073e+09,-8.5073e+09,-5.8707e-01,-8.5073e+09,5.9669e+00,3.5781e+03,inf,4.8931e-01,-1.6410e+00,5.6351e+00,9.1366e+00
2.0000e+03,5.9000e+01,7.1000e+01,3.5088e+01,-8.2030e+09,-8.2030e+09,-5.9702e-01,-8.2030e+09,3.0458e+00,9.3235e+02,inf,-1.4162e+00,-1.6516e+00,6.1308e+00,8.3458e+00
2.0000e+03,6.0000e+01,7.3000e+01,3.5260e+01,-8.0305e+09,-8.0305e+09,-6.0697e-01,-8.0305e+09,,-1.5522e+03,inf,-5.1007e-01,-3.8024e-01,6.9091e+00,9.2750e+00
2.0000e+03,6.1000e+01,7.4000e+01,3.5632e+01,-7.9762e+09,-7.9762e+09,-6.1692e-01,-7.9762e+09,5.9989e+00,3.6166e+03,inf,2.9401e-02,-1.8908e+00,5.9802e+00,8.3614e+00
2.0000e+03,6.2000e+01,7.5000e+01,3.6000e+01,-7.5141e+09,-7.5141e+09,-6.2687e-01,-7.5141e+09,3.3097e+00,1.1009e+03,inf,-1.0371e+00,-1.8090e-02,5.0120e+00,8.6705e+00
2.0000e+03,6.3000e+01,7.6000e+01,3.6364e+01,-7.1440e+09,-7.1440e+09,-6.3682e-01,-7.1440e+09,,-1.1460e+03,inf,-7.3779e-02,-1.3290e+00,5.3354e+00,9.5294e+00
2.0000e+03,6.4000e+01,7.7000e+01,3.6723e+01,-7.1325e+09,-7.1325e+09,-6.4677e-01,-7.1325e+09,,-3.3335e+03,inf,-7.5315e-01,-1.9752e+00,6.8438e+00,9.7466e+00
2.0000e+03,6.5000e+01,7.9000e+01,3.6872e+01,-7.0263e+09,-7.0263e+09,-6.5672e-01,-7.0263e+09,3.5411e+00,1.2602e+03,inf,4.3167e-01,-1.7057e+00,5.0593e+00,9.1878e+00
2.0000e+03,6.6000e+01,8.0000e+01,3.7222e+01,-6.9869e+09,-6.9869e+09,-6.6667e-01,-6.9869e+09,,-8.9158e+02,inf,-8.4359e-02,-1.3451e+00,5.8506e+00,9.4095e+00
2.0000e+03,6.7000e+01,8.1000e+01,3.7569e+01,-6.7397e+09,-6.7397e+09,-6.7662e-01,-6.7397e+09,,-2.9286e+03,inf,-5.0420e-02,-5.6664e-01,5.0822e+00,8.8790e+00
2.0000e+03,6.8000e+01,8.4000e+01,3.7500e+01,-6.3912e+09,-6.3912e+09,-6.8657e-01,-6.3912e+09,3.6737e+00,1.3564e+03,inf,-5.7326e-01,-5.9333e-01,5.1321e+00,9.3380e+00
2.0000e+03,6.9000e+01,8.9000e+01,3.7037e+01,-6.0800e+09,-6.0800e+09,-6.9652e-01,-6.0800e+09,,-5.7573e+02,inf,-6.0652e-01,-1.1698e+00,5.9608e+00,9.9666e+00
2.0000e+03,7.0000e+01,9.0000e+01,3.7368e+01,-5.9052e+09,-5.9052e+09,-7.0647e-01,-5.9052e+09,,-2.3717e+03,inf,-1.4202e+00,-3.3136e-01,5.2341e+00,9.0462e+00
2.0000e+03,7.1000e+01,9.1000e+01,3.7696e+01,-5.8899e+09,-5.8899e+09,-7.1642e-01,-5.8899e+09,3.7900e+00,1.4435e+03,inf,-4.8146e-01,-6.7791e-01,6.2606e+00,8.7419e+00
2.0000e+03,7.2000e+01,9.3000e+01,3.7824e+01,-5.7337e+09,-5.7337e+09,-7.2637e-01,-5.7337e+09,,-3.5461e+02,inf,1.6049e-01,-5.1047e-01,6.1730e+00,8.9857e+00
2.0000e+03,7.3000e+01,9.5000e+01,3.7949e+01,-5.7247e+09,-5.7247e+09,-7.3632e-01,-5.7247e+09,,-2.1113e+03,inf,-1.1170e+00,-7.5578e-01,5.8755e+00,9.5707e+00
2.0000e+03,7.4000e+01,9.9000e+01,3.7688e+01,-5.6538e+09,-5.6538e+09,-7.4627e-01,-5.6538e+09,3.9541e+00,1.5713e+03,inf,-2.3155e-02,-5.8001e-02,5.4921e+00,8.0852e+00
2.0000e+03,7.5000e+01,1.0300e+02,3.7438e+01,-5.6475e+09,-5.6475e+09,-7.5623e-01,-5.6475e+09,,-1.6402e+02,inf,-8.4249e-01,-9.0924e-01,5.4759e+00,9.7436e+00
2.0000e+03,7.6000e+01,1.0700e+02,3.7198e+01,-5.6063e+09,-5.6063e+09,-7.6618e-01,-5.6063e+09,,-1.8837e+03,inf,4.0298e-01,-6.3404e-01,5.1523e+00,8.8202e+00
2.0000e+03,7.7000e+01,1.0800e+02,3.7500e+01,-5.3780e+09,-5.3780e+09,-7.7613e-01,-5.3780e+09,4.0779e+00,1.6713e+03,inf,1.7012e-01,-4.1500e-01,5.6585e+00,8.7144e+00
