logfeh_mean,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,logl
1.8213e-02,-1.6031e+00,-1.4224e+00,-7.9800e-01,-2.7165e-01,6.4480e-01,2.9295e+00,-8.5182e+03
3.1281e-02,-1.8419e+00,-2.5397e+00,-4.0882e-01,9.5771e-01,8.3436e-01,2.9294e+00,-1.2848e+04
-9.6171e-02,-1.4107e+00,-1.8000e+00,-9.2858e-01,3.1964e-01,5.1148e-01,2.9136e+00,-8.7709e+03
-3.2881e-01,-8.3349e-01,-1.8488e+00,-2.1191e+00,-5.8591e-01,2.1242e+00,2.8850e+00,-1.3081e+04
1.8328e-01,-1.5475e+00,-3.0409e+00,1.3196e-01,7.3224e-01,1.8878e+00,2.8972e+00,-1.0841e+04
-1.5290e-01,-1.1384e+00,-1.5366e+00,-1.7123e+00,-2.0437e-01,1.9088e+00,2.8362e+00,-1.3190e+04
8.8268e-02,-1.0172e+00,-9.5147e-01,-9.0371e-01,-1.2838e-01,2.6902e+00,2.4312e+00,-8.0160e+03
-4.0674e-01,-8.2143e-01,-2.7843e+00,-1.0197e+00,1.0230e-02,1.3612e+00,2.9470e+00,-1.2688e+04
4.1733e-01,-1.3218e+00,-1.3137e+00,-1.2079e+00,-1.3725e+00,2.6892e+00,2.5329e+00,-1.5398e+04
-8.6137e-03,-1.4091e+00,-2.8452e+00,-6.2320e-01,-1.0062e+00,1.8261e+00,2.8719e+00,-9.6541e+03
-3.2449e-01,-9.2949e-01,-1.0370e+00,-3.4648e-01,-7.5675e-01,1.6833e+00,2.9024e+00,-3.5608e+03
2.0881e-01,-1.1221e+00,-1.5107e+00,-3.3851e-01,3.8517e-01,2.7122e+00,2.2588e+00,-5.5699e+03
-1.6830e-01,-8.1664e-01,-1.6409e+00,4.5704e-02,-1.1073e+00,2.5999e+00,2.4941e+00,-3.8299e+03
5.6662e-02,-1.5356e+00,-2.4254e+00,-1.4552e+00,-1.3924e+00,1.3612e+00,2.9822e+00,-9.2946e+03
1.7366e-01,-1.2992e+00,-1.9753e+00,-1.3217e-01,-1.1242e+00,2.2540e+00,2.8511e+00,-1.1823e+04
1.7178e-01,-1.8558e+00,-2.0961e+00,-3.0831e-01,-8.6679e-01,1.2361e+00,3.0018e+00,-9.5377e+03
2.5594e-01,-1.8464e+00,-7.6896e-01,3.2838e-02,1.9946e-01,2.1851e+00,2.9033e+00,-7.7415e+03
2.4463e-01,-1.5064e+00,-2.6696e+00,-1.6967e+00,7.0077e-01,2.1001e+00,2.9289e+00,-1.4652e+04
-4.8637e-01,-7.9641e-01,-1.1976e+00,-3.5406e-02,-6.8250e-01,1.7455e+00,2.9384e+00,-1.6158e+04
1.8637e-01,-1.9049e+00,-1.9964e+00,-1.1663e+00,-2.0178e-01,1.3769e+00,3.0155e+00,-1.6138e+04
-2.0397e-01,-9.0723e-01,-1.1261e+00,-1.5972e+00,8.2796e-01,1.9207e+00,2.9346e+00,-1.4766e+04
1.7910e-01,-1.3374e+00,-3.0586e+00,-1.5074e+00,-7.8948e-01,2.4971e+00,2.7337e+00,-8.1675e+03
2.6685e-02,-1.7708e+00,-1.7360e+00,-5.1232e-01,-1.2519e+00,2.9315e-01,2.9736e+00,-1.0350e+04
2.2221e-02,-1.9005e+00,-1.5612e+00,-8.7400e-02,-3.4562e-02,4.1297e-01,2.9344e+00,-8.9663e+03
-5.1575e-02,-1.0142e+00,-1.4032e+00,-1.9650e+00,-1.0618e+00,2.5108e+00,2.5470e+00,-1.4608e+04
4.4687e-02,-1.0796e+00,-1.5418e+00,3.2002e-01,-1.3193e+00,1.9049e+00,2.9438e+00,-1.4291e+04
7.6578e-02,-1.9121e+00,-2.2573e+00,-1.2255e+00,-4.5936e-02,2.0238e+00,2.8791e+00,-1.4162e+04
-9.5381e-02,-1.2338e+00,-2.4383e+00,-5.0601e-01,3.1022e-01,2.8773e-01,2.9155e+00,-1.2144e+04
1.1716e-01,-1.4874e+00,-2.7272e+00,-7.8590e-01,6.9132e-01,1.1162e+00,2.9676e+00,-1.1167e+04
-3.4563e-01,-1.0001e+00,-1.1211e+00,-8.5186e-02,1.5373e-01,9.1848e-01,2.9180e+00,-9.9564e+03
-2.8538e-01,-9.7803e-01,-2.7816e+00,-9.3119e-01,9.0039e-01,3.8855e-01,2.8888e+00,-1.5076e+04
3.8223e-01,-1.4652e+00,-2.0543e+00,-1.7486e+00,3.6814e-01,2.6523e+00,2.6084e+00,-1.1211e+04
9.5237e-02,-1.4500e+00,-2.3603e+00,-2.0789e-02,-8.8767e-01,1.6812e+00,2.9293e+00,-7.9053e+03
-9.8932e-03,-1.1937e+00,-2.1823e+00,-2.5541e-01,2.2233e-02,1.5391e+00,2.9943e+00,-1.5059e+04
-2.6737e-02,-1.4404e+00,-2.7866e+00,-1.6255e+00,1.1913e-01,6.1510e-01,2.9853e+00,-1.5364e+04
-5.3044e-02,-1.7179e+00,-1.7754e+00,-1.3971e+00,-2.6048e-01,2.8809e-01,2.9114e+00,-1.3801e+04
1.0337e-01,-1.4395e+00,-2.9473e+00,-3.2044e-01,9.8143e-01,2.1902e+00,2.8570e+00,-1.2978e+04
7.3595e-02,-1.6391e+00,-2.2123e+00,-1.7399e-01,-1.0292e+00,6.1375e-01,2.9812e+00,-4.3794e+03
-1.3389e-01,-8.1622e-01,-2.0053e+00,-5.1418e-01,-6.0634e-01,2.6984e+00,2.1090e+00,-8.0337e+03
5.9699e-02,-1.8467e+00,-2.5222e+00,-1.8779e+00,-1.2993e+00,1.2943e+00,2.9209e+00,-9.2380e+03
3.2187e-01,-1.9347e+00,-1.1045e+00,-1.3774e-01,-9.5859e-01,2.2903e+00,2.9014e+00,-1.1778e+04
2.6241e-01,-1.2776e+00,-9.7098e-01,-1.6415e+00,-8.1139e-01,2.6514e+00,2.4576e+00,-6.7280e+03
3.1882e-01,-1.7453e+00,-2.4151e+00,-1.0727e+00,-5.3762e-01,2.5328e+00,2.6804e+00,-5.5606e+03
-1.0251e-01,-1.2426e+00,-2.7961e+00,-8.1069e-01,1.9248e-01,1.1696e+00,2.9657e+00,-1.2017e+04
1.2031e-01,-1.6219e+00,-3.1490e+00,-4.4778e-01,-1.1204e+00,2.0839e+00,2.8497e+00,-6.8360e+03
-9.1975e-02,-1.2749e+00,-1.5277e+00,-1.5424e+00,-9.5297e-01,7.2319e-01,2.9222e+00,-8.7806e+03
-2.0717e-01,-1.0734e+00,-1.3611e+00,-4.7629e-01,-2.7619e-01,1.0234e+00,2.9740e+00,-1.5370e+04
6.1311e-02,-1.0210e+00,-3.1187e+00,-7.1375e-01,8.5446e-03,2.7120e+00,1.9755e+00,-1.4939e+04
4.3116e-02,-1.4047e+00,-2.1307e+00,-3.6610e-01,-1.6479e-01,2.0465e+00,2.8910e+00,-6.3928e+03
-2.2171e-01,-7.7359e-01,-1.8733e+00,-1.0001e+00,9.5441e-01,2.6370e+00,2.5109e+00,-1.5202e+04
-2.5549e-01,-9.8674e-01,-9.6810e-01,-2.0698e+00,-8.6618e-01,2.0749e+00,2.8160e+00,-7.3446e+03
-2.8490e-01,-8.2447e-01,-2.0133e+00,1.4226e-01,-9.7182e-01,2.3033e+00,2.7318e+00,-1.0669e+04
1.0764e-01,-1.7417e+00,-9.3882e-01,-5.5118e-01,2.3115e-01,1.3898e+00,2.9863e+00,-1.0365e+04
-4.4459e-01,-8.0860e-01,-3.1143e+00,-5.6725e-01,-2.0936e-01,2.2970e+00,2.7262e+00,-8.7163e+03
-1.5611e-01,-1.2404e+00,-9.9459e-01,-1.8698e+00,4.5217e-01,3.6134e-01,2.9574e+00,-1.5260e+04
-3.0485e-01,-9.7766e-01,-1.8663e+00,-1.1896e+00,-9.4443e-01,8.3244e-01,2.9358e+00,-4.7229e+03
-1.8265e-01,-1.1419e+00,-2.9299e+00,-7.0015e-01,-2.6564e-01,9.1060e-01,2.9353e+00,-3.6348e+03
1.5330e-02,-1.3928e+00,-1.9409e+00,3.5608e-02,-6.9991e-01,1.3497e+00,2.9345e+00,-3.8474e+03
1.0289e-01,-1.7706e+00,-2.0343e+00,-5.2173e-01,-8.9176e-01,1.8107e+00,2.8823e+00,-1.2796e+04
-8.3755e-02,-8.7005e-01,-1.0587e+00,-1.7934e+00,-1.3890e+00,2.6891e+00,2.4239e+00,-1.3718e+04
-2.7953e-01,-1.0220e+00,-2.1060e+00,-1.4264e+00,-9.6603e-01,1.7821e+00,2.8968e+00,-9.0251e+03
-2.8295e-01,-1.0929e+00,-3.1407e+00,-1.1934e+00,-5.5656e-01,8.5220e-01,2.9159e+00,-8.3999e+03
8.4948e-02,-1.5596e+00,-2.9916e+00,-1.0463e-01,-1.2899e+00,7.3610e-01,2.9824e+00,-4.7984e+03
-6.3467e-04,-1.7862e+00,-1.0914e+00,-1.8023e+00,-8.9039e-01,1.0591e+00,2.9407e+00,-9.4319e+03
3.6667e-02,-1.3465e+00,-2.4681e+00,-1.3808e+00,2.4071e-01,1.9482e+00,2.9058e+00,-3.9300e+03
-7.4144e-02,-1.1998e+00,-2.6676e+00,-8.0814e-01,5.0568e-01,1.6107e+00,2.8994e+00,-6.8023e+03
-1.2922e-01,-1.1938e+00,-1.9685e+00,-4.1355e-01,6.5547e-01,9.6564e-01,2.9245e+00,-3.5325e+03
1.7959e-01,-1.5793e+00,-2.8671e+00,1.1256e-01,-1.0223e+00,8.9673e-01,3.0238e+00,-1.3484e+04
2.7716e-01,-1.2769e+00,-1.5333e+00,-1.5579e+00,9.6921e-01,2.5165e+00,2.7634e+00,-1.3422e+04
-2.2365e-01,-1.0599e+00,-2.7682e+00,-1.2275e+00,-1.0876e+00,1.7040e+00,2.8713e+00,-1.0165e+04
-2.1091e-01,-1.1042e+00,-2.0892e+00,-7.7921e-01,-2.2885e-01,1.4208e+00,2.9380e+00,-9.6715e+03
-7.2453e-02,-1.1173e+00,-2.4597e+00,-3.8738e-01,1.5183e-01,1.3032e+00,2.9702e+00,-8.2221e+03
3.9407e-02,-1.4049e+00,-2.0848e+00,-9.0561e-01,-3.4810e-01,1.2239e+00,2.9733e+00,-6.4311e+03
2.5265e-01,-1.9145e+00,-2.0235e+00,7.9205e-02,-2.7274e-01,2.3027e+00,2.7887e+00,-7.3478e+03
-8.4038e-02,-1.2482e+00,-2.3679e+00,-1.3064e+00,1.4978e-01,2.0858e+00,2.8294e+00,-1.1517e+04
-3.6061e-02,-1.3315e+00,-1.9737e+00,2.0504e-01,-2.9931e-01,4.1140e-01,2.9508e+00,-2.9448e+03
3.3672e-01,-1.6728e+00,-2.6686e+00,-4.0105e-01,4.2244e-01,2.6680e+00,2.3550e+00,-1.5873e+04
3.6844e-01,-1.4240e+00,-2.4633e+00,-1.9062e+00,7.4064e-01,2.5470e+00,2.6986e+00,-1.3941e+04
1.0000e-02,-1.1269e+00,-2.6710e+00,-1.0305e+00,3.4802e-01,2.2786e+00,2.8341e+00,-5.3598e+03
-1.6820e-01,-1.2408e+00,-1.1751e+00,-8.9805e-01,8.0328e-01,1.4299e+00,2.8835e+00,-1.3142e+04
-1.0349e-01,-1.3217e+00,-1.3004e+00,-1.2080e+00,6.4278e-01,3.3854e-01,2.9621e+00,-1.6178e+04
3.1350e-02,-1.3104e+00,-8.4713e-01,-1.1673e+00,1.2722e-01,8.4947e-01,3.0062e+00,-1.1835e+04
-1.5194e-01,-8.8846e-01,-2.8109e+00,-4.5244e-01,-7.3645e-01,2.5684e+00,2.4712e+00,-9.5725e+03
1.8259e-01,-1.9489e+00,-2.3141e+00,-5.7385e-01,1.0222e+00,1.1986e+00,2.9389e+00,-7.8411e+03
-1.3929e-01,-1.0029e+00,-1.3446e+00,-3.2060e-03,2.8674e-01,2.2943e-01,2.9798e+00,-1.0377e+04
7.5370e-02,-1.2246e+00,-1.8090e+00,-1.8246e+00,3.6906e-01,1.8699e+00,2.9567e+00,-1.5565e+04
1.1837e-01,-1.8460e+00,-1.1006e+00,-9.6969e-01,-9.8736e-01,2.1721e+00,2.8030e+00,-1.2415e+04
1.0066e-01,-1.9795e+00,-9.9335e-01,-1.7099e+00,9.0334e-01,5.4869e-01,2.9461e+00,-3.1240e+03
2.7472e-01,-1.4801e+00,-2.2948e+00,-2.0424e+00,1.0558e+00,2.4304e+00,2.7425e+00,-4.5611e+03
-7.3104e-02,-1.3887e+00,-2.4673e+00,-1.6595e+00,-5.8290e-02,1.6658e+00,2.8952e+00,-8.7578e+03
-1.4069e-01,-7.9445e-01,-1.9669e+00,-1.8848e+00,7.2352e-01,2.6726e+00,2.2897e+00,-6.7623e+03
