logfeh_mean,logdust,logNpix,tau,logl
-4.8946e-01,-1.9528e+00,1.2213e+00,4.4069e+00,-4.5442e+04
-4.9360e-01,-1.9505e+00,1.2090e+00,4.5981e+00,-4.5546e+04
-4.8888e-01,-1.9425e+00,1.2101e+00,4.4561e+00,-4.5360e+04
-4.9141e-01,-1.9781e+00,1.2232e+00,4.2055e+00,-4.5558e+04
-4.9592e-01,-1.9365e+00,1.2235e+00,4.3046e+00,-4.5530e+04
-4.9508e-01,-1.9306e+00,1.2069e+00,4.6638e+00,-4.5448e+04
-4.8803e-01,-1.9554e+00,1.2105e+00,4.6160e+00,-4.5554e+04
-4.9873e-01,-1.9812e+00,1.2213e+00,4.2362e+00,-4.5481e+04
-4.9798e-01,-1.9070e+00,1.2107e+00,4.4795e+00,-4.5562e+04
-4.8670e-01,-1.9251e+00,1.2183e+00,4.5301e+00,-4.5443e+04
-4.9052e-01,-1.9869e+00,1.2139e+00,4.4402e+00,-4.5357e+04
-4.8931e-01,-1.9950e+00,1.2187e+00,4.4914e+00,-4.5448e+04
-4.9210e-01,-1.9986e+00,1.2218e+00,4.2240e+00,-4.5191e+04
-4.9685e-01,-1.9629e+00,1.2042e+00,4.6776e+00,-4.5414e+04
-4.9337e-01,-1.9936e+00,1.2112e+00,4.6829e+00,-4.5555e+04
-4.8863e-01,-1.9750e+00,1.2107e+00,4.4831e+00,-4.5058e+04
-4.8802e-01,-1.9285e+00,1.2108e+00,4.5480e+00,-4.5553e+04
-4.8046e-01,-1.9719e+00,1.2215e+00,4.3646e+00,-4.5561e+04
-4.8774e-01,-1.9782e+00,1.2158e+00,4.6045e+00,-4.5517e+04
-4.8686e-01,-1.9256e+00,1.2180e+00,4.4938e+00,-4.5557e+04
-4.5333e-01,-1.9980e+00,1.2286e+00,4.2581e+00,-4.5549e+04
-4.9621e-01,-1.9312e+00,1.2024e+00,4.7631e+00,-4.5499e+04
-4.8637e-01,-1.8532e+00,1.2196e+00,4.5548e+00,-4.5561e+04
-4.9365e-01,-1.9536e+00,1.2150e+00,4.6596e+00,-4.5368e+04
-4.8830e-01,-1.8463e+00,1.2103e+00,4.5082e+00,-4.5561e+04
-4.9364e-01,-1.9000e+00,1.2113e+00,4.4575e+00,-4.5527e+04
-4.8691e-01,-1.9593e+00,1.2238e+00,4.2770e+00,-4.5553e+04
-4.9827e-01,-1.9940e+00,1.2048e+00,4.5267e+00,-4.5454e+04
-4.8339e-01,-1.9702e+00,1.2174e+00,4.5065e+00,-4.5560e+04
-4.9352e-01,-1.9955e+00,1.2145e+00,4.6679e+00,-4.5423e+04
-4.8757e-01,-1.9747e+00,1.2138e+00,4.5720e+00,-4.5558e+04
-4.8968e-01,-1.9758e+00,1.2113e+00,4.5867e+00,-4.5502e+04
-4.9309e-01,-1.8923e+00,1.2085e+00,4.4707e+00,-4.5475e+04
-4.8820e-01,-1.9839e+00,1.2208e+00,4.4556e+00,-4.5425e+04
