logfeh_mean,logdust,logNpix,tau,logl
-1.6819e-01,-1.3700e+00,2.0176e+00,4.5235e+00,-3.0797e+04
-1.8169e-02,-1.6672e+00,2.0099e+00,3.3137e+00,-5.7781e+04
-4.8200e-01,-1.3643e+00,1.9485e+00,1.5698e+00,-5.2797e+04
-2.1640e-01,-1.9634e+00,1.8803e+00,4.0641e+00,-4.1286e+04
-9.2842e-02,-1.7476e+00,1.9411e+00,3.8321e+00,-4.2990e+04
-4.9178e-01,-1.5901e+00,1.8403e+00,3.3193e+00,-5.6701e+04
-3.1360e-01,-1.9380e+00,1.9199e+00,4.9436e+00,-2.0789e+04
-3.8025e-01,-1.8053e+00,1.8825e+00,3.6716e+00,-3.4472e+04
-1.7124e-01,-1.1819e+00,2.0948e+00,4.3717e+00,-5.8582e+04
-1.2851e-01,-1.1735e+00,2.0336e+00,4.2873e+00,-4.7900e+04
-4.9229e-01,-1.6280e+00,1.9108e+00,1.3887e-01,-5.3646e+04
-4.3037e-01,-1.1812e+00,2.0272e+00,3.2571e+00,-3.7903e+04
-3.0283e-01,-9.9480e-01,1.9783e+00,4.7611e+00,-4.3193e+04
-4.0784e-01,-1.4479e+00,1.9465e+00,2.8464e+00,-3.4141e+04
-6.4552e-02,-1.2871e+00,1.9700e+00,4.6689e+00,-4.2074e+04
-3.4312e-01,-1.2797e+00,1.9399e+00,4.8155e+00,-1.8477e+04
-3.6718e-01,-1.4162e+00,2.0043e+00,4.2647e+00,-3.1199e+04
-4.4933e-01,-1.5481e+00,1.9755e+00,1.4217e-01,-4.0193e+04
1.7573e-01,-1.9075e+00,2.0369e+00,4.9973e+00,-3.6237e+04
-4.2741e-01,-1.7230e+00,1.9987e+00,2.7206e+00,-2.5415e+04
-3.7664e-01,-1.8115e+00,1.8685e+00,4.9334e+00,-2.9698e+04
1.8757e-01,-1.6125e+00,2.0701e+00,4.9429e+00,-4.7241e+04
-4.7049e-01,-1.4930e+00,2.0434e+00,1.7875e+00,-3.9430e+04
-2.8571e-01,-1.6377e+00,2.0440e+00,4.2628e+00,-5.0983e+04
-2.4573e-01,-1.5293e+00,1.9367e+00,4.0828e+00,-2.5292e+04
-3.3580e-02,-1.8184e+00,2.0420e+00,4.0390e+00,-3.4913e+04
-4.2196e-01,-1.7905e+00,2.0730e+00,6.3573e-01,-5.0044e+04
-3.9861e-01,-1.4197e+00,1.9357e+00,2.3842e+00,-5.3552e+04
-3.2977e-01,-9.9943e-01,2.0439e+00,3.8468e+00,-5.6667e+04
-1.7463e-01,-1.3087e+00,1.8976e+00,4.3630e+00,-5.7113e+04
-1.4835e-01,-1.6518e+00,2.0681e+00,2.8336e+00,-5.0353e+04
-4.5820e-01,-1.1455e+00,1.9676e+00,4.9883e+00,-2.0754e+04
1.2770e-01,-1.5956e+00,2.0841e+00,4.5750e+00,-4.9998e+04
-2.5643e-01,-1.3854e+00,2.0611e+00,4.4144e+00,-5.1246e+04
-3.3929e-01,-1.2166e+00,1.8446e+00,4.7884e+00,-5.7789e+04
-2.7678e-01,-1.2801e+00,2.0329e+00,4.1649e+00,-3.6473e+04
2.6449e-02,-1.8963e+00,1.9580e+00,4.7659e+00,-2.9470e+04
-4.7246e-01,-8.7278e-01,1.9650e+00,4.6044e+00,-4.9538e+04
-1.7416e-01,-1.9397e+00,2.0105e+00,2.1092e+00,-5.5139e+04
-1.7194e-01,-1.8637e+00,2.0403e+00,3.3682e+00,-3.4794e+04
-2.2214e-01,-1.4628e+00,1.9678e+00,4.6981e+00,-1.8434e+04
-7.1579e-02,-1.6031e+00,2.0134e+00,3.9506e+00,-3.3672e+04
-3.6444e-01,-1.3839e+00,2.0375e+00,4.0842e+00,-4.3300e+04
-1.8871e-01,-1.2917e+00,1.9821e+00,4.2794e+00,-3.2315e+04
-4.4782e-01,-1.9454e+00,1.9888e+00,3.7277e+00,-3.2785e+04
-4.9457e-01,-1.2696e+00,2.0813e+00,1.0403e+00,-5.6580e+04
