nlive,niter,ncall,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,logzh,logdust,logNpix,tau
2.0000e+03,1.8300e+02,1.0900e+03,1.6140e+01,-4.7720e+05,-4.7720e+05,-3.6437e+00,-4.7720e+05,4.0416e-01,8.2488e+00,2.1725e+05,-3.3403e-01,-1.8044e+00,1.8466e+00,5.3237e+00
2.0000e+03,1.8400e+02,1.1260e+03,1.5731e+01,-4.7189e+05,-4.7190e+05,-3.6635e+00,-4.7190e+05,4.0465e-01,8.2687e+00,2.1716e+05,-4.6183e-01,-1.4454e+00,1.9039e+00,5.8796e+00
2.0000e+03,1.8500e+02,1.1800e+03,1.5122e+01,-4.7144e+05,-4.7145e+05,-3.6833e+00,-4.7145e+05,4.0513e-01,8.2884e+00,2.1185e+05,-1.3063e+00,-1.4117e+00,1.8337e+00,3.9406e+00
2.0000e+03,1.8600e+02,1.1820e+03,1.5179e+01,-4.6580e+05,-4.6581e+05,-3.7031e+00,-4.6581e+05,4.0562e-01,8.3083e+00,2.1180e+05,-1.1684e+00,-1.4503e+00,1.4218e+00,6.7157e+00
2.0000e+03,1.8700e+02,1.2140e+03,1.4873e+01,-4.6422e+05,-4.6423e+05,-3.7229e+00,-4.6423e+05,4.0610e-01,8.3281e+00,2.0616e+05,-6.4719e-01,-1.9610e+00,1.7156e+00,5.1152e+00
2.0000e+03,1.8800e+02,1.2150e+03,1.4941e+01,-4.5669e+05,-4.5670e+05,-3.7427e+00,-4.5670e+05,4.0658e-01,8.3479e+00,2.0458e+05,-3.4123e-01,-1.6265e+00,1.6930e+00,6.6025e+00
2.0000e+03,1.8900e+02,1.2270e+03,1.4879e+01,-4.5124e+05,-4.5125e+05,-3.7625e+00,-4.5125e+05,4.0707e-01,8.3677e+00,1.9705e+05,-9.6137e-01,-1.0514e+00,1.8497e+00,6.3572e+00
2.0000e+03,1.9000e+02,1.2310e+03,1.4910e+01,-4.5088e+05,-4.5089e+05,-3.7823e+00,-4.5089e+05,4.0755e-01,8.3875e+00,1.9160e+05,-1.3492e+00,-1.0181e+00,1.9278e+00,6.1914e+00
2.0000e+03,1.9100e+02,1.2380e+03,1.4907e+01,-4.4994e+05,-4.4994e+05,-3.8021e+00,-4.4994e+05,4.0803e-01,8.4073e+00,1.9124e+05,-5.1706e-01,-1.2171e+00,1.8574e+00,6.7875e+00
2.0000e+03,1.9200e+02,1.3150e+03,1.4139e+01,-4.4929e+05,-4.4930e+05,-3.8219e+00,-4.4930e+05,4.0851e-01,8.4271e+00,1.9029e+05,-1.1473e+00,-1.4725e+00,1.9256e+00,4.7382e+00
2.0000e+03,1.9300e+02,1.3510e+03,1.3847e+01,-4.4522e+05,-4.4522e+05,-3.8417e+00,-4.4522e+05,4.0899e-01,8.4469e+00,1.8965e+05,-5.9195e-01,-1.2882e+00,1.7599e+00,6.4626e+00
2.0000e+03,1.9400e+02,1.3700e+03,1.3732e+01,-4.4505e+05,-4.4506e+05,-3.8615e+00,-4.4506e+05,4.0947e-01,8.4667e+00,1.8557e+05,-3.9771e-01,-1.6120e+00,1.8546e+00,5.8510e+00
2.0000e+03,1.9500e+02,1.3880e+03,1.3630e+01,-4.4340e+05,-4.4340e+05,-3.8813e+00,-4.4340e+05,4.0994e-01,8.4865e+00,1.8541e+05,-1.2370e+00,-1.8610e+00,1.6550e+00,4.1334e+00
2.0000e+03,1.9600e+02,1.3890e+03,1.3690e+01,-4.4145e+05,-4.4146e+05,-3.9011e+00,-4.4146e+05,4.1042e-01,8.5063e+00,1.8375e+05,-2.8395e-01,-1.6210e+00,1.9185e+00,6.7482e+00
2.0000e+03,1.9700e+02,1.3930e+03,1.3721e+01,-4.4006e+05,-4.4007e+05,-3.9209e+00,-4.4007e+05,4.1090e-01,8.5261e+00,1.8181e+05,-6.7001e-01,-1.2260e+00,1.7755e+00,6.6022e+00
2.0000e+03,1.9800e+02,1.3990e+03,1.3734e+01,-4.3853e+05,-4.3854e+05,-3.9407e+00,-4.3854e+05,4.1138e-01,8.5459e+00,1.8042e+05,-6.2760e-01,-1.2834e+00,1.7615e+00,6.5079e+00
2.0000e+03,1.9900e+02,1.4030e+03,1.3765e+01,-4.3790e+05,-4.3791e+05,-3.9605e+00,-4.3791e+05,4.1185e-01,8.5657e+00,1.7889e+05,-1.3487e+00,-1.5990e+00,1.7540e+00,3.8765e+00
2.0000e+03,2.0000e+02,1.4290e+03,1.3590e+01,-4.3041e+05,-4.3042e+05,-3.9803e+00,-4.3042e+05,4.1233e-01,8.5855e+00,1.7826e+05,-6.4192e-01,-1.7333e+00,1.6219e+00,6.3222e+00
2.0000e+03,2.0100e+02,1.4550e+03,1.3422e+01,-4.2981e+05,-4.2982e+05,-4.0001e+00,-4.2982e+05,4.1280e-01,8.6053e+00,1.7077e+05,-1.0899e+00,-1.5305e+00,1.6939e+00,4.7708e+00
