logfeh_mean,logdust_med,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,logl
-1.8109e-01,-8.6111e-01,-2.3339e+00,-2.0439e-01,-1.0145e+00,1.0888e+00,1.2969e+00,-1.0915e+05
-2.6806e-02,-4.4876e-01,-1.6321e+00,-9.7097e-02,7.5424e-01,4.9440e-01,2.3612e+00,-1.0870e+05
2.3455e-02,-7.4170e-01,-9.3470e-01,-6.6907e-01,-7.8016e-03,7.5414e-01,1.6128e+00,-1.0246e+05
-2.5077e-01,-2.1182e-02,-2.3599e+00,-3.9974e-01,2.5838e-02,2.1254e-01,2.0212e+00,-3.1398e+04
-3.4404e-01,-9.0891e-01,-1.0266e+00,-1.6790e+00,8.1352e-01,7.6359e-01,1.7561e+00,-5.0946e+04
-3.3310e-01,-1.6048e-02,-2.2744e+00,1.0482e-01,-9.4804e-01,1.3420e+00,1.3250e+00,-1.0541e+05
7.0262e-02,-5.1784e-01,-1.2302e+00,-1.1280e+00,-1.0934e+00,1.0353e+00,2.3422e+00,-8.8384e+04
2.1874e-01,-1.8016e-01,-1.7502e+00,-6.3612e-01,1.4506e-01,1.8368e+00,1.6264e+00,-1.2423e+04
1.1961e-01,-8.5456e-01,-1.4723e+00,3.4115e-02,3.5899e-01,1.1400e+00,1.2060e+00,-1.0418e+05
-4.7009e-01,-1.6568e-01,-2.5322e+00,-6.8758e-01,6.2239e-01,1.8601e-01,2.3203e+00,-9.7748e+04
-1.4280e-01,-8.3074e-01,-2.6400e+00,-1.6693e+00,-6.3887e-01,3.3401e-01,1.7455e+00,-8.7719e+04
-1.7307e-01,-3.2852e-01,-1.7618e+00,-8.0617e-01,5.7880e-01,1.9669e+00,1.1927e+00,-6.6537e+04
-2.2180e-01,-8.9605e-01,-2.5563e+00,-4.5798e-03,-3.2794e-01,9.9201e-01,1.3146e+00,-1.0761e+05
3.4833e-02,-6.6452e-01,-2.4309e+00,-2.0441e-01,-4.0510e-01,2.8460e-01,2.3947e+00,-1.1288e+05
-4.1160e-01,-9.9563e-01,-1.4240e+00,-6.2790e-01,-5.0810e-01,4.1307e-01,1.7647e+00,-5.8284e+04
-1.7147e-01,-9.2893e-01,-1.1338e+00,-1.5559e-03,-8.6149e-01,4.9503e-01,1.8105e+00,-5.0226e+04
2.2819e-01,-2.2614e-01,-2.5028e+00,1.2057e-01,5.3186e-01,8.9406e-01,1.2167e+00,-1.1964e+05
-8.2991e-02,-6.4391e-02,-1.0259e+00,-7.7843e-01,4.0032e-01,9.4289e-01,2.4902e+00,-1.1538e+05
-2.0376e-01,-6.2539e-01,-2.6402e+00,-8.7587e-01,3.1571e-01,1.6447e+00,1.3243e+00,-2.5420e+04
-3.0255e-01,-5.3883e-01,-2.4697e+00,-1.5703e+00,-9.1091e-01,1.2594e+00,1.0663e+00,-1.1720e+05
1.2422e-01,-6.5435e-01,-2.2864e+00,-6.6221e-01,-5.8080e-01,1.7745e-01,2.1897e+00,-2.8348e+04
-1.0985e-01,-9.5804e-01,-1.2514e+00,2.4291e-01,4.7907e-01,7.9656e-01,1.6063e+00,-7.8231e+04
-4.3521e-01,-9.4967e-01,-1.3742e+00,-3.5402e-01,-2.4034e-01,6.1996e-01,2.0476e+00,-7.1685e+04
-3.7203e-01,-1.4492e-01,-2.7266e+00,-4.5042e-01,-7.9906e-01,6.2369e-01,1.6207e+00,-1.1544e+05
-4.9539e-01,-5.6145e-01,-1.1722e+00,-3.8246e-01,-3.3684e-02,1.2370e+00,9.6350e-01,-1.0914e+05
-4.3267e-02,-1.1434e-02,-2.3181e+00,-5.5935e-01,5.4639e-01,1.6936e+00,1.5940e+00,-1.2270e+04
-1.0693e-01,-1.3888e-01,-2.0545e+00,-1.6677e+00,7.0793e-01,2.3164e-01,1.4635e+00,-1.1658e+05
-8.3235e-02,-9.2708e-01,-2.0093e+00,-8.1161e-01,4.3335e-01,1.5495e+00,1.3979e+00,-3.6137e+04
-2.9438e-01,-8.9525e-01,-1.2012e+00,2.2061e-01,1.1398e-01,1.0756e+00,1.3783e+00,-9.9316e+04
-3.2642e-01,-9.0451e-03,-2.7543e+00,-1.0633e+00,4.5479e-01,3.0562e-01,1.8202e+00,-8.4575e+04
-2.1450e-01,-1.6740e-01,-1.3424e+00,-1.0238e+00,-1.0745e+00,1.4956e+00,1.7780e+00,-1.6467e+04
1.4376e-01,-4.2493e-01,-8.8619e-01,2.6724e-02,-2.0744e-01,1.4321e-01,1.0728e+00,-1.1998e+05
2.3175e-01,-3.8861e-01,-1.6322e+00,-3.2846e-01,-1.4876e-02,3.1529e-01,2.0638e+00,-5.5234e+04
-2.2001e-01,-1.7131e-01,-2.5858e+00,-1.6058e+00,-1.1194e-01,1.9754e+00,1.2335e+00,-4.1655e+04
-7.2891e-02,-9.4025e-01,-2.4278e+00,-1.5957e+00,6.8831e-01,1.0034e+00,1.1483e+00,-1.0002e+05
-7.9389e-03,-7.5453e-02,-2.5029e+00,4.7449e-02,-1.0390e+00,1.9794e+00,1.7531e+00,-4.6478e+04
-2.6883e-01,-8.2270e-01,-1.8012e+00,-4.7435e-01,-1.0046e+00,5.0237e-01,1.4940e+00,-1.1579e+05
3.0865e-02,-6.7257e-01,-1.9157e+00,-3.2425e-01,-8.0558e-01,9.8740e-01,2.1942e+00,-4.6351e+04
