logfeh_mean,logdust_med,logNpix,tau,logl
-4.9216e-01,-1.1214e-01,2.7145e+00,3.6259e+00,-3.5070e+03
-4.8610e-01,-1.3437e-01,2.7126e+00,3.5634e+00,-3.5235e+03
-4.8599e-01,-1.4277e-01,2.7114e+00,3.5497e+00,-3.5270e+03
-4.8540e-01,-1.2423e-01,2.7119e+00,3.6659e+00,-3.5275e+03
-4.9231e-01,-1.0517e-01,2.7151e+00,3.6608e+00,-3.5321e+03
-4.8622e-01,-1.2356e-01,2.7136e+00,3.5776e+00,-3.5265e+03
-4.8691e-01,-1.3576e-01,2.7126e+00,3.5384e+00,-3.5206e+03
-4.8639e-01,-1.3459e-01,2.7129e+00,3.5422e+00,-3.5231e+03
-4.8722e-01,-1.4632e-01,2.7061e+00,3.6507e+00,-3.4986e+03
-4.8693e-01,-1.2704e-01,2.7126e+00,3.5407e+00,-3.5286e+03
-4.8800e-01,-1.5897e-01,2.7048e+00,3.6012e+00,-3.5284e+03
-4.8459e-01,-1.4509e-01,2.7103e+00,3.5903e+00,-3.5108e+03
-4.9300e-01,-1.2837e-01,2.7144e+00,3.6306e+00,-3.5324e+03
-4.8494e-01,-1.2271e-01,2.7123e+00,3.6695e+00,-3.5206e+03
-4.9316e-01,-1.2982e-01,2.7130e+00,3.6366e+00,-3.4835e+03
-4.8871e-01,-1.3966e-01,2.7101e+00,3.5572e+00,-3.5302e+03
-4.8575e-01,-1.2292e-01,2.7131e+00,3.5718e+00,-3.5105e+03
-4.8875e-01,-1.5012e-01,2.7079e+00,3.5565e+00,-3.5145e+03
-4.9345e-01,-1.1907e-01,2.7136e+00,3.6364e+00,-3.5169e+03
-4.9347e-01,-1.2580e-01,2.7143e+00,3.6357e+00,-3.5226e+03
-4.9331e-01,-1.2126e-01,2.7124e+00,3.6605e+00,-3.5028e+03
-4.9029e-01,-1.1850e-01,2.7123e+00,3.6497e+00,-3.5265e+03
-4.8736e-01,-1.4055e-01,2.7069e+00,3.6602e+00,-3.5238e+03
-4.8814e-01,-1.7126e-01,2.6977e+00,3.7072e+00,-3.5226e+03
-4.9028e-01,-1.3019e-01,2.7117e+00,3.6361e+00,-3.5129e+03
-4.9218e-01,-1.0519e-01,2.7164e+00,3.6361e+00,-3.5020e+03
-4.9031e-01,-1.2602e-01,2.7115e+00,3.6248e+00,-3.5260e+03
-4.8525e-01,-1.3237e-01,2.7130e+00,3.5559e+00,-3.5223e+03
-4.9331e-01,-1.1826e-01,2.7130e+00,3.6485e+00,-3.5287e+03
-4.8680e-01,-1.6982e-01,2.7038e+00,3.5904e+00,-3.5320e+03
-4.9046e-01,-1.1934e-01,2.7115e+00,3.6320e+00,-3.5214e+03
-4.9180e-01,-1.2917e-01,2.7115e+00,3.6304e+00,-3.5313e+03
-4.8852e-01,-1.3711e-01,2.7087e+00,3.7077e+00,-3.5207e+03
-4.8471e-01,-1.3252e-01,2.7142e+00,3.5441e+00,-3.5256e+03
-4.9349e-01,-1.2261e-01,2.7142e+00,3.6378e+00,-3.5179e+03
-4.8783e-01,-1.5689e-01,2.7057e+00,3.5638e+00,-3.5328e+03
-4.9011e-01,-1.1702e-01,2.7139e+00,3.6213e+00,-3.5219e+03
-4.8697e-01,-1.5296e-01,2.7050e+00,3.6011e+00,-3.5262e+03
-4.9129e-01,-1.2630e-01,2.7134e+00,3.6557e+00,-3.5295e+03
-4.8694e-01,-1.4382e-01,2.7069e+00,3.6624e+00,-3.5162e+03
-4.8577e-01,-1.4966e-01,2.7055e+00,3.6156e+00,-3.5315e+03
-4.9197e-01,-1.2489e-01,2.7133e+00,3.6489e+00,-3.5314e+03
-4.8537e-01,-1.1667e-01,2.7124e+00,3.6686e+00,-3.5106e+03
-4.8872e-01,-1.4038e-01,2.7072e+00,3.7032e+00,-3.5321e+03
-4.9148e-01,-1.0779e-01,2.7163e+00,3.6302e+00,-3.5089e+03
-4.8893e-01,-1.3299e-01,2.7105e+00,3.6220e+00,-3.5201e+03
-4.8556e-01,-1.4785e-01,2.7068e+00,3.6046e+00,-3.5067e+03
-4.8530e-01,-1.3453e-01,2.7129e+00,3.5551e+00,-3.5204e+03
-4.9303e-01,-1.1460e-01,2.7134e+00,3.6383e+00,-3.5168e+03
-4.8700e-01,-1.7279e-01,2.7019e+00,3.5812e+00,-3.5206e+03
-4.9208e-01,-1.0500e-01,2.7159e+00,3.6356e+00,-3.5069e+03
-4.8704e-01,-1.4838e-01,2.7093e+00,3.5903e+00,-3.5268e+03
-4.9311e-01,-1.1574e-01,2.7138e+00,3.6713e+00,-3.5167e+03
-4.9007e-01,-1.1929e-01,2.7127e+00,3.6287e+00,-3.5228e+03
-4.8768e-01,-1.4760e-01,2.7056e+00,3.6449e+00,-3.5267e+03
-4.9253e-01,-1.1541e-01,2.7159e+00,3.6369e+00,-3.5143e+03
-4.8647e-01,-1.5802e-01,2.7021e+00,3.6069e+00,-3.5162e+03
-4.8744e-01,-1.3097e-01,2.7150e+00,3.5324e+00,-3.5275e+03
-4.8616e-01,-1.3145e-01,2.7125e+00,3.5549e+00,-3.5181e+03
-4.8949e-01,-1.3554e-01,2.7123e+00,3.6392e+00,-3.5242e+03
-4.8714e-01,-1.3853e-01,2.7084e+00,3.6995e+00,-3.5285e+03
-4.9329e-01,-1.1610e-01,2.7136e+00,3.6339e+00,-3.5076e+03
-4.8514e-01,-1.1254e-01,2.7133e+00,3.6717e+00,-3.4819e+03
-4.8623e-01,-1.3744e-01,2.7133e+00,3.5439e+00,-3.5315e+03
-4.9241e-01,-1.2007e-01,2.7133e+00,3.6683e+00,-3.5292e+03
-4.8991e-01,-1.2299e-01,2.7126e+00,3.6435e+00,-3.5283e+03
-4.9083e-01,-1.3492e-01,2.7113e+00,3.6420e+00,-3.5323e+03
-4.8405e-01,-1.2570e-01,2.7131e+00,3.6212e+00,-3.5327e+03
-4.8610e-01,-1.3342e-01,2.7141e+00,3.5810e+00,-3.5185e+03
-4.9113e-01,-1.2782e-01,2.7116e+00,3.6511e+00,-3.5199e+03
-4.9244e-01,-1.1861e-01,2.7142e+00,3.6407e+00,-3.4892e+03
-4.8629e-01,-1.2762e-01,2.7127e+00,3.5484e+00,-3.5071e+03
-4.8882e-01,-1.5322e-01,2.7076e+00,3.5584e+00,-3.5254e+03
-4.8595e-01,-1.6325e-01,2.7030e+00,3.6209e+00,-3.5268e+03
-4.8748e-01,-1.4560e-01,2.7116e+00,3.5455e+00,-3.5298e+03
-4.8732e-01,-1.4832e-01,2.7058e+00,3.6406e+00,-3.5168e+03
-4.9320e-01,-1.2332e-01,2.7133e+00,3.6341e+00,-3.5028e+03
-4.9147e-01,-1.1569e-01,2.7138e+00,3.6456e+00,-3.5237e+03
-4.8700e-01,-1.3523e-01,2.7126e+00,3.5426e+00,-3.5118e+03
-4.8734e-01,-1.4611e-01,2.7075e+00,3.6371e+00,-3.5310e+03
-4.9179e-01,-1.0844e-01,2.7134e+00,3.6574e+00,-3.5326e+03
-4.8813e-01,-1.4623e-01,2.7090e+00,3.5705e+00,-3.5149e+03
-4.8859e-01,-1.4173e-01,2.7085e+00,3.5627e+00,-3.5310e+03
-4.9189e-01,-1.1557e-01,2.7136e+00,3.6642e+00,-3.5069e+03
-4.8843e-01,-1.5440e-01,2.7095e+00,3.5593e+00,-3.5279e+03
-4.9192e-01,-1.1423e-01,2.7159e+00,3.6310e+00,-3.5084e+03
-4.9118e-01,-1.4077e-01,2.7119e+00,3.6327e+00,-3.5233e+03
-4.9349e-01,-1.2815e-01,2.7119e+00,3.5753e+00,-3.5305e+03
-4.9521e-01,-1.4130e-01,2.7114e+00,3.5792e+00,-3.5320e+03
-4.9294e-01,-1.3066e-01,2.7135e+00,3.6494e+00,-3.4817e+03
-4.8551e-01,-1.3354e-01,2.7130e+00,3.5718e+00,-3.5163e+03
-4.9219e-01,-1.2126e-01,2.7163e+00,3.6407e+00,-3.5255e+03
-4.8728e-01,-1.6144e-01,2.7036e+00,3.5784e+00,-3.5269e+03
-4.8348e-01,-1.2402e-01,2.7115e+00,3.6996e+00,-3.5307e+03
