logfeh_mean,logdust_med,logNpix,tau,dmod,logl
-2.4143e-01,-5.3276e-01,2.0190e+00,2.9483e+00,2.6079e+01,-9.2053e+02
-2.5268e-01,-5.3617e-01,1.9980e+00,2.8167e+00,2.6011e+01,-9.1766e+02
-3.0769e-01,-4.6946e-01,2.0318e+00,2.8192e+00,2.6093e+01,-9.2354e+02
-2.9531e-01,-4.7481e-01,2.0044e+00,2.7655e+00,2.6019e+01,-9.2210e+02
-2.3497e-01,-5.1577e-01,2.0069e+00,3.0204e+00,2.6030e+01,-9.2435e+02
-3.0356e-01,-4.7614e-01,2.0198e+00,2.6981e+00,2.6063e+01,-9.2876e+02
-2.7619e-01,-5.0253e-01,2.0175e+00,2.8830e+00,2.6064e+01,-9.2496e+02
-2.0541e-01,-5.5208e-01,2.0081e+00,3.0469e+00,2.6041e+01,-9.2557e+02
-2.9604e-01,-4.7752e-01,2.0483e+00,2.7996e+00,2.6141e+01,-9.2184e+02
-2.9388e-01,-4.8831e-01,1.9999e+00,2.8003e+00,2.6012e+01,-9.2488e+02
-2.9414e-01,-4.9035e-01,2.0223e+00,2.8193e+00,2.6078e+01,-9.2699e+02
-3.0335e-01,-4.7827e-01,2.0191e+00,2.8637e+00,2.6073e+01,-9.2880e+02
-3.1169e-01,-4.7840e-01,2.0195e+00,2.7030e+00,2.6062e+01,-9.1035e+02
-2.2956e-01,-5.4131e-01,2.0204e+00,2.9728e+00,2.6080e+01,-9.1664e+02
-2.1806e-01,-5.7155e-01,1.9956e+00,2.8518e+00,2.6000e+01,-9.2453e+02
-3.0064e-01,-4.9717e-01,2.0499e+00,2.7394e+00,2.6158e+01,-9.1683e+02
-3.0179e-01,-4.8387e-01,2.0292e+00,2.7180e+00,2.6082e+01,-9.2874e+02
-3.0025e-01,-4.8432e-01,2.0530e+00,2.8097e+00,2.6161e+01,-9.2801e+02
-2.8112e-01,-4.9239e-01,2.0348e+00,2.9324e+00,2.6122e+01,-9.2846e+02
-2.8316e-01,-5.1334e-01,2.0230e+00,2.8004e+00,2.6087e+01,-9.2191e+02
-2.6729e-01,-5.2188e-01,2.0126e+00,2.8494e+00,2.6063e+01,-9.2755e+02
-2.3365e-01,-5.3616e-01,1.9985e+00,2.9731e+00,2.6011e+01,-9.2872e+02
-2.5124e-01,-4.9897e-01,2.0241e+00,3.0572e+00,2.6085e+01,-9.2378e+02
-2.8303e-01,-4.7431e-01,2.0498e+00,2.9153e+00,2.6151e+01,-9.2569e+02
-2.5377e-01,-4.9235e-01,2.0161e+00,3.0749e+00,2.6059e+01,-9.1715e+02
-2.5157e-01,-5.0165e-01,2.0198e+00,2.9941e+00,2.6068e+01,-9.2484e+02
