nlive,niter,ncall,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,logzh,logdust,logNpix
2.0000e+03,4.7300e+02,6.3610e+03,7.3935e+00,-2.5618e+03,-2.5758e+03,-9.3864e+00,-2.5758e+03,5.2638e-01,1.3992e+01,1.1824e+03,-4.2793e-01,-1.0428e+00,3.0070e+00
2.0000e+03,4.7400e+02,6.3630e+03,7.4068e+00,-2.5542e+03,-2.5682e+03,-9.4062e+00,-2.5682e+03,5.2658e-01,1.4003e+01,1.1664e+03,-6.6836e-01,-9.2523e-01,3.0008e+00
2.0000e+03,4.7500e+02,6.3660e+03,7.4190e+00,-2.5119e+03,-2.5260e+03,-9.4261e+00,-2.5260e+03,5.2712e-01,1.4031e+01,1.1588e+03,-4.5278e-01,-1.0564e+00,2.9939e+00
2.0000e+03,4.7600e+02,6.3670e+03,7.4334e+00,-2.4613e+03,-2.4753e+03,-9.4459e+00,-2.4753e+03,5.2749e-01,1.4051e+01,1.1166e+03,-5.6119e-01,-9.7648e-01,2.9878e+00
2.0000e+03,4.7700e+02,6.3740e+03,7.4408e+00,-2.4398e+03,-2.4539e+03,-9.4657e+00,-2.4539e+03,5.2786e-01,1.4071e+01,1.0659e+03,-5.6808e-01,-9.7651e-01,3.0050e+00
2.0000e+03,4.7800e+02,6.3830e+03,7.4460e+00,-2.4213e+03,-2.4354e+03,-9.4855e+00,-2.4354e+03,5.2823e-01,1.4091e+01,1.0445e+03,-4.9767e-01,-1.0278e+00,2.9905e+00
2.0000e+03,4.7900e+02,6.3850e+03,7.4592e+00,-2.4164e+03,-2.4305e+03,-9.5053e+00,-2.4305e+03,5.2698e-01,1.4024e+01,1.0260e+03,-7.2066e-01,-8.9812e-01,2.9894e+00
2.0000e+03,4.8000e+02,6.3860e+03,7.4736e+00,-2.4131e+03,-2.4272e+03,-9.5251e+00,-2.4272e+03,5.2318e-01,1.3822e+01,1.0210e+03,-7.1755e-01,-9.1228e-01,2.9961e+00
2.0000e+03,4.8100e+02,6.3940e+03,7.4798e+00,-2.4129e+03,-2.4264e+03,-9.5449e+00,-2.4261e+03,5.0641e-01,1.2950e+01,1.0177e+03,-7.5677e-01,-8.9348e-01,2.9874e+00
2.0000e+03,4.8200e+02,6.3960e+03,7.4930e+00,-2.4032e+03,-2.4174e+03,-9.5647e+00,-2.4174e+03,5.2967e-01,1.4167e+01,1.0165e+03,-6.3554e-01,-9.3213e-01,3.0056e+00
