nlive,niter,ncall,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,logzh,logdust,logNpix,tau
2.0000e+03,1.2600e+02,2.5000e+02,3.6286e+01,-4.4443e+07,-4.4443e+07,-1.2637e+00,-4.4443e+07,2.5395e-01,6.4812e+00,inf,-1.0624e+00,-1.5026e-01,5.8843e+00,8.2745e+00
2.0000e+03,1.2700e+02,2.5100e+02,3.6467e+01,-4.4359e+07,-4.4359e+07,-1.2736e+00,-4.4359e+07,2.5285e-01,6.4252e+00,inf,-1.0453e+00,-4.9628e-01,5.8015e+00,4.2246e+00
2.0000e+03,1.2800e+02,2.5300e+02,3.6544e+01,-4.3688e+07,-4.3688e+07,-1.2836e+00,-4.3688e+07,2.5816e-01,6.6978e+00,inf,-5.7422e-01,-3.0563e-01,6.3560e+00,3.9429e+00
2.0000e+03,1.2900e+02,2.5700e+02,3.6415e+01,-4.3172e+07,-4.3172e+07,-1.2935e+00,-4.3172e+07,2.5708e-01,6.6420e+00,inf,-6.5578e-01,-2.7337e-01,5.4701e+00,5.5100e+00
2.0000e+03,1.3000e+02,2.5900e+02,3.6490e+01,-4.2168e+07,-4.2168e+07,-1.3035e+00,-4.2168e+07,2.5603e-01,6.5879e+00,inf,9.5859e-02,-1.3928e+00,5.7970e+00,4.5944e+00
2.0000e+03,1.3100e+02,2.6200e+02,3.6464e+01,-4.1724e+07,-4.1724e+07,-1.3134e+00,-4.1724e+07,2.5502e-01,6.5359e+00,inf,-6.1411e-01,-8.4101e-01,6.2351e+00,2.4169e+00
2.0000e+03,1.3200e+02,2.6700e+02,3.6240e+01,-4.0156e+07,-4.0156e+07,-1.3234e+00,-4.0156e+07,2.5410e-01,6.4888e+00,inf,-6.4431e-04,-1.8901e+00,5.1564e+00,7.3147e+00
2.0000e+03,1.3300e+02,2.6800e+02,3.6413e+01,-3.8962e+07,-3.8962e+07,-1.3333e+00,-3.8962e+07,2.5887e-01,6.7349e+00,inf,-7.8602e-01,-3.6173e-01,6.2803e+00,6.7204e+00
2.0000e+03,1.3400e+02,2.7500e+02,3.6000e+01,-3.8923e+07,-3.8923e+07,-1.3433e+00,-3.8923e+07,2.5794e-01,6.6868e+00,inf,-4.8821e-01,-1.3315e-01,5.2979e+00,5.5558e+00
2.0000e+03,1.3500e+02,2.8200e+02,3.5602e+01,-3.8419e+07,-3.8419e+07,-1.3532e+00,-3.8419e+07,2.5702e-01,6.6389e+00,inf,-1.0570e-01,-1.1808e+00,5.0114e+00,8.6321e+00
2.0000e+03,1.3600e+02,2.8400e+02,3.5677e+01,-3.7501e+07,-3.7501e+07,-1.3632e+00,-3.7501e+07,2.5613e-01,6.5932e+00,inf,-9.3481e-01,-1.4133e+00,5.2521e+00,8.1454e+00
2.0000e+03,1.3700e+02,2.8800e+02,3.5567e+01,-3.7427e+07,-3.7427e+07,-1.3731e+00,-3.7427e+07,2.5525e-01,6.5475e+00,inf,-1.3924e+00,-2.7441e-01,6.2599e+00,7.9572e+00
2.0000e+03,1.3800e+02,2.8900e+02,3.5733e+01,-3.7150e+07,-3.7150e+07,-1.3831e+00,-3.7150e+07,2.5973e-01,6.7798e+00,inf,-4.2624e-01,-3.6160e-01,5.1142e+00,6.3554e+00
2.0000e+03,1.3900e+02,2.9100e+02,3.5806e+01,-3.7118e+07,-3.7118e+07,-1.3930e+00,-3.7118e+07,2.5886e-01,6.7344e+00,inf,-1.4162e+00,-1.6516e+00,6.1308e+00,2.3831e+00
2.0000e+03,1.4000e+02,2.9500e+02,3.5696e+01,-3.7071e+07,-3.7071e+07,-1.4030e+00,-3.7071e+07,2.5799e-01,6.6890e+00,inf,-3.6811e-01,-1.9865e+00,6.2349e+00,8.2970e+00
2.0000e+03,1.4100e+02,3.0600e+02,3.4975e+01,-3.6086e+07,-3.6086e+07,-1.4129e+00,-3.6086e+07,2.5715e-01,6.6455e+00,inf,-5.8922e-01,-6.1283e-01,6.2760e+00,6.2471e+00
2.0000e+03,1.4200e+02,3.0800e+02,3.5049e+01,-3.4966e+07,-3.4966e+07,-1.4229e+00,-3.4966e+07,2.5637e-01,6.6054e+00,inf,-1.0952e+00,-1.6801e+00,6.1220e+00,4.5694e+00
2.0000e+03,1.4300e+02,3.1100e+02,3.5036e+01,-3.4948e+07,-3.4948e+07,-1.4328e+00,-3.4948e+07,2.6057e-01,6.8237e+00,inf,-2.8165e-01,-7.5996e-01,5.8830e+00,2.5902e+00
2.0000e+03,1.4400e+02,3.1800e+02,3.4689e+01,-3.4899e+07,-3.4899e+07,-1.4428e+00,-3.4899e+07,2.5977e-01,6.7815e+00,inf,-2.3255e-01,-1.1234e+00,5.3051e+00,5.5473e+00
2.0000e+03,1.4500e+02,3.2100e+02,3.4679e+01,-3.4319e+07,-3.4319e+07,-1.4527e+00,-3.4319e+07,2.5896e-01,6.7396e+00,inf,-4.8146e-01,-6.7791e-01,6.2606e+00,3.9674e+00
2.0000e+03,1.4600e+02,3.2200e+02,3.4834e+01,-3.4023e+07,-3.4023e+07,-1.4627e+00,-3.4023e+07,2.5818e-01,6.6990e+00,inf,-3.1075e-01,-9.3338e-01,5.0866e+00,5.4915e+00
2.0000e+03,1.4700e+02,3.2300e+02,3.4988e+01,-3.3752e+07,-3.3752e+07,-1.4726e+00,-3.3752e+07,2.5741e-01,6.6591e+00,inf,-4.2904e-01,-1.1104e+00,5.0442e+00,5.8479e+00
2.0000e+03,1.4800e+02,3.2400e+02,3.5142e+01,-3.3385e+07,-3.3385e+07,-1.4826e+00,-3.3385e+07,2.5906e-01,6.7449e+00,inf,-3.6532e-01,-9.2803e-01,5.3685e+00,5.6943e+00
2.0000e+03,1.4900e+02,3.2500e+02,3.5294e+01,-3.3228e+07,-3.3228e+07,-1.4925e+00,-3.3228e+07,2.6068e-01,6.8293e+00,inf,-4.5834e-01,-8.1798e-01,5.8891e+00,2.1441e+00
2.0000e+03,1.5000e+02,3.2700e+02,3.5363e+01,-3.3173e+07,-3.3173e+07,-1.5025e+00,-3.3173e+07,2.5992e-01,6.7897e+00,inf,2.9401e-02,-1.8908e+00,5.9802e+00,2.4455e+00
2.0000e+03,1.5100e+02,3.4400e+02,3.4234e+01,-3.3036e+07,-3.3036e+07,-1.5125e+00,-3.3036e+07,2.5917e-01,6.7505e+00,inf,-1.0627e-01,-7.1947e-01,6.2652e+00,7.6300e+00
2.0000e+03,1.5200e+02,3.4600e+02,3.4305e+01,-3.1904e+07,-3.1904e+07,-1.5224e+00,-3.1904e+07,2.6077e-01,6.8338e+00,inf,-7.3779e-02,-1.3290e+00,5.3354e+00,7.1175e+00
2.0000e+03,1.5300e+02,3.5400e+02,3.3921e+01,-3.1883e+07,-3.1883e+07,-1.5324e+00,-3.1883e+07,2.6005e-01,6.7962e+00,inf,-5.6944e-01,-7.9234e-01,5.3636e+00,5.1522e+00
2.0000e+03,1.5400e+02,3.6300e+02,3.3477e+01,-3.1788e+07,-3.1788e+07,-1.5423e+00,-3.1788e+07,2.6159e-01,6.8773e+00,inf,-5.2529e-01,-1.4665e+00,6.2100e+00,7.0283e+00
2.0000e+03,1.5500e+02,3.6400e+02,3.3621e+01,-3.1733e+07,-3.1733e+07,-1.5523e+00,-3.1733e+07,2.6088e-01,6.8399e+00,inf,-4.4552e-01,-1.6047e+00,5.3314e+00,5.0079e+00
2.0000e+03,1.5600e+02,3.7700e+02,3.2914e+01,-3.1058e+07,-3.1058e+07,-1.5622e+00,-3.1058e+07,2.6019e-01,6.8038e+00,inf,-1.0544e+00,-2.2033e-01,5.9018e+00,6.5777e+00
2.0000e+03,1.5700e+02,3.8400e+02,3.2645e+01,-3.0707e+07,-3.0707e+07,-1.5722e+00,-3.0707e+07,2.6170e-01,6.8830e+00,inf,-9.9308e-01,-1.5625e+00,6.1268e+00,4.8405e+00
2.0000e+03,1.5800e+02,3.8900e+02,3.2515e+01,-3.0698e+07,-3.0698e+07,-1.5821e+00,-3.0698e+07,2.6102e-01,6.8472e+00,inf,-6.3946e-01,-1.1923e+00,6.2022e+00,6.1911e+00
2.0000e+03,1.5900e+02,3.9600e+02,3.2258e+01,-3.0369e+07,-3.0369e+07,-1.5921e+00,-3.0369e+07,2.6251e-01,6.9254e+00,inf,-5.7326e-01,-5.9333e-01,5.1321e+00,6.3521e+00
2.0000e+03,1.6000e+02,4.0100e+02,3.2136e+01,-2.9971e+07,-2.9971e+07,-1.6020e+00,-2.9971e+07,2.6184e-01,6.8902e+00,inf,7.8516e-02,-1.8030e+00,5.8847e+00,4.0454e+00
2.0000e+03,1.6100e+02,4.0900e+02,3.1827e+01,-2.9700e+07,-2.9700e+07,-1.6120e+00,-2.9700e+07,2.6119e-01,6.8560e+00,inf,-4.2842e-01,-1.4571e+00,5.0689e+00,6.0167e+00
2.0000e+03,1.6200e+02,4.1000e+02,3.1961e+01,-2.9653e+07,-2.9653e+07,-1.6219e+00,-2.9653e+07,2.6264e-01,6.9323e+00,inf,-1.3533e+00,-1.8900e+00,5.6464e+00,5.7239e+00
2.0000e+03,1.6300e+02,4.1100e+02,3.2094e+01,-2.9490e+07,-2.9490e+07,-1.6319e+00,-2.9490e+07,2.6199e-01,6.8982e+00,inf,-1.3307e-01,-5.7460e-01,5.7405e+00,5.4896e+00
2.0000e+03,1.6400e+02,4.1200e+02,3.2227e+01,-2.8793e+07,-2.8793e+07,-1.6418e+00,-2.8793e+07,2.6341e-01,6.9733e+00,inf,-1.4105e+00,-1.7742e+00,5.8761e+00,1.5686e+00
2.0000e+03,1.6500e+02,4.1300e+02,3.2359e+01,-2.8587e+07,-2.8587e+07,-1.6518e+00,-2.8587e+07,2.6279e-01,6.9404e+00,inf,-7.7423e-01,-6.9144e-01,6.2096e+00,4.1599e+00
2.0000e+03,1.6600e+02,4.1400e+02,3.2490e+01,-2.7468e+07,-2.7468e+07,-1.6617e+00,-2.7468e+07,2.6221e-01,6.9098e+00,inf,-5.3904e-01,-7.1215e-01,6.2433e+00,7.0895e+00
2.0000e+03,1.6700e+02,4.2100e+02,3.2246e+01,-2.7422e+07,-2.7422e+07,-1.6717e+00,-2.7422e+07,2.6356e-01,6.9811e+00,inf,-1.1335e+00,-4.0518e-01,6.2247e+00,5.4452e+00
2.0000e+03,1.6800e+02,4.2400e+02,3.2252e+01,-2.7171e+07,-2.7171e+07,-1.6816e+00,-2.7171e+07,2.6298e-01,6.9504e+00,inf,-4.4213e-01,-7.9324e-01,5.1645e+00,6.6785e+00
2.0000e+03,1.6900e+02,4.2600e+02,3.2319e+01,-2.6700e+07,-2.6700e+07,-1.6916e+00,-2.6700e+07,2.6430e-01,7.0206e+00,inf,-4.0432e-01,-5.3953e-01,5.0560e+00,7.9087e+00
2.0000e+03,1.7000e+02,4.4200e+02,3.1550e+01,-2.6633e+07,-2.6633e+07,-1.7015e+00,-2.6633e+07,2.6374e-01,6.9907e+00,inf,-1.4493e-01,-1.1918e+00,5.4346e+00,7.1887e+00
2.0000e+03,1.7100e+02,4.4600e+02,3.1502e+01,-2.6144e+07,-2.6144e+07,-1.7115e+00,-2.6144e+07,2.6320e-01,6.9619e+00,inf,-6.6154e-01,-8.6267e-01,5.0834e+00,8.9651e+00
2.0000e+03,1.7200e+02,4.6100e+02,3.0838e+01,-2.5507e+07,-2.5507e+07,-1.7214e+00,-2.5507e+07,2.6448e-01,7.0300e+00,inf,-7.1062e-01,-1.9379e+00,6.1537e+00,7.8020e+00
2.0000e+03,1.7300e+02,4.6300e+02,3.0906e+01,-2.5203e+07,-2.5203e+07,-1.7314e+00,-2.5203e+07,2.6396e-01,7.0023e+00,inf,-8.4249e-01,-9.0924e-01,5.4759e+00,7.9743e+00
