logfeh_mean,logdust,logNpix,tau,dmod,logl
-2.8772e-01,-1.8903e+00,2.6139e+00,3.6486e+00,2.6329e+01,-2.5630e+04
-2.6261e-01,-1.6021e+00,2.0449e+00,4.6927e+00,2.4725e+01,-1.4542e+04
-3.6521e-01,-1.6923e+00,1.7248e+00,2.5535e+00,2.3558e+01,-3.3156e+04
-4.4056e-01,-1.7937e+00,2.4580e+00,4.3620e+00,2.6087e+01,-1.3564e+04
-3.3972e-01,-1.6455e+00,1.6834e+00,4.4956e-01,2.3444e+01,-4.3023e+04
-4.3640e-01,-1.7327e+00,3.0297e+00,4.9488e+00,2.7634e+01,-1.5383e+04
-4.0706e-01,-1.6083e+00,2.8461e+00,3.4735e+00,2.7054e+01,-4.4949e+04
-4.3392e-01,-1.8974e+00,2.5767e+00,1.5741e+00,2.6053e+01,-3.9619e+04
-4.8103e-01,-1.4655e+00,2.9081e+00,3.5091e+00,2.7247e+01,-4.4778e+04
1.3501e-01,-1.7899e+00,1.5460e+00,4.9633e+00,2.2962e+01,-4.5868e+04
-3.8560e-01,-1.5955e+00,2.7250e+00,3.0339e+00,2.6498e+01,-4.0994e+04
-1.8663e-01,-1.6787e+00,2.6121e+00,4.5696e+00,2.6315e+01,-2.0917e+04
-4.0488e-01,-1.9421e+00,2.0536e+00,3.4832e+00,2.4608e+01,-2.4960e+04
-1.5542e-01,-1.5448e+00,2.2530e+00,4.8765e+00,2.5162e+01,-2.2554e+04
-4.0426e-01,-1.1435e+00,1.5899e+00,3.0279e+00,2.3218e+01,-4.6662e+04
-2.2220e-01,-1.5487e+00,2.4850e+00,4.0621e+00,2.5757e+01,-3.2341e+04
-2.0215e-01,-1.9745e+00,1.6352e+00,3.6850e+00,2.3351e+01,-3.0338e+04
-3.7870e-02,-1.8848e+00,1.9979e+00,4.5882e+00,2.4627e+01,-3.4284e+04
-3.5192e-01,-1.7310e+00,2.0329e+00,1.4017e+00,2.4455e+01,-3.8965e+04
-2.1152e-01,-1.5691e+00,1.9887e+00,3.1625e+00,2.4267e+01,-3.8865e+04
-3.1625e-01,-1.9809e+00,1.7453e+00,1.9611e+00,2.3534e+01,-4.1008e+04
-4.5096e-01,-1.2415e+00,3.1320e+00,4.5936e+00,2.7751e+01,-4.2229e+04
-4.4155e-01,-1.8078e+00,1.8179e+00,1.6055e-01,2.3792e+01,-3.6036e+04
-4.9531e-01,-1.4412e+00,1.7468e+00,1.4436e+00,2.3703e+01,-3.6172e+04
-1.7036e-01,-1.2672e+00,2.6610e+00,4.9688e+00,2.6313e+01,-3.6528e+04
2.2409e-02,-1.5507e+00,2.0742e+00,4.5808e+00,2.4701e+01,-3.9575e+04
-4.0883e-01,-1.9316e+00,2.9064e+00,2.8703e+00,2.6985e+01,-4.5969e+04
-4.0674e-01,-1.9835e+00,1.8264e+00,4.3396e+00,2.4151e+01,-2.2737e+04
-2.9160e-01,-1.5750e+00,1.8880e+00,3.0525e+00,2.4054e+01,-3.3499e+04
-2.6334e-01,-1.7053e+00,2.4072e+00,3.7299e+00,2.5700e+01,-2.2595e+04
-3.9648e-01,-1.8771e+00,2.4646e+00,3.0704e+00,2.5842e+01,-1.7935e+04
-4.8719e-01,-1.3097e+00,2.9805e+00,4.8585e+00,2.7432e+01,-1.9817e+04
-3.0133e-01,-1.6060e+00,2.1136e+00,3.8837e+00,2.4878e+01,-1.6586e+04
-1.3517e-01,-1.4636e+00,1.7693e+00,4.2514e+00,2.3692e+01,-3.3878e+04
-3.5162e-01,-1.9138e+00,1.6074e+00,4.9005e+00,2.3516e+01,-3.0008e+04
-1.2146e-01,-1.9609e+00,1.5978e+00,3.6838e+00,2.3407e+01,-3.7808e+04
-8.2699e-03,-1.5052e+00,1.5715e+00,4.1669e+00,2.3154e+01,-4.5315e+04
-3.8931e-01,-1.6783e+00,2.2523e+00,3.9556e+00,2.5424e+01,-1.6470e+04
-4.3672e-01,-1.3316e+00,2.1920e+00,4.1843e+00,2.5396e+01,-4.4845e+04
-2.7269e-01,-1.5797e+00,2.8471e+00,3.7145e+00,2.6830e+01,-4.5772e+04
1.0344e-04,-1.7988e+00,2.4879e+00,4.3401e+00,2.5828e+01,-3.9561e+04
-3.3124e-01,-1.7693e+00,2.1346e+00,2.9658e+00,2.4763e+01,-2.7610e+04
-3.6705e-01,-1.8456e+00,2.9120e+00,3.1964e+00,2.7033e+01,-4.2874e+04
-3.9587e-01,-1.5807e+00,1.6844e+00,3.5456e+00,2.3411e+01,-4.2850e+04
-3.6145e-01,-1.8371e+00,1.7410e+00,4.1373e+00,2.3804e+01,-2.2691e+04
-4.9787e-01,-1.6863e+00,2.0465e+00,1.6930e+00,2.4372e+01,-4.7077e+04
-4.0932e-01,-1.2642e+00,1.5636e+00,4.3170e+00,2.3119e+01,-3.7700e+04
-3.3703e-01,-1.7838e+00,1.5779e+00,4.0266e+00,2.3248e+01,-3.1601e+04
-3.8460e-01,-1.7454e+00,2.5701e+00,4.3789e+00,2.6388e+01,-1.6618e+04
-3.2010e-01,-1.7668e+00,1.9615e+00,4.8026e+00,2.4390e+01,-3.0165e+04
-2.1103e-01,-1.8724e+00,2.3091e+00,4.2469e+00,2.5505e+01,-1.6636e+04
-1.1150e-01,-1.5376e+00,1.5394e+00,4.1163e+00,2.3034e+01,-3.9154e+04
-8.8398e-02,-1.7260e+00,1.7629e+00,3.4523e+00,2.3746e+01,-3.9894e+04
6.9403e-03,-1.8460e+00,1.8945e+00,4.1091e+00,2.4121e+01,-3.6192e+04
-4.9707e-01,-1.4076e+00,2.1544e+00,6.8734e-01,2.4925e+01,-4.4049e+04
-4.9016e-01,-1.4197e+00,2.1788e+00,3.1701e+00,2.5211e+01,-3.2438e+04
-4.1359e-01,-1.7450e+00,1.6491e+00,3.5083e+00,2.3516e+01,-2.4019e+04
-1.7194e-01,-1.3857e+00,1.8702e+00,4.6807e+00,2.3908e+01,-4.2502e+04
-4.1671e-01,-1.5106e+00,2.7879e+00,4.9935e+00,2.6982e+01,-1.2446e+04
-4.1460e-01,-1.3573e+00,1.5293e+00,3.4688e+00,2.3339e+01,-4.4212e+04
-2.9533e-01,-1.6260e+00,2.4102e+00,4.1795e+00,2.5874e+01,-2.5840e+04
-3.4261e-01,-1.7297e+00,2.0981e+00,2.7005e+00,2.4727e+01,-2.6164e+04
-4.9394e-01,-1.7816e+00,1.6617e+00,2.9759e+00,2.3469e+01,-2.9488e+04
-4.2683e-01,-1.1864e+00,1.8340e+00,2.8267e+00,2.3958e+01,-4.4349e+04
3.2015e-02,-1.6867e+00,1.6063e+00,4.4595e+00,2.3388e+01,-4.3718e+04
-4.4663e-01,-1.3722e+00,2.5832e+00,4.9105e+00,2.6189e+01,-2.5850e+04
-1.0668e-01,-1.7483e+00,1.8661e+00,4.5964e+00,2.3918e+01,-4.0019e+04
-3.0011e-01,-1.7524e+00,1.9415e+00,1.8959e+00,2.4164e+01,-4.1701e+04
-3.4029e-01,-1.4418e+00,1.9650e+00,3.7537e+00,2.4275e+01,-2.9562e+04
-4.2411e-01,-1.5416e+00,3.0347e+00,4.6008e+00,2.7472e+01,-3.3872e+04
-1.7181e-01,-1.6685e+00,2.0622e+00,4.2719e+00,2.4464e+01,-4.0830e+04
-4.5817e-01,-1.9047e+00,2.3458e+00,2.1045e+00,2.5621e+01,-3.7281e+04
-2.2424e-01,-1.4380e+00,1.7847e+00,4.2894e+00,2.3845e+01,-2.6740e+04
-4.2791e-01,-1.7394e+00,2.6712e+00,4.1295e+00,2.6408e+01,-2.7575e+04
-3.3582e-01,-1.1229e+00,1.5151e+00,4.2733e+00,2.3197e+01,-4.2377e+04
-1.5328e-01,-1.7268e+00,2.0975e+00,3.0411e+00,2.4663e+01,-4.1365e+04
-1.6933e-01,-1.8946e+00,2.2507e+00,4.4580e+00,2.5045e+01,-3.8141e+04
