nlive,niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh_mean,logdust_med,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,logSFH5,dmod
2.0000e+03,3.4000e+01,1.0000e+00,3.2819e+00,-2.3889e+04,-2.3896e+04,-3.3983e-02,-2.3896e+04,8.7356e-02,7.6349e+00,2.1927e+04,3.4763e+02,-8.1124e-01,-6.2900e-01,7.8496e-01,1.1364e+00,1.6781e+00,2.1301e+00,2.8710e+00,2.7297e+00,2.9229e+01
2.0000e+03,3.5000e+01,1.0000e+00,3.3751e+00,-2.3874e+04,-2.3882e+04,-3.4983e-02,-2.3882e+04,8.7362e-02,7.6359e+00,2.1856e+04,3.5725e+02,-7.1912e-01,-7.7221e-01,8.2296e-01,1.1810e+00,1.3885e+00,2.1501e+00,2.9011e+00,2.7067e+00,2.9253e+01
2.0000e+03,3.6000e+01,1.0000e+00,3.4682e+00,-2.3858e+04,-2.3865e+04,-3.5982e-02,-2.3865e+04,8.7367e-02,7.6369e+00,2.1841e+04,3.6706e+02,-6.9484e-01,-6.0829e-01,6.5388e-01,1.0533e+00,1.5888e+00,1.9976e+00,2.9557e+00,2.8906e+00,2.9293e+01
2.0000e+03,3.7000e+01,1.0000e+00,3.5611e+00,-2.3816e+04,-2.3823e+04,-3.6982e-02,-2.3823e+04,8.7373e-02,7.6379e+00,2.1825e+04,3.7667e+02,-6.2950e-01,-5.2444e-01,8.1816e-01,1.1650e+00,1.5713e+00,2.2278e+00,2.8464e+00,2.9632e+00,2.9304e+01
2.0000e+03,3.8000e+01,1.0000e+00,3.6538e+00,-2.3746e+04,-2.3753e+04,-3.7981e-02,-2.3753e+04,8.7379e-02,7.6389e+00,2.1783e+04,3.8631e+02,-6.1643e-01,-7.6500e-01,6.9965e-01,9.5717e-01,1.5453e+00,1.9740e+00,2.8762e+00,2.8500e+00,2.9216e+01
2.0000e+03,3.9000e+01,1.0000e+00,3.7464e+00,-2.3740e+04,-2.3748e+04,-3.8981e-02,-2.3748e+04,8.7043e-02,7.5802e+00,2.1713e+04,3.9599e+02,-8.0165e-01,-6.6454e-01,8.4837e-01,9.2607e-01,1.6889e+00,2.0676e+00,2.8802e+00,2.8635e+00,2.9330e+01
2.0000e+03,4.0000e+01,1.0000e+00,3.8388e+00,-2.3723e+04,-2.3731e+04,-3.9980e-02,-2.3731e+04,8.7390e-02,7.6409e+00,2.1708e+04,4.0574e+02,-8.0663e-01,-6.2904e-01,6.2713e-01,1.2058e+00,1.5268e+00,2.0277e+00,2.9445e+00,2.9082e+00,2.9330e+01
2.0000e+03,4.1000e+01,1.0000e+00,3.9310e+00,-2.3615e+04,-2.3623e+04,-4.0980e-02,-2.3623e+04,8.7396e-02,7.6419e+00,2.1690e+04,4.1532e+02,-7.0179e-01,-7.1442e-01,8.2002e-01,9.2319e-01,1.7073e+00,2.1967e+00,2.8024e+00,2.7862e+00,2.9244e+01
2.0000e+03,4.2000e+01,1.0000e+00,4.0230e+00,-2.3566e+04,-2.3574e+04,-4.1979e-02,-2.3574e+04,8.7402e-02,7.6429e+00,2.1583e+04,4.2503e+02,-5.9411e-01,-4.4155e-01,7.1876e-01,9.8221e-01,1.5984e+00,2.1689e+00,2.9873e+00,2.7840e+00,2.9217e+01
2.0000e+03,4.3000e+01,1.0000e+00,4.1148e+00,-2.3488e+04,-2.3496e+04,-4.2979e-02,-2.3496e+04,8.7407e-02,7.6439e+00,2.1534e+04,4.3471e+02,-6.7163e-01,-5.5488e-01,7.4111e-01,1.0134e+00,1.6506e+00,2.2393e+00,2.9405e+00,2.7463e+00,2.9264e+01
