logfeh,logdust,logNpix,tau,logl
-2.4760e-01,-5.0107e-01,4.5018e+00,1.1931e-01,-1.6048e+01
-2.5126e-01,-4.9968e-01,4.5017e+00,6.1337e-01,-1.5943e+01
-2.4284e-01,-5.0230e-01,4.5026e+00,2.0533e-01,-1.5831e+01
-2.3060e-01,-5.0649e-01,4.5041e+00,4.4095e-01,-1.4925e+01
-2.4061e-01,-5.0256e-01,4.5027e+00,1.0034e+00,-1.5084e+01
-2.3898e-01,-5.0356e-01,4.5033e+00,2.1169e-01,-1.5169e+01
-2.3568e-01,-5.0510e-01,4.5031e+00,7.7725e-01,-1.4687e+01
-2.4065e-01,-5.0305e-01,4.5028e+00,7.4286e-01,-1.5963e+01
-2.3552e-01,-5.0427e-01,4.5040e+00,5.7731e-01,-1.3865e+01
-2.3659e-01,-5.0445e-01,4.5033e+00,6.5901e-01,-1.4344e+01
-2.4356e-01,-5.0228e-01,4.5022e+00,6.4309e-01,-1.6147e+01
-2.3913e-01,-5.0416e-01,4.5019e+00,9.0875e-01,-1.6049e+01
-2.4685e-01,-5.0067e-01,4.5020e+00,9.3200e-01,-1.5308e+01
-2.4432e-01,-5.0211e-01,4.5023e+00,5.9045e-01,-1.3661e+01
-2.3830e-01,-5.0403e-01,4.5028e+00,7.7903e-01,-1.5477e+01
-2.5845e-01,-4.9747e-01,4.5014e+00,4.2455e-01,-1.5241e+01
-2.4000e-01,-5.0336e-01,4.5030e+00,3.5812e-01,-1.6181e+01
-2.3570e-01,-5.0352e-01,4.5029e+00,1.1943e+00,-1.3254e+01
-2.3229e-01,-5.0570e-01,4.5041e+00,3.2929e-01,-1.6041e+01
-2.4486e-01,-5.0153e-01,4.5024e+00,7.4948e-01,-1.6138e+01
-2.3286e-01,-5.0574e-01,4.5039e+00,5.2023e-01,-1.6189e+01
-2.5480e-01,-4.9868e-01,4.5014e+00,6.2085e-01,-1.6155e+01
-2.3303e-01,-5.0566e-01,4.5038e+00,2.7709e-01,-1.5777e+01
-2.3984e-01,-5.0346e-01,4.5027e+00,8.0081e-01,-1.6249e+01
-2.5822e-01,-4.9757e-01,4.5013e+00,4.6625e-01,-1.6183e+01
-2.4057e-01,-5.0305e-01,4.5029e+00,3.1372e-01,-1.4870e+01
-2.3722e-01,-5.0402e-01,4.5033e+00,6.2765e-01,-1.5432e+01
-2.4301e-01,-5.0259e-01,4.5023e+00,6.1964e-01,-1.5430e+01
-2.4157e-01,-5.0268e-01,4.5030e+00,3.0855e-01,-1.5818e+01
-2.3329e-01,-5.0549e-01,4.5038e+00,2.1608e-01,-1.2744e+01
-2.3847e-01,-5.0335e-01,4.5037e+00,5.7086e-01,-1.6189e+01
-2.3121e-01,-5.0608e-01,4.5043e+00,2.2540e-01,-1.5806e+01
-2.4083e-01,-5.0293e-01,4.5029e+00,2.3862e-01,-1.5595e+01
-2.5025e-01,-5.0010e-01,4.5014e+00,2.7964e-01,-1.6071e+01
-2.4054e-01,-5.0320e-01,4.5027e+00,6.1219e-01,-1.6166e+01
-2.5869e-01,-4.9738e-01,4.5014e+00,4.5793e-01,-1.5412e+01
-2.4510e-01,-5.0124e-01,4.5026e+00,7.8427e-01,-1.6225e+01
-2.4819e-01,-5.0077e-01,4.5018e+00,3.1101e-01,-1.5946e+01
-2.3813e-01,-5.0402e-01,4.5029e+00,7.8460e-01,-1.5914e+01
-2.6272e-01,-4.9613e-01,4.5014e+00,2.6355e-01,-1.4561e+01
