,NGC4993,NGC3377,M49,M87
69,302.73205882511803,1481.4831967998873,1899.0238295192935,2169.2332448467487
70,312.32168591357464,1562.4161201641216,1846.4851835993975,2164.6164000940284
71,302.4592151277812,1522.7674304959694,1892.1605673810527,2200.887904625394
72,301.5412510711005,1545.431740699641,1840.1331420440013,2156.66185447469
73,294.27291789647904,1478.5954262174128,1899.2412021951504,2141.0969657429046
74,302.3229349749089,1519.0654063760228,1777.8271508933549,2140.125788940335
75,294.0213236287599,1514.7706328958118,1888.3746427696947,2173.6511251865345
76,293.4313786571736,1502.7502108304368,1794.0628855322987,2132.1303525162853
77,278.1585164404453,1448.2645802065922,1877.5710398032938,2111.745546053765
78,283.4868402170934,1475.2940107289835,1727.750514558396,2115.4408171954096
79,278.5486414926725,1479.7426016973438,1863.3182963791098,2146.578019373034
80,284.4284170739846,1466.6111795793822,1840.8052547892742,2106.5919836705407
81,273.95896950459684,1411.7139565779053,1760.5146563223293,2082.828678463829
82,267.67695702434696,1438.113357983709,1783.7433102278007,2088.324356492846
83,275.776643745358,1443.2366604905671,1754.3645623093923,2116.9003424421003
84,270.3790471006277,1434.088679185709,1798.8888525915875,2075.158961838134
85,265.27839443338,1374.3564126140463,1725.9735493909677,2057.849246114252
86,260.51191511026593,1410.7265774925345,1741.1556817063156,2056.2303417393655
87,266.66101307709664,1410.6813868734964,1721.2242185434584,2092.208589761023
88,270.8910438089726,1388.887733555039,1761.2124408600605,2044.4924496193323
89,254.2428958764913,1346.3744534240477,1689.6489353099141,2029.6643031259061
90,256.6806184836643,1370.2424125845696,1700.345059914821,2024.7244294642244
91,253.13837392890036,1374.6568242516785,1687.9167361398236,2062.2477259566153
92,263.5328560968497,1348.5304645963167,1724.8565660245504,2015.4084305693546
93,245.7920785436782,1312.5588089191158,1650.6843946395156,1998.4117977338767
94,249.0338890202296,1332.7091853334236,1663.630749710141,1992.129613759567
95,245.10759741562683,1334.380624461988,1650.0909272678064,2030.8135748168372
96,256.0785930113522,1314.1398593605927,1666.65709809008,1985.9940669103935
