GPU acceleration enabled
Loading Setup File: setup_files/dynamic_2.py
using given n: 0
Starting SourceModule Code
Getting function
Past the SourceModule code
CUDAC Available
Running Nested Sampling
-initializing models
-Running dynesty dynamic sampler
iter: 1 | batch: 0 | bound: 0 | nc: 1 | ncall: 1 | eff(%):  3.226 | logz:   -inf +/-  0.368 | dlogz:    inf > 10.000 
iter: 100 | batch: 0 | bound: 2 | nc: 10 | ncall: 944 | eff(%): 10.267 | logz: -18800.505 +/-  0.492 | dlogz: 19857.125 > 10.000 
iter: 101 | batch: 0 | bound: 2 | nc: 11 | ncall: 955 | eff(%): 10.254 | logz: -18097.727 +/-  0.493 | dlogz: 19676.123 > 10.000 
iter: 102 | batch: 0 | bound: 3 | nc: 2 | ncall: 957 | eff(%): 10.334 | logz: -17028.142 +/-  0.494 | dlogz: 18973.312 > 10.000 
iter: 103 | batch: 0 | bound: 4 | nc: 27 | ncall: 984 | eff(%): 10.158 | logz: -15945.443 +/-  0.495 | dlogz: 17903.694 > 10.000 
iter: 104 | batch: 0 | bound: 4 | nc: 17 | ncall: 1001 | eff(%): 10.087 | logz: -14688.317 +/-  0.496 | dlogz: 16820.963 > 10.000 
iter: 105 | batch: 0 | bound: 5 | nc: 2 | ncall: 1003 | eff(%): 10.165 | logz: -14562.411 +/-  0.497 | dlogz: 15563.804 > 10.000 
iter: 106 | batch: 0 | bound: 5 | nc: 14 | ncall: 1017 | eff(%): 10.124 | logz: -14288.507 +/-  0.498 | dlogz: 15437.865 > 10.000 
iter: 107 | batch: 0 | bound: 5 | nc: 16 | ncall: 1033 | eff(%): 10.066 | logz: -13402.667 +/-  0.499 | dlogz: 15163.928 > 10.000 
iter: 108 | batch: 0 | bound: 6 | nc: 7 | ncall: 1040 | eff(%): 10.093 | logz: -13352.263 +/-  0.500 | dlogz: 14278.056 > 10.000 
iter: 109 | batch: 0 | bound: 6 | nc: 5 | ncall: 1045 | eff(%): 10.140 | logz: -12729.717 +/-  0.501 | dlogz: 14227.618 > 10.000 
iter: 110 | batch: 0 | bound: 6 | nc: 1 | ncall: 1046 | eff(%): 10.223 | logz: -12700.635 +/-  0.503 | dlogz: 13605.040 > 10.000 
iter: 111 | batch: 0 | bound: 7 | nc: 33 | ncall: 1079 | eff(%): 10.009 | logz: -12647.648 +/-  0.504 | dlogz: 13575.925 > 10.000 
