GPU acceleration enabled
Loading Setup File: setup_files/dynamic_1.py
using given n: 0
Starting SourceModule Code
Getting function
Past the SourceModule code
CUDAC Available
Running Nested Sampling
-initializing models
-Running dynesty dynamic sampler
iter: 73 | batch: 0 | bound: 0 | nc: 1 | ncall: 365 | eff(%): 18.481 | logz: -85713.683 +/-  0.461 | dlogz: 81763.211 > 10.000 
iter: 74 | batch: 0 | bound: 0 | nc: 4 | ncall: 369 | eff(%): 18.546 | logz: -85179.537 +/-  0.462 | dlogz: 80953.806 > 10.000 
iter: 75 | batch: 0 | bound: 0 | nc: 8 | ncall: 377 | eff(%): 18.428 | logz: -82334.476 +/-  0.464 | dlogz: 80419.628 > 10.000 
iter: 76 | batch: 0 | bound: 0 | nc: 9 | ncall: 386 | eff(%): 18.269 | logz: -80029.097 +/-  0.465 | dlogz: 77574.534 > 10.000 
iter: 77 | batch: 0 | bound: 0 | nc: 25 | ncall: 411 | eff(%): 17.460 | logz: -77555.367 +/-  0.466 | dlogz: 75269.122 > 10.000 
iter: 78 | batch: 0 | bound: 0 | nc: 1 | ncall: 412 | eff(%): 17.647 | logz: -76100.044 +/-  0.467 | dlogz: 72795.359 > 10.000 
iter: 79 | batch: 0 | bound: 0 | nc: 5 | ncall: 417 | eff(%): 17.673 | logz: -75100.004 +/-  0.468 | dlogz: 71340.004 > 10.000 
iter: 80 | batch: 0 | bound: 0 | nc: 10 | ncall: 427 | eff(%): 17.505 | logz: -74258.490 +/-  0.469 | dlogz: 70339.931 > 10.000 
iter: 81 | batch: 0 | bound: 0 | nc: 11 | ncall: 438 | eff(%): 17.308 | logz: -70500.240 +/-  0.470 | dlogz: 69498.384 > 10.000 
iter: 82 | batch: 0 | bound: 0 | nc: 16 | ncall: 454 | eff(%): 16.942 | logz: -69539.445 +/-  0.472 | dlogz: 65740.101 > 10.000 
iter: 83 | batch: 0 | bound: 0 | nc: 4 | ncall: 458 | eff(%): 17.008 | logz: -69248.058 +/-  0.473 | dlogz: 64779.274 > 10.000 
iter: 84 | batch: 0 | bound: 0 | nc: 17 | ncall: 475 | eff(%): 16.634 | logz: -68438.670 +/-  0.474 | dlogz: 64487.853 > 10.000 
iter: 85 | batch: 0 | bound: 0 | nc: 3 | ncall: 478 | eff(%): 16.732 | logz: -66457.161 +/-  0.475 | dlogz: 63678.433 > 10.000 
iter: 86 | batch: 0 | bound: 0 | nc: 9 | ncall: 487 | eff(%): 16.634 | logz: -64627.900 +/-  0.476 | dlogz: 61696.891 > 10.000 
iter: 87 | batch: 0 | bound: 0 | nc: 4 | ncall: 491 | eff(%): 16.699 | logz: -61415.578 +/-  0.477 | dlogz: 59867.597 > 10.000 
iter: 88 | batch: 0 | bound: 0 | nc: 36 | ncall: 527 | eff(%): 15.799 | logz: -59213.524 +/-  0.478 | dlogz: 56655.242 > 10.000 
iter: 89 | batch: 0 | bound: 0 | nc: 7 | ncall: 534 | eff(%): 15.780 | logz: -58157.017 +/-  0.480 | dlogz: 54453.156 > 10.000 
iter: 90 | batch: 0 | bound: 0 | nc: 10 | ncall: 544 | eff(%): 15.679 | logz: -57220.559 +/-  0.481 | dlogz: 53396.616 > 10.000 
iter: 91 | batch: 0 | bound: 0 | nc: 7 | ncall: 551 | eff(%): 15.663 | logz: -54918.078 +/-  0.482 | dlogz: 52460.125 > 10.000 
iter: 92 | batch: 0 | bound: 0 | nc: 35 | ncall: 586 | eff(%): 14.935 | logz: -54738.528 +/-  0.483 | dlogz: 50157.611 > 10.000 
iter: 93 | batch: 0 | bound: 0 | nc: 72 | ncall: 658 | eff(%): 13.517 | logz: -53133.458 +/-  0.484 | dlogz: 49978.028 > 10.000 
iter: 94 | batch: 0 | bound: 0 | nc: 40 | ncall: 698 | eff(%): 12.912 | logz: -49705.978 +/-  0.485 | dlogz: 48372.926 > 10.000 
iter: 95 | batch: 0 | bound: 0 | nc: 19 | ncall: 717 | eff(%): 12.718 | logz: -48279.545 +/-  0.486 | dlogz: 46269.236 > 10.000 
iter: 96 | batch: 0 | bound: 0 | nc: 67 | ncall: 784 | eff(%): 11.794 | logz: -46255.371 +/-  0.487 | dlogz: 44842.770 > 10.000 
