logz,logdust,logNpix,logage,lnprob,N_walkers
-0.1805,-1.9850,2.0174,9.5994,-859.6829,128
-0.1805,-1.9850,2.0174,9.5994,-859.6829,128
-0.1805,-1.9850,2.0174,9.5994,-859.6829,128
-0.1805,-1.9850,2.0174,9.5994,-859.6829,128
-0.1805,-1.9850,2.0174,9.5994,-859.6829,128
-0.1805,-1.9850,2.0174,9.5994,-859.6829,128
-0.1805,-1.9850,2.0174,9.5994,-859.6829,128
-0.1805,-1.9847,2.0174,9.5995,-859.7807,128
-0.1799,-1.9960,2.0182,9.6019,-859.2508,128
-0.1799,-1.9960,2.0182,9.6019,-859.2508,128
-0.1799,-1.9960,2.0182,9.6019,-859.2508,128
-0.1799,-1.9960,2.0182,9.6019,-859.2508,128
-0.1799,-1.9960,2.0182,9.6019,-859.2508,128
-0.1799,-1.9960,2.0182,9.6019,-859.2508,128
-0.1799,-1.9960,2.0182,9.6019,-859.2508,128
-0.1799,-1.9960,2.0182,9.6019,-859.2508,128
-0.1804,-1.9909,2.0180,9.6008,-855.5770,128
-0.1804,-1.9909,2.0180,9.6008,-855.5770,128
-0.1804,-1.9909,2.0180,9.6008,-855.5770,128
-0.1804,-1.9909,2.0180,9.6008,-855.5770,128
-0.1804,-1.9909,2.0180,9.6008,-855.5770,128
-0.1804,-1.9909,2.0180,9.6008,-855.5770,128
-0.1804,-1.9909,2.0180,9.6008,-855.5770,128
-0.1804,-1.9909,2.0180,9.6008,-855.5770,128
-0.1804,-1.9909,2.0180,9.6008,-855.5770,128
-0.1804,-1.9909,2.0180,9.6008,-855.5770,128
-0.1804,-1.9909,2.0180,9.6008,-855.5770,128
-0.1804,-1.9909,2.0180,9.6008,-855.5770,128
-0.1804,-1.9909,2.0180,9.6008,-855.5770,128
-0.1804,-1.9909,2.0180,9.6008,-855.5770,128
-0.1804,-1.9909,2.0180,9.6008,-855.5770,128
-0.1804,-1.9909,2.0180,9.6008,-855.5770,128
-0.1804,-1.9909,2.0180,9.6008,-855.5770,128
-0.1804,-1.9909,2.0180,9.6008,-855.5770,128
-0.1804,-1.9909,2.0180,9.6011,-855.5880,128
-0.1804,-1.9909,2.0180,9.6011,-855.5880,128
-0.1804,-1.9909,2.0180,9.6011,-855.5880,128
-0.1804,-1.9909,2.0180,9.6011,-855.5880,128
-0.1804,-1.9909,2.0180,9.6011,-855.5880,128
-0.1804,-1.9909,2.0180,9.6011,-855.5880,128
-0.1804,-1.9909,2.0180,9.6011,-855.5880,128
-0.1804,-1.9909,2.0180,9.6011,-855.5880,128
-0.1804,-1.9909,2.0180,9.6011,-855.5880,128
-0.1804,-1.9909,2.0180,9.6011,-855.5880,128
-0.1804,-1.9909,2.0180,9.6011,-855.5880,128
-0.1804,-1.9909,2.0180,9.6011,-855.5880,128
-0.1804,-1.9909,2.0180,9.6011,-855.5880,128
