nlive,niter,ncall,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,logzh,logdust,logNpix
2.0000e+03,2.0780e+03,1.9930e+04,1.0328e+01,1.7003e+05,1.7002e+05,-1.0369e+01,1.7002e+05,2.8206e-01,1.5952e+01,1.5705e+03,-4.6983e-01,-1.0739e+00,5.9972e+00
2.0000e+03,2.0790e+03,1.9931e+04,1.0332e+01,1.7005e+05,1.7003e+05,-1.0374e+01,1.7003e+05,2.8570e-01,1.6366e+01,1.5676e+03,-3.5640e-01,-9.9728e-01,6.0112e+00
2.0000e+03,2.0800e+03,1.9932e+04,1.0337e+01,1.7007e+05,1.7006e+05,-1.0379e+01,1.7006e+05,2.8574e-01,1.6371e+01,1.5541e+03,-4.5165e-01,-9.5826e-01,6.0038e+00
2.0000e+03,2.0810e+03,1.9934e+04,1.0341e+01,1.7008e+05,1.7006e+05,-1.0384e+01,1.7006e+05,2.8546e-01,1.6338e+01,1.5270e+03,-4.3978e-01,-1.0708e+00,5.9999e+00
2.0000e+03,2.0820e+03,1.9935e+04,1.0345e+01,1.7008e+05,1.7006e+05,-1.0389e+01,1.7006e+05,2.7614e-01,1.5288e+01,1.5211e+03,-3.4178e-01,-1.0912e+00,6.0108e+00
2.0000e+03,2.0830e+03,1.9936e+04,1.0350e+01,1.7008e+05,1.7007e+05,-1.0394e+01,1.7007e+05,2.7466e-01,1.5125e+01,1.5198e+03,-4.6598e-01,-1.0722e+00,5.9973e+00
2.0000e+03,2.0840e+03,1.9945e+04,1.0350e+01,1.7009e+05,1.7007e+05,-1.0399e+01,1.7007e+05,2.8587e-01,1.6385e+01,1.5186e+03,-4.9123e-01,-9.4470e-01,6.0015e+00
2.0000e+03,2.0850e+03,1.9953e+04,1.0351e+01,1.7009e+05,1.7008e+05,-1.0404e+01,1.7008e+05,2.7741e-01,1.5430e+01,1.5106e+03,-3.9707e-01,-9.8169e-01,6.0120e+00
2.0000e+03,2.0860e+03,1.9958e+04,1.0353e+01,1.7009e+05,1.7008e+05,-1.0409e+01,1.7008e+05,2.7746e-01,1.5435e+01,1.5090e+03,-4.3060e-01,-9.7414e-01,6.0092e+00
2.0000e+03,2.0870e+03,1.9992e+04,1.0341e+01,1.7011e+05,1.7009e+05,-1.0414e+01,1.7009e+05,2.8605e-01,1.6405e+01,1.5073e+03,-6.3209e-01,-9.1654e-01,6.0006e+00
2.0000e+03,2.0880e+03,2.0007e+04,1.0338e+01,1.7011e+05,1.7009e+05,-1.0419e+01,1.7009e+05,2.7675e-01,1.5357e+01,1.4949e+03,-5.4449e-01,-1.0353e+00,5.9944e+00
2.0000e+03,2.0890e+03,2.0008e+04,1.0342e+01,1.7011e+05,1.7009e+05,-1.0424e+01,1.7009e+05,2.7827e-01,1.5526e+01,1.4935e+03,-5.3660e-01,-9.8769e-01,6.0018e+00
2.0000e+03,2.0900e+03,2.0009e+04,1.0347e+01,1.7011e+05,1.7010e+05,-1.0429e+01,1.7010e+05,2.8490e-01,1.6274e+01,1.4917e+03,-5.1537e-01,-1.0461e+00,5.9968e+00
2.0000e+03,2.0910e+03,2.0037e+04,1.0338e+01,1.7012e+05,1.7010e+05,-1.0434e+01,1.7010e+05,2.8521e-01,1.6310e+01,1.4874e+03,-6.0126e-01,-9.6320e-01,5.9992e+00
2.0000e+03,2.0920e+03,2.0051e+04,1.0335e+01,1.7012e+05,1.7011e+05,-1.0439e+01,1.7011e+05,2.8612e-01,1.6414e+01,1.4829e+03,-3.6463e-01,-9.8888e-01,6.0111e+00
2.0000e+03,2.0930e+03,2.0063e+04,1.0334e+01,1.7013e+05,1.7011e+05,-1.0444e+01,1.7011e+05,2.8295e-01,1.6052e+01,1.4760e+03,-5.0489e-01,-1.0452e+00,5.9951e+00
2.0000e+03,2.0940e+03,2.0065e+04,1.0338e+01,1.7013e+05,1.7011e+05,-1.0449e+01,1.7011e+05,2.7591e-01,1.5263e+01,1.4730e+03,-4.5339e-01,-9.7952e-01,6.0023e+00
2.0000e+03,2.0950e+03,2.0072e+04,1.0339e+01,1.7015e+05,1.7013e+05,-1.0454e+01,1.7013e+05,2.8639e-01,1.6445e+01,1.4717e+03,-5.7444e-01,-9.1359e-01,6.0018e+00
2.0000e+03,2.0960e+03,2.0078e+04,1.0341e+01,1.7015e+05,1.7014e+05,-1.0459e+01,1.7014e+05,2.8616e-01,1.6418e+01,1.4534e+03,-3.6988e-01,-1.0258e+00,6.0080e+00
2.0000e+03,2.0970e+03,2.0085e+04,1.0343e+01,1.7016e+05,1.7014e+05,-1.0464e+01,1.7014e+05,2.8589e-01,1.6388e+01,1.4473e+03,-4.4525e-01,-1.0446e+00,6.0048e+00
2.0000e+03,2.0980e+03,2.0086e+04,1.0347e+01,1.7016e+05,1.7014e+05,-1.0469e+01,1.7014e+05,2.8091e-01,1.5822e+01,1.4421e+03,-6.4164e-01,-9.3099e-01,5.9969e+00
2.0000e+03,2.0990e+03,2.0088e+04,1.0351e+01,1.7017e+05,1.7015e+05,-1.0474e+01,1.7015e+05,2.8635e-01,1.6440e+01,1.4398e+03,-4.3181e-01,-1.0623e+00,6.0007e+00
2.0000e+03,2.1000e+03,2.0094e+04,1.0353e+01,1.7019e+05,1.7017e+05,-1.0479e+01,1.7017e+05,2.8661e-01,1.6470e+01,1.4335e+03,-3.7609e-01,-9.9506e-01,6.0092e+00
2.0000e+03,2.1010e+03,2.0101e+04,1.0354e+01,1.7019e+05,1.7017e+05,-1.0484e+01,1.7017e+05,2.7699e-01,1.5383e+01,1.4130e+03,-3.5620e-01,-9.8259e-01,6.0143e+00
2.0000e+03,2.1020e+03,2.0105e+04,1.0357e+01,1.7019e+05,1.7017e+05,-1.0489e+01,1.7017e+05,2.7264e-01,1.4904e+01,1.4118e+03,-4.1727e-01,-1.0683e+00,6.0023e+00
2.0000e+03,2.1030e+03,2.0107e+04,1.0361e+01,1.7019e+05,1.7018e+05,-1.0494e+01,1.7018e+05,2.8274e-01,1.6029e+01,1.4111e+03,-4.8419e-01,-1.0830e+00,5.9981e+00
2.0000e+03,2.1040e+03,2.0112e+04,1.0363e+01,1.7020e+05,1.7018e+05,-1.0499e+01,1.7018e+05,2.8535e-01,1.6326e+01,1.4084e+03,-4.0202e-01,-1.0658e+00,6.0033e+00
2.0000e+03,2.1050e+03,2.0113e+04,1.0368e+01,1.7020e+05,1.7018e+05,-1.0504e+01,1.7018e+05,2.8307e-01,1.6066e+01,1.4043e+03,-4.1869e-01,-1.0867e+00,6.0021e+00
2.0000e+03,2.1060e+03,2.0118e+04,1.0370e+01,1.7020e+05,1.7019e+05,-1.0509e+01,1.7019e+05,2.8594e-01,1.6393e+01,1.4014e+03,-5.1236e-01,-9.7006e-01,6.0029e+00
