"N_scale: 1024, log_Npix: 0","N_scale: 1024, log_Npix: 2","N_scale: 1024, log_Npix: 4","N_scale: 128, log_Npix: 0","N_scale: 128, log_Npix: 2","N_scale: 128, log_Npix: 4","N_scale: 2048, log_Npix: 0","N_scale: 2048, log_Npix: 2","N_scale: 2048, log_Npix: 4","N_scale: 256, log_Npix: 0","N_scale: 256, log_Npix: 2","N_scale: 256, log_Npix: 4","N_scale: 512, log_Npix: 0","N_scale: 512, log_Npix: 2","N_scale: 512, log_Npix: 4"
-3840.5735935231487,-877.1669537962422,-162.10626950442253,-2987.9313937635816,-1117.075765219405,-122.00041654823204,-3965.9323288686655,-868.0006077542165,-165.7352040394542,-3036.0168992020167,-799.3855505826145,-155.77389924427953,-3270.081469389114,-897.7975043630731,-143.73218469175157
-4428.700438467588,-836.1143434172795,-163.63049608050954,-1843.9385751077884,-773.1187113956547,-128.0298567748978,-4231.8735619592635,-837.5810192624009,-154.87809454626102,-3189.5121229201327,-831.6506895036292,-182.59381777207957,-4044.14066367736,-836.1391723675004,-154.7676696071011
-3947.2870132426065,-840.4488314794855,-156.0740754064209,-2046.0593520071136,-994.1434639103687,-156.42763176962904,-3853.8245430708625,-869.1867082571757,-161.04556842182842,-3036.613829046093,-812.8437104775941,-115.04585318474417,-3546.5668321777134,-797.4051232027258,-155.45913297284505
-3854.2254863556727,-850.8571003220621,-167.40111704020873,-2366.11709568483,-992.0829189497373,-254.00469537704944,-4039.8031266459143,-845.5341835253896,-164.86553183796238,-3274.385865651003,-797.8899302620272,-204.2378754645911,-3593.20114739408,-805.4300902236704,-145.89682218431406
-4244.915607411199,-860.9779285318034,-173.08264637990013,-2121.3504574661592,-760.1127313750548,-103.38998332261839,-4032.522085486031,-839.4693904192685,-156.41352585885417,-3673.8059905809764,-883.6708913844323,-157.70899130578826,-4009.032522537737,-818.2282671661796,-171.9254088998938
-4064.7864680862544,-824.4930693362146,-144.27558481774255,-3110.085771208104,-819.2960830843967,-128.3067835278381,-3932.431524069619,-839.8258648438126,-162.5767290647193,-3439.3408426996675,-929.5637162006757,-111.4343343679628,-4058.921097415772,-879.3913149224468,-183.04830619558828
-3862.0114465624033,-797.0867711859864,-160.58316099937554,-3720.785683203384,-1023.3369381073193,-311.2477713216596,-3920.368124358366,-846.1446463851336,-160.98732972651368,-3276.3753461183455,-825.6914768123172,-236.53661605837522,-3518.843043239594,-948.049090976388,-149.10021557401151
-4718.530475357123,-841.8929784128469,-170.6504978147827,-3547.6668583050828,-738.7417929228104,-149.57580687513115,-3760.2425449066636,-881.3236715805206,-165.29634336424112,-3672.5338470635966,-847.3484329212928,-171.25319642072932,-4417.059110773552,-861.622000599542,-146.58725689953016
-4236.907528425954,-894.4534486132421,-156.15364288278946,-3321.1326746652226,-774.0588598795181,-169.06474078145854,-3851.217371961799,-842.2570163598285,-165.95606052546344,-3438.8273132205336,-827.0863326253902,-169.10261668528057,-4364.426499700393,-916.9086381540294,-133.3632998294682
-4422.848765403008,-821.3754326859492,-178.95082032553722,-2113.039293664026,-908.0573365274207,-286.4148133884807,-4010.4593408772216,-882.7574072959188,-178.63969448501865,-3127.8614123811476,-915.0615499073672,-111.74909299378501,-3899.484734081381,-859.556420941717,-199.60007331278044
