logfeh,logdust_med,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,logl
-9.5866e-01,-1.8823e+00,1.7320e+00,2.7564e+00,6.6969e-01,2.4944e+00,3.7885e+00,-2.2940e+03
-9.6747e-01,-1.8497e+00,1.7332e+00,2.7511e+00,1.2505e+00,2.8265e+00,3.7478e+00,-2.2977e+03
-9.9959e-01,-1.9656e+00,1.7323e+00,2.7440e+00,1.8178e+00,2.0733e+00,3.8025e+00,-2.2981e+03
-9.7418e-01,-1.8644e+00,1.7326e+00,2.7442e+00,6.5928e-01,2.5098e+00,3.7937e+00,-2.2967e+03
-9.6789e-01,-1.8102e+00,1.7306e+00,2.7587e+00,5.9281e-01,2.1218e+00,3.8041e+00,-2.2943e+03
-9.6413e-01,-1.8239e+00,1.7289e+00,2.7643e+00,1.0407e+00,1.6423e+00,3.8159e+00,-2.2755e+03
-9.9201e-01,-1.8892e+00,1.7305e+00,2.7370e+00,1.0741e+00,2.5546e+00,3.7927e+00,-2.2966e+03
-9.5370e-01,-1.8400e+00,1.7335e+00,2.7564e+00,9.8526e-01,2.5057e+00,3.7961e+00,-2.2761e+03
-9.6288e-01,-1.9846e+00,1.7323e+00,2.7354e+00,1.4878e+00,2.7486e+00,3.7495e+00,-2.2962e+03
-9.9591e-01,-1.8721e+00,1.7324e+00,2.7600e+00,1.3544e+00,1.7447e+00,3.8190e+00,-2.2740e+03
-9.9884e-01,-1.9954e+00,1.7304e+00,2.7522e+00,1.3351e+00,2.7264e+00,3.7626e+00,-2.2936e+03
-9.7804e-01,-1.9177e+00,1.7320e+00,2.7336e+00,9.1132e-01,2.8646e+00,3.7453e+00,-2.2833e+03
-9.9245e-01,-1.9762e+00,1.7279e+00,2.7628e+00,1.2485e+00,2.0884e+00,3.8035e+00,-2.2917e+03
-9.6882e-01,-1.8961e+00,1.7269e+00,2.7511e+00,8.8947e-01,1.8492e+00,3.8173e+00,-2.2976e+03
-9.8610e-01,-1.9340e+00,1.7298e+00,2.7365e+00,1.8705e+00,2.7119e+00,3.7571e+00,-2.2534e+03
-9.8791e-01,-1.8447e+00,1.7318e+00,2.7557e+00,1.1310e+00,2.8322e+00,3.7446e+00,-2.2936e+03
-9.8903e-01,-1.7903e+00,1.7263e+00,2.7641e+00,1.1677e+00,1.6865e+00,3.8183e+00,-2.2865e+03
-9.9713e-01,-1.9511e+00,1.7336e+00,2.7654e+00,1.7337e+00,1.6733e+00,3.8033e+00,-2.2864e+03
-9.5940e-01,-1.8337e+00,1.7305e+00,2.7524e+00,4.6366e-01,2.6870e+00,3.7719e+00,-2.2969e+03
-9.5428e-01,-1.9790e+00,1.7332e+00,2.7393e+00,1.0152e+00,2.7300e+00,3.7593e+00,-2.2698e+03
-9.5579e-01,-1.8338e+00,1.7285e+00,2.7340e+00,9.1226e-01,3.1527e+00,3.6536e+00,-2.2922e+03
-9.8340e-01,-1.9525e+00,1.7264e+00,2.7598e+00,5.2418e-01,2.4951e+00,3.7929e+00,-2.2939e+03
-9.5674e-01,-1.9009e+00,1.7289e+00,2.7338e+00,1.5109e+00,2.5155e+00,3.7907e+00,-2.2865e+03
-9.6160e-01,-1.8933e+00,1.7323e+00,2.7481e+00,1.1054e+00,2.7840e+00,3.7532e+00,-2.2862e+03
-9.5640e-01,-1.9097e+00,1.7337e+00,2.7623e+00,6.5513e-01,1.9890e+00,3.8113e+00,-2.2762e+03
-9.6584e-01,-1.9248e+00,1.7313e+00,2.7521e+00,9.9922e-01,1.8374e+00,3.8118e+00,-2.2804e+03
-9.7757e-01,-1.8491e+00,1.7308e+00,2.7632e+00,1.7498e+00,1.6440e+00,3.8076e+00,-2.2890e+03
-9.9772e-01,-1.7676e+00,1.7269e+00,2.7500e+00,1.0022e+00,2.4921e+00,3.7978e+00,-2.2969e+03
-9.8275e-01,-1.8175e+00,1.7242e+00,2.7626e+00,1.6153e+00,2.0533e+00,3.7972e+00,-2.2975e+03
-9.6686e-01,-1.9060e+00,1.7321e+00,2.7377e+00,2.2280e+00,1.8157e+00,3.7874e+00,-2.2958e+03
-9.8861e-01,-1.9374e+00,1.7309e+00,2.7288e+00,1.6492e+00,3.0254e+00,3.6988e+00,-2.2963e+03
-9.9157e-01,-1.8786e+00,1.7249e+00,2.7573e+00,1.2328e+00,1.8548e+00,3.8046e+00,-2.2958e+03
-9.7310e-01,-1.8318e+00,1.7287e+00,2.7364e+00,1.6191e+00,2.7691e+00,3.7494e+00,-2.2896e+03
-9.7330e-01,-1.8367e+00,1.7335e+00,2.7589e+00,9.6778e-01,1.7256e+00,3.8175e+00,-2.2877e+03
-9.5360e-01,-1.9211e+00,1.7309e+00,2.7527e+00,1.2999e+00,2.7365e+00,3.7645e+00,-2.2957e+03
-9.8709e-01,-1.8936e+00,1.7294e+00,2.7367e+00,8.1550e-01,3.0488e+00,3.6894e+00,-2.2814e+03
-9.6252e-01,-1.8587e+00,1.7319e+00,2.7377e+00,1.2076e+00,1.7024e+00,3.8172e+00,-2.2752e+03
