logfeh,logdust_med,logNpix,tau,dmod,logl
-6.9648e-01,-1.8347e+00,3.6304e+00,9.5974e+00,2.9639e+01,-1.6008e+03
-6.9878e-01,-1.9732e+00,3.6292e+00,9.6710e+00,2.9649e+01,-1.6136e+03
-6.3321e-01,-1.9634e+00,3.6121e+00,9.9712e+00,2.9591e+01,-1.5879e+03
-6.9556e-01,-1.8786e+00,3.6319e+00,9.6869e+00,2.9650e+01,-1.6064e+03
-6.4314e-01,-1.9656e+00,3.6149e+00,9.9853e+00,2.9599e+01,-1.5948e+03
-6.3180e-01,-1.9907e+00,3.6128e+00,9.8606e+00,2.9584e+01,-1.5998e+03
-9.3231e-01,-1.0402e+00,3.7124e+00,9.8845e+00,2.9832e+01,-1.6040e+03
-6.3337e-01,-1.9849e+00,3.6164e+00,9.8543e+00,2.9595e+01,-1.5933e+03
-6.9967e-01,-1.7392e+00,3.6311e+00,9.7887e+00,2.9650e+01,-1.6064e+03
-6.3818e-01,-1.9425e+00,3.6603e+00,9.9586e+00,2.9712e+01,-1.6064e+03
-6.9308e-01,-1.8976e+00,3.6347e+00,9.7244e+00,2.9659e+01,-1.6132e+03
-6.9871e-01,-1.6837e+00,3.6297e+00,9.6228e+00,2.9634e+01,-1.6137e+03
-6.2114e-01,-1.9133e+00,3.6145e+00,9.9820e+00,2.9585e+01,-1.6051e+03
-6.3683e-01,-1.9804e+00,3.6148e+00,9.8012e+00,2.9587e+01,-1.6083e+03
-6.2764e-01,-1.8703e+00,3.6147e+00,9.9561e+00,2.9589e+01,-1.6083e+03
-6.5978e-01,-1.9178e+00,3.6164e+00,9.9016e+00,2.9602e+01,-1.5969e+03
-6.4130e-01,-1.9374e+00,3.6145e+00,9.9408e+00,2.9589e+01,-1.5953e+03
-6.9930e-01,-1.7466e+00,3.6327e+00,9.5536e+00,2.9642e+01,-1.6024e+03
-6.9062e-01,-1.9686e+00,3.6325e+00,9.4164e+00,2.9642e+01,-1.6142e+03
-6.9847e-01,-1.8963e+00,3.6319e+00,9.6429e+00,2.9646e+01,-1.6107e+03
-6.2640e-01,-1.9411e+00,3.6141e+00,9.9403e+00,2.9582e+01,-1.6066e+03
-6.9849e-01,-1.9610e+00,3.6309e+00,9.6178e+00,2.9653e+01,-1.6068e+03
-6.8646e-01,-1.8963e+00,3.6302e+00,9.6934e+00,2.9640e+01,-1.6125e+03
-6.3990e-01,-1.9342e+00,3.6604e+00,9.8885e+00,2.9709e+01,-1.6076e+03
-9.2352e-01,-1.0028e+00,3.6612e+00,9.9188e+00,2.9700e+01,-1.5974e+03
-6.3540e-01,-1.8837e+00,3.6144e+00,9.8611e+00,2.9583e+01,-1.6083e+03
-9.0799e-01,-1.0779e+00,3.6620e+00,9.9950e+00,2.9709e+01,-1.6111e+03
-6.4203e-01,-1.9533e+00,3.6153e+00,9.9634e+00,2.9600e+01,-1.6095e+03
-9.1029e-01,-1.0126e+00,3.6609e+00,9.9986e+00,2.9694e+01,-1.5887e+03
-8.1650e-01,-1.2677e+00,3.7001e+00,9.8330e+00,2.9816e+01,-1.6081e+03
-6.9989e-01,-1.7673e+00,3.6305e+00,9.6805e+00,2.9643e+01,-1.5769e+03
-6.9233e-01,-1.8458e+00,3.6341e+00,9.3940e+00,2.9640e+01,-1.6132e+03
-6.4887e-01,-1.9240e+00,3.6168e+00,9.9324e+00,2.9602e+01,-1.6098e+03
-6.2704e-01,-1.9252e+00,3.6140e+00,9.9741e+00,2.9585e+01,-1.6002e+03
-6.9935e-01,-1.9443e+00,3.6314e+00,9.7248e+00,2.9652e+01,-1.6072e+03
-6.9539e-01,-1.8773e+00,3.6334e+00,9.7634e+00,2.9655e+01,-1.6027e+03
-6.9322e-01,-1.6946e+00,3.6296e+00,9.7134e+00,2.9640e+01,-1.6045e+03
-6.6202e-01,-1.9612e+00,3.6258e+00,9.9048e+00,2.9632e+01,-1.6056e+03
-9.2632e-01,-1.0192e+00,3.6952e+00,9.8749e+00,2.9784e+01,-1.6046e+03
