logfeh,logdust_med,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,logl
-2.8963e-01,-1.9218e+00,1.7333e+00,2.5771e+00,2.4117e+00,2.2440e+00,4.2796e+00,-8.7008e+03
-2.7929e-01,-1.9281e+00,1.7316e+00,2.5978e+00,2.1889e+00,1.6671e+00,4.2955e+00,-8.7683e+03
-2.9455e-01,-1.7008e+00,1.7315e+00,2.6233e+00,2.2188e+00,2.1994e+00,4.2892e+00,-8.6776e+03
-2.9765e-01,-1.8125e+00,1.7312e+00,2.6194e+00,2.2192e+00,2.2639e+00,4.2920e+00,-8.7657e+03
-2.0575e-01,-1.8529e+00,1.7328e+00,2.6051e+00,2.3115e+00,2.5545e+00,4.2756e+00,-8.7469e+03
-2.0059e-01,-1.7422e+00,1.7322e+00,2.6300e+00,2.5881e+00,2.4759e+00,4.2510e+00,-8.7744e+03
-2.2061e-01,-1.8762e+00,1.7285e+00,2.6066e+00,2.1968e+00,1.6396e+00,4.2927e+00,-8.7713e+03
-2.2105e-01,-1.8198e+00,1.7331e+00,2.5838e+00,9.9405e-01,1.9220e+00,4.3173e+00,-8.7777e+03
-2.0355e-01,-1.9042e+00,1.7330e+00,2.5985e+00,2.1564e+00,1.7012e+00,4.2967e+00,-8.7752e+03
-2.1673e-01,-1.9288e+00,1.7291e+00,2.5807e+00,1.9917e+00,1.8236e+00,4.3083e+00,-8.7572e+03
-2.8253e-01,-1.6622e+00,1.7311e+00,2.6233e+00,2.2306e+00,2.1919e+00,4.2895e+00,-8.7271e+03
-2.9888e-01,-1.8381e+00,1.7320e+00,2.5916e+00,1.8968e+00,1.7580e+00,4.3072e+00,-8.7761e+03
-2.3532e-01,-1.9269e+00,1.7318e+00,2.5814e+00,2.1641e+00,1.7431e+00,4.2952e+00,-8.7740e+03
-2.3841e-01,-1.9054e+00,1.7319e+00,2.5893e+00,2.2173e+00,1.7916e+00,4.2945e+00,-8.7686e+03
-2.3396e-01,-1.9674e+00,1.7323e+00,2.5992e+00,2.1953e+00,1.6856e+00,4.2967e+00,-8.7105e+03
-2.5428e-01,-1.8578e+00,1.7313e+00,2.6058e+00,2.3977e+00,2.1859e+00,4.2811e+00,-8.7701e+03
-2.3338e-01,-1.8067e+00,1.7320e+00,2.6090e+00,2.3969e+00,2.1923e+00,4.2770e+00,-8.7716e+03
-2.3981e-01,-1.9430e+00,1.7328e+00,2.5651e+00,2.0367e+00,2.7920e+00,4.2863e+00,-8.6923e+03
-2.1009e-01,-1.8820e+00,1.7314e+00,2.5990e+00,2.2014e+00,1.6903e+00,4.2949e+00,-8.6868e+03
-2.6222e-01,-1.8444e+00,1.7334e+00,2.5974e+00,2.4680e+00,2.0004e+00,4.2759e+00,-8.7790e+03
-2.7617e-01,-1.6982e+00,1.7305e+00,2.6216e+00,2.2138e+00,2.2630e+00,4.2894e+00,-8.7693e+03
-2.0898e-01,-1.8919e+00,1.7332e+00,2.5658e+00,2.0857e+00,2.5483e+00,4.2938e+00,-8.7541e+03
-2.7890e-01,-1.9518e+00,1.7330e+00,2.5638e+00,2.1185e+00,2.5154e+00,4.2930e+00,-8.7806e+03
-2.9495e-01,-1.9444e+00,1.7319e+00,2.6291e+00,2.2329e+00,2.2300e+00,4.2895e+00,-8.7093e+03
-2.4849e-01,-1.8810e+00,1.7289e+00,2.5768e+00,2.1487e+00,2.4280e+00,4.2948e+00,-8.7456e+03
