logfeh_scale,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod,logl
-6.3363e-01,-8.6090e-01,-8.2401e-01,5.2753e-01,-4.9336e-02,4.1014e+00,3.9594e+00,2.9986e+01,-2.0898e+02
-2.3621e-01,-1.7770e+00,-1.1714e+00,-3.5978e-01,1.0389e+00,2.0173e+00,4.6273e+00,3.0423e+01,-2.4307e+02
-3.4638e-01,-1.2437e+00,1.9984e-01,6.9504e-01,2.6194e+00,1.9411e+00,4.3801e+00,2.9863e+01,-2.3581e+02
5.0072e-02,-1.7495e+00,-1.2371e+00,7.0765e-01,3.5150e+00,3.4727e+00,4.4181e+00,3.0401e+01,-1.9021e+02
3.9938e-01,-1.7490e+00,1.5356e-01,2.5127e+00,3.6486e-02,3.5402e+00,4.3184e+00,2.9815e+01,-2.5341e+02
2.8879e-01,-1.5720e+00,-7.8265e-01,1.3906e+00,1.8471e+00,4.2385e+00,3.2613e+00,2.9877e+01,-9.3799e+01
-1.8026e-01,-1.5282e+00,3.7162e-01,-6.3951e-01,2.8725e+00,3.3268e+00,4.3784e+00,3.0034e+01,-9.6402e+01
-3.8439e-01,-9.4121e-01,-1.1255e+00,1.0871e+00,3.4995e+00,3.9821e+00,4.0913e+00,3.0314e+01,-1.2760e+02
2.4127e-02,-1.4826e+00,-1.3050e+00,1.4574e+00,-5.0300e-02,4.0451e+00,4.0585e+00,2.9921e+01,-6.8768e+01
1.9468e-01,-8.8927e-01,2.2070e-01,2.7961e+00,2.3914e+00,4.0872e+00,3.9034e+00,2.9871e+01,-1.4724e+02
-4.7226e-01,-1.2069e+00,7.0301e-01,3.0718e-01,2.2882e+00,1.7315e+00,4.4186e+00,2.9936e+01,-1.6670e+02
4.2719e-01,-1.8989e+00,-9.2517e-01,1.1233e+00,2.9404e+00,4.1876e+00,3.4606e+00,2.9904e+01,-1.4622e+02
4.5700e-01,-1.4296e+00,9.4268e-01,2.0468e-01,3.5019e+00,4.1744e+00,3.9002e+00,3.0267e+01,-2.4111e+02
1.0199e-01,-1.8448e+00,-5.4552e-01,-4.7614e-01,1.3412e+00,3.9466e+00,4.0125e+00,2.9730e+01,-1.6328e+02
4.6847e-01,-1.9623e+00,2.2144e-01,1.0460e+00,9.7689e-01,4.3445e+00,2.9242e+00,3.0078e+01,-1.5367e+02
-3.3956e-01,-1.0853e+00,2.9208e-01,4.5428e-01,2.5698e+00,3.7975e+00,4.1600e+00,2.9844e+01,-1.1258e+02
4.6811e-01,-1.2276e+00,1.4618e-01,1.5398e+00,3.8029e+00,3.9743e+00,3.5731e+00,3.0245e+01,-1.0048e+02
-3.4559e-01,-1.1462e+00,-9.7274e-02,1.8771e+00,2.5073e+00,3.6400e+00,4.3808e+00,3.0110e+01,-9.3440e+01
-2.2614e-03,-1.8954e+00,-4.8419e-01,6.4122e-01,8.7523e-01,3.8941e+00,4.2476e+00,2.9973e+01,-2.4279e+02
3.8333e-01,-1.7987e+00,-6.5153e-01,2.5512e-01,2.8336e+00,4.2232e+00,2.6576e+00,2.9870e+01,-2.1168e+02
-3.3869e-01,-1.3166e+00,-6.7421e-01,1.7140e+00,1.8214e+00,1.8714e+00,4.3621e+00,2.9772e+01,-1.7937e+02
-9.3791e-02,-9.1063e-01,7.5654e-01,2.3726e+00,1.5321e+00,4.0987e+00,3.5248e+00,2.9689e+01,-1.9179e+02
1.4316e-01,-1.8607e+00,-6.3886e-01,-7.2101e-01,2.9189e+00,3.6574e+00,4.1788e+00,2.9733e+01,-2.8355e+02
