logfeh,logdust_med,logNpix,tau,dmod,logl
-9.6952e-01,-1.9816e+00,3.6457e+00,9.9145e+00,2.9304e+01,-2.2557e+03
-9.7048e-01,-1.9504e+00,3.6755e+00,9.9842e+00,2.9387e+01,-2.2401e+03
-9.6558e-01,-1.9801e+00,3.7800e+00,9.9577e+00,2.9659e+01,-2.2503e+03
-9.6110e-01,-1.9622e+00,3.6458e+00,9.9103e+00,2.9308e+01,-2.2351e+03
-9.8786e-01,-1.9649e+00,3.6479e+00,9.9977e+00,2.9317e+01,-2.2623e+03
-9.7881e-01,-1.9113e+00,3.6753e+00,9.9642e+00,2.9380e+01,-2.2543e+03
-9.7223e-01,-1.8823e+00,3.6792e+00,9.9831e+00,2.9394e+01,-2.2570e+03
-9.8716e-01,-1.9915e+00,3.6769e+00,9.9753e+00,2.9383e+01,-2.2537e+03
-9.7172e-01,-1.9576e+00,3.6773e+00,9.9251e+00,2.9384e+01,-2.2512e+03
-9.8021e-01,-1.9469e+00,3.6777e+00,9.9148e+00,2.9400e+01,-2.2444e+03
-9.5292e-01,-1.9207e+00,3.6759e+00,9.9623e+00,2.9383e+01,-2.2608e+03
-9.5493e-01,-1.9615e+00,3.6768e+00,9.8838e+00,2.9391e+01,-2.2368e+03
-9.6226e-01,-1.9245e+00,3.6381e+00,9.9938e+00,2.9292e+01,-2.2499e+03
-9.6632e-01,-1.9981e+00,3.6754e+00,9.9783e+00,2.9395e+01,-2.2423e+03
-9.8229e-01,-1.9010e+00,3.6768e+00,9.9794e+00,2.9396e+01,-2.2563e+03
-9.6917e-01,-1.9944e+00,3.6734e+00,9.9720e+00,2.9390e+01,-2.2547e+03
-9.5510e-01,-1.9121e+00,3.6768e+00,9.9830e+00,2.9386e+01,-2.2544e+03
-9.9309e-01,-1.9908e+00,3.6423e+00,9.9629e+00,2.9296e+01,-2.2595e+03
-9.7069e-01,-1.9736e+00,3.6449e+00,9.8713e+00,2.9303e+01,-2.2566e+03
-9.5026e-01,-1.9917e+00,3.6784e+00,9.9858e+00,2.9394e+01,-2.2545e+03
-9.8490e-01,-1.9897e+00,3.6774e+00,9.8808e+00,2.9396e+01,-2.2487e+03
-9.7913e-01,-1.9534e+00,3.7799e+00,9.9773e+00,2.9655e+01,-2.2435e+03
-9.5746e-01,-1.8876e+00,3.6765e+00,9.8768e+00,2.9383e+01,-2.2497e+03
-9.9827e-01,-1.9885e+00,3.6751e+00,9.9234e+00,2.9388e+01,-2.2586e+03
-9.9790e-01,-1.9916e+00,3.6459e+00,9.8993e+00,2.9312e+01,-2.2451e+03
-9.6001e-01,-1.9555e+00,3.6737e+00,9.9718e+00,2.9389e+01,-2.2617e+03
-9.6937e-01,-1.9387e+00,3.6753e+00,9.9520e+00,2.9378e+01,-2.2552e+03
-9.8335e-01,-1.9972e+00,3.6778e+00,9.8745e+00,2.9389e+01,-2.2595e+03
-9.7933e-01,-1.9622e+00,3.7590e+00,9.9519e+00,2.9609e+01,-2.2593e+03
-9.7936e-01,-1.9184e+00,3.6447e+00,9.9523e+00,2.9308e+01,-2.2599e+03
-9.6506e-01,-1.9377e+00,3.6765e+00,9.9476e+00,2.9392e+01,-2.2439e+03
-9.6013e-01,-1.9515e+00,3.6774e+00,9.8838e+00,2.9397e+01,-2.2581e+03
-9.8493e-01,-1.9771e+00,3.6458e+00,9.9995e+00,2.9306e+01,-2.2276e+03
-9.7123e-01,-1.9471e+00,3.6776e+00,9.9249e+00,2.9394e+01,-2.2319e+03
-9.9820e-01,-1.9507e+00,3.6455e+00,9.9387e+00,2.9307e+01,-2.2542e+03
-9.5185e-01,-1.9175e+00,3.6455e+00,9.9682e+00,2.9308e+01,-2.2590e+03
-9.8705e-01,-1.9862e+00,3.6426e+00,9.9761e+00,2.9307e+01,-2.2473e+03
-9.9625e-01,-1.9510e+00,3.6770e+00,9.8741e+00,2.9395e+01,-2.2391e+03
-9.7112e-01,-1.9718e+00,3.6464e+00,9.9212e+00,2.9303e+01,-2.2514e+03
-9.5513e-01,-1.9648e+00,3.6774e+00,9.9714e+00,2.9393e+01,-2.2462e+03
-9.8794e-01,-1.9898e+00,3.6758e+00,9.8774e+00,2.9387e+01,-2.2430e+03
-9.8031e-01,-1.9778e+00,3.7810e+00,9.9972e+00,2.9675e+01,-2.2496e+03
-9.8954e-01,-1.9875e+00,3.7798e+00,9.9548e+00,2.9672e+01,-2.2597e+03
-9.9633e-01,-1.8674e+00,3.6760e+00,9.9525e+00,2.9387e+01,-2.2600e+03
-9.6389e-01,-1.9188e+00,3.6772e+00,9.9169e+00,2.9396e+01,-2.2590e+03
-9.8982e-01,-1.9116e+00,3.6771e+00,9.8995e+00,2.9392e+01,-2.2593e+03
-9.6897e-01,-1.9597e+00,3.6447e+00,9.8974e+00,2.9299e+01,-2.2604e+03
-9.7868e-01,-1.9865e+00,3.6762e+00,9.9289e+00,2.9390e+01,-2.2393e+03
-9.7206e-01,-1.9657e+00,3.7824e+00,9.9957e+00,2.9677e+01,-2.2589e+03
-9.6655e-01,-1.9351e+00,3.6460e+00,9.9253e+00,2.9309e+01,-2.2454e+03
-9.6708e-01,-1.9488e+00,3.6770e+00,9.9118e+00,2.9395e+01,-2.2466e+03
-9.8799e-01,-1.9655e+00,3.6454e+00,9.8728e+00,2.9303e+01,-2.2574e+03
-9.5560e-01,-1.9746e+00,3.6743e+00,9.9867e+00,2.9377e+01,-2.2559e+03
-9.7397e-01,-1.9776e+00,3.6776e+00,9.9632e+00,2.9394e+01,-2.2514e+03
-9.9763e-01,-1.9867e+00,3.6439e+00,9.9273e+00,2.9307e+01,-2.2431e+03
-9.8596e-01,-1.9265e+00,3.6440e+00,9.9915e+00,2.9305e+01,-2.2543e+03
-9.8673e-01,-1.9549e+00,3.6758e+00,9.9247e+00,2.9387e+01,-2.2440e+03
-9.8757e-01,-1.9464e+00,3.6441e+00,9.9915e+00,2.9307e+01,-2.2552e+03
-9.7399e-01,-1.9874e+00,3.7798e+00,9.9563e+00,2.9673e+01,-2.2575e+03
-9.6864e-01,-1.9207e+00,3.6449e+00,9.8886e+00,2.9306e+01,-2.2609e+03
-9.8508e-01,-1.8561e+00,3.6461e+00,9.9762e+00,2.9312e+01,-2.2619e+03
-9.8932e-01,-1.9865e+00,3.6776e+00,9.8799e+00,2.9392e+01,-2.2547e+03
-9.7398e-01,-1.9795e+00,3.6761e+00,9.8967e+00,2.9388e+01,-2.2376e+03
-9.7287e-01,-1.8986e+00,3.6449e+00,9.9751e+00,2.9301e+01,-2.2525e+03
-9.5085e-01,-1.9466e+00,3.6466e+00,9.9309e+00,2.9315e+01,-2.2518e+03
-9.9380e-01,-1.9906e+00,3.6428e+00,9.9883e+00,2.9302e+01,-2.2368e+03
-9.7432e-01,-1.9605e+00,3.6782e+00,9.8581e+00,2.9387e+01,-2.2478e+03
-9.6742e-01,-1.9728e+00,3.6794e+00,9.9384e+00,2.9399e+01,-2.2519e+03
