logfeh,logdust_med,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod,logl
1.3412e-01,-1.4471e+00,1.5899e+00,1.7721e+00,1.8389e+00,2.3041e+00,3.8273e+00,2.8224e+01,-5.4927e+03
1.3788e-01,-1.5523e+00,1.4629e+00,2.0973e+00,1.9963e+00,2.7977e+00,3.8249e+00,2.8324e+01,-5.5041e+03
6.7276e-02,-1.7420e+00,1.6981e+00,1.6138e+00,1.3951e+00,2.3580e+00,3.9333e+00,2.8484e+01,-5.2319e+03
1.7337e-01,-1.6650e+00,1.7221e+00,1.6126e+00,2.4044e+00,3.8717e+00,2.8793e+00,2.8900e+01,-5.5329e+03
1.7464e-01,-1.0284e+00,1.3678e+00,2.2216e+00,1.5605e+00,2.4107e+00,3.7675e+00,2.8103e+01,-5.4356e+03
1.9537e-01,-1.3817e+00,1.5761e+00,1.6493e+00,2.3947e+00,2.0784e+00,3.8196e+00,2.8183e+01,-5.3225e+03
1.7354e-01,-1.3761e+00,1.5876e+00,2.0952e+00,2.3760e+00,2.3326e+00,3.9643e+00,2.8587e+01,-5.2438e+03
9.1781e-02,-1.2798e+00,1.6889e+00,1.7219e+00,6.2767e-01,3.3556e+00,3.7204e+00,2.8424e+01,-5.4069e+03
1.3851e-01,-1.0573e+00,1.6584e+00,1.5836e+00,2.5436e+00,3.6074e+00,3.2145e+00,2.8464e+01,-5.3020e+03
1.1619e-01,-1.3960e+00,1.7160e+00,7.8944e-01,3.0684e+00,2.9518e+00,3.8306e+00,2.8775e+01,-5.4505e+03
8.5041e-02,-1.3215e+00,1.5324e+00,2.1422e+00,2.3389e+00,1.7765e+00,3.9044e+00,2.8486e+01,-5.2779e+03
1.4541e-01,-1.4946e+00,1.7075e+00,5.8835e-01,9.2721e-01,3.8524e+00,2.5594e+00,2.8737e+01,-5.4906e+03
9.2562e-02,-1.6222e+00,1.7232e+00,8.0688e-01,2.5122e+00,2.0277e+00,3.9336e+00,2.8549e+01,-5.0537e+03
