logfeh,logdust_med,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod,logl
-8.4700e-01,-1.0323e+00,1.6668e+00,2.0041e+00,7.0928e-01,2.1112e+00,3.2864e+00,2.8249e+01,-9.0694e+02
-8.7133e-01,-1.9446e+00,1.6520e+00,1.5737e+00,5.2572e-01,2.4976e+00,3.2553e+00,2.8184e+01,-8.9904e+02
-8.0442e-01,-1.1212e+00,1.7150e+00,2.0649e+00,1.7046e+00,2.4435e+00,3.2812e+00,2.8438e+01,-8.9706e+02
-9.5904e-01,-1.5260e+00,1.7071e+00,1.5859e+00,1.5876e+00,1.6813e+00,3.3947e+00,2.8329e+01,-9.0281e+02
-8.7855e-01,-1.5571e+00,1.6619e+00,1.8250e+00,1.5792e+00,2.3749e+00,3.2791e+00,2.8266e+01,-9.1170e+02
-9.8154e-01,-1.1871e+00,1.6993e+00,1.9631e+00,8.4347e-01,2.4198e+00,3.3652e+00,2.8409e+01,-9.0846e+02
-8.9427e-01,-1.0997e+00,1.6927e+00,1.1874e+00,1.8765e+00,2.5516e+00,3.1548e+00,2.8072e+01,-8.9202e+02
-9.1068e-01,-1.9012e+00,1.7248e+00,1.5166e+00,1.1476e+00,2.3127e+00,3.3619e+00,2.8301e+01,-9.0668e+02
-9.7097e-01,-1.3247e+00,1.6718e+00,1.7097e+00,9.6904e-01,2.1920e+00,3.3168e+00,2.8194e+01,-9.1598e+02
-8.2642e-01,-1.1015e+00,1.6707e+00,2.0448e+00,8.6294e-01,1.7565e+00,3.3253e+00,2.8310e+01,-9.1214e+02
-7.2172e-01,-1.1183e+00,1.7271e+00,1.2669e+00,1.3024e+00,2.8489e+00,3.0306e+00,2.8118e+01,-8.6723e+02
-7.2884e-01,-1.0233e+00,1.7270e+00,1.7161e+00,2.0778e+00,2.6212e+00,3.1367e+00,2.8238e+01,-9.0814e+02
-9.1873e-01,-1.3998e+00,1.7247e+00,1.5870e+00,4.0449e-01,2.5260e+00,3.3100e+00,2.8293e+01,-8.7311e+02
