logfeh_scale,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod,logl
4.7750e-01,-1.8262e+00,-1.2900e+00,-9.8228e-01,1.3074e+00,1.2373e+00,2.8814e+00,2.5066e+01,-1.7940e+03
-1.1623e-01,-8.8891e-01,-2.4540e+00,2.3075e-01,1.6011e+00,1.4375e+00,2.8455e+00,2.5119e+01,-1.7622e+03
-3.8616e-01,-7.7304e-01,-2.5584e+00,1.5573e-01,1.8413e+00,1.1053e+00,2.9661e+00,2.5510e+01,-1.8508e+03
2.7547e-01,-8.6540e-01,-7.4645e-01,-1.2583e+00,1.3666e+00,2.7394e+00,1.3870e+00,2.5125e+01,-1.5855e+03
3.6766e-01,-9.5144e-01,-1.5121e+00,-1.5473e+00,1.5810e+00,2.4120e+00,2.3867e+00,2.4854e+01,-1.2215e+03
-8.7788e-02,-7.3419e-01,-1.9718e-01,3.5784e-01,-7.7073e-01,2.7607e+00,1.9785e+00,2.5214e+01,-1.8091e+03
3.4808e-01,-8.8398e-01,-2.1724e+00,-1.7120e+00,2.0614e+00,1.7688e+00,2.6783e+00,2.5100e+01,-1.6549e+03
4.3464e-01,-1.1066e+00,-7.6438e-01,-6.1217e-01,-9.6551e-01,2.5021e+00,2.4453e+00,2.4883e+01,-1.1797e+03
3.4863e-01,-9.5096e-01,-1.1124e+00,-7.3322e-01,1.0125e+00,2.6378e+00,1.9147e+00,2.4928e+01,-1.5728e+03
1.6209e-01,-8.4431e-01,-1.5181e+00,-1.2680e+00,1.0844e+00,2.6837e+00,1.5313e+00,2.4939e+01,-1.8527e+03
-2.4101e-02,-8.6475e-01,-2.6053e+00,4.6686e-01,1.6387e+00,2.0929e+00,2.7565e+00,2.5152e+01,-1.8628e+03
4.7265e-01,-1.1865e+00,-7.4073e-01,-9.2891e-01,1.6625e+00,1.2318e+00,2.8000e+00,2.4939e+01,-1.3823e+03
2.0168e-01,-9.4968e-01,-2.2254e+00,-1.3971e-01,1.3127e+00,2.5772e+00,2.3787e+00,2.5097e+01,-1.8398e+03
4.5842e-01,-1.3217e+00,-5.8166e-01,-1.0705e+00,1.4264e+00,2.0046e+00,2.8051e+00,2.5060e+01,-1.4719e+03
3.9398e-01,-1.1260e+00,-2.2964e+00,-1.7911e-01,-6.2663e-01,2.5572e+00,2.4794e+00,2.5040e+01,-1.4779e+03
-1.8691e-01,-7.4671e-01,-2.6914e+00,7.8905e-01,1.8183e+00,2.4917e+00,2.8181e+00,2.5625e+01,-1.8600e+03
1.7006e-01,-8.9749e-01,-2.3361e+00,-1.6496e+00,1.1123e+00,2.5406e+00,2.1412e+00,2.4820e+01,-1.8563e+03
1.6709e-01,-7.7705e-01,-1.6346e+00,5.7786e-01,4.6153e-02,2.7275e+00,1.3131e+00,2.4973e+01,-1.8556e+03
2.3948e-01,-9.1439e-01,-2.6716e+00,-3.7702e-01,1.5099e+00,2.5877e+00,2.3051e+00,2.5110e+01,-1.7927e+03
4.9195e-01,-9.9708e-01,-1.5798e+00,2.6701e-01,-1.5995e-01,2.7802e+00,1.7434e+00,2.5189e+01,-1.6437e+03
4.1414e-01,-1.8471e+00,-8.3043e-01,-4.5804e-01,1.2500e+00,7.9992e-01,2.9440e+00,2.5223e+01,-1.7614e+03
3.9720e-01,-1.1955e+00,-1.9168e+00,-6.4475e-01,1.6882e+00,1.3273e+00,2.8010e+00,2.4981e+01,-1.5326e+03
2.5954e-01,-8.8085e-01,-9.7348e-01,-4.3868e-01,9.0372e-01,2.5637e+00,1.7478e+00,2.4669e+01,-1.6758e+03
3.0797e-01,-1.4393e+00,-2.5555e+00,-2.0379e-01,2.1058e-01,1.8097e+00,2.8467e+00,2.4994e+01,-1.8363e+03
3.5864e-01,-9.5654e-01,-2.1472e+00,-6.2156e-01,4.7230e-02,2.5457e+00,1.9455e+00,2.4650e+01,-1.7373e+03
4.3575e-01,-1.4180e+00,-1.3920e+00,-9.8601e-02,1.2072e+00,1.9304e+00,2.8111e+00,2.5038e+01,-1.3638e+03
-1.7287e-01,-7.7670e-01,-1.0328e+00,5.8889e-01,1.9734e+00,1.5975e+00,2.8810e+00,2.5431e+01,-1.7415e+03
2.9296e-01,-1.1064e+00,-6.2955e-01,-2.1246e-01,-5.3411e-01,2.4238e+00,2.6756e+00,2.5057e+01,-1.6984e+03
2.7451e-01,-8.0068e-01,-2.1222e+00,4.2339e-01,8.5203e-01,2.6297e+00,1.1905e+00,2.4735e+01,-1.8566e+03
2.3433e-01,-1.0413e+00,-2.3065e+00,4.3008e-02,-3.5245e-02,2.4451e+00,2.6286e+00,2.5041e+01,-1.5741e+03
3.4208e-01,-1.4392e+00,-2.5596e+00,-1.5982e-01,1.2393e+00,1.8144e+00,2.8331e+00,2.5072e+01,-1.6669e+03
2.4129e-01,-8.1147e-01,-6.9648e-01,3.0980e-01,1.5039e+00,2.6350e+00,1.8951e+00,2.4993e+01,-1.3396e+03
-9.3497e-02,-8.8414e-01,-2.4250e+00,3.6148e-01,1.8852e+00,1.1160e+00,2.9727e+00,2.5520e+01,-1.4679e+03
4.9037e-01,-1.4224e+00,-1.5454e+00,-1.6370e+00,1.3251e+00,1.9427e+00,2.7957e+00,2.4993e+01,-1.3770e+03
-1.3916e-01,-6.8346e-01,-2.5762e+00,7.8517e-01,-5.3022e-01,2.8279e+00,1.1049e+00,2.5287e+01,-1.5735e+03
2.2728e-01,-1.1223e+00,-2.5389e+00,2.7286e-01,1.4306e+00,1.6169e+00,2.8681e+00,2.5087e+01,-1.5369e+03
-7.7992e-02,-8.2039e-01,-8.7907e-01,-3.8265e-01,2.0319e+00,9.4605e-01,2.9069e+00,2.5425e+01,-1.8763e+03
