logfeh,logdust_med,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,logl
4.4476e-02,-1.5704e+00,1.7169e+00,2.5964e+00,1.6020e+00,3.1815e+00,3.7659e+00,-6.1664e+02
2.5360e-02,-1.8203e+00,1.6762e+00,2.6414e+00,5.6263e-01,2.7223e+00,3.8728e+00,-7.1680e+02
8.7869e-02,-1.9511e+00,1.6939e+00,2.6406e+00,1.1509e+00,2.2769e+00,3.9191e+00,-6.2915e+02
3.7385e-02,-1.7600e+00,1.7124e+00,2.5660e+00,2.0269e+00,2.6914e+00,3.8551e+00,-7.3673e+02
6.1275e-02,-1.4878e+00,1.7279e+00,2.5849e+00,1.1170e+00,3.3146e+00,3.7121e+00,-7.1009e+02
1.0573e-01,-1.5296e+00,1.6948e+00,2.6251e+00,2.5715e+00,2.1035e+00,3.8727e+00,-6.8696e+02
9.0300e-03,-1.7960e+00,1.7046e+00,2.4628e+00,2.9755e+00,1.6731e+00,3.7389e+00,-7.1317e+02
-1.1334e-01,-1.4401e+00,1.7213e+00,2.6226e+00,1.4007e+00,1.8066e+00,3.8866e+00,-7.3603e+02
-5.4006e-02,-1.5610e+00,1.6882e+00,2.6304e+00,8.5769e-01,2.6542e+00,3.8577e+00,-7.1497e+02
3.9960e-02,-1.6272e+00,1.7267e+00,2.6299e+00,1.0295e+00,2.9423e+00,3.8322e+00,-6.8286e+02
2.3907e-01,-1.8396e+00,1.7064e+00,2.5835e+00,2.8843e+00,3.2464e+00,3.6508e+00,-6.5510e+02
-9.1078e-03,-1.2371e+00,1.6941e+00,2.6779e+00,1.8983e+00,1.6495e+00,3.9025e+00,-7.1602e+02
7.9405e-02,-1.7484e+00,1.7251e+00,2.5752e+00,2.5722e+00,2.3453e+00,3.8631e+00,-6.0210e+02
1.0939e-01,-1.8047e+00,1.6823e+00,2.5680e+00,2.8426e+00,3.3206e+00,3.4989e+00,-7.2279e+02
2.2583e-01,-1.7491e+00,1.7334e+00,2.6416e+00,2.0623e+00,1.9721e+00,3.9722e+00,-6.7390e+02
5.9570e-02,-1.6243e+00,1.7168e+00,2.5649e+00,1.8190e+00,3.3669e+00,3.6934e+00,-6.7401e+02
1.5975e-01,-1.8529e+00,1.6969e+00,2.6567e+00,2.0684e+00,2.9193e+00,3.8702e+00,-7.2759e+02
-3.2539e-02,-1.9474e+00,1.6594e+00,2.6490e+00,7.3578e-01,2.1160e+00,3.9036e+00,-6.9970e+02
4.9387e-02,-1.3510e+00,1.7320e+00,2.5810e+00,2.5381e+00,2.3486e+00,3.8441e+00,-6.3251e+02
6.7853e-02,-1.4424e+00,1.6645e+00,2.6752e+00,1.1353e+00,2.0981e+00,3.9182e+00,-7.1289e+02
2.0325e-01,-1.4808e+00,1.7025e+00,2.6488e+00,7.5051e-01,3.6019e+00,3.5073e+00,-6.9285e+02
1.2152e-01,-1.5803e+00,1.7016e+00,2.6662e+00,8.4624e-01,2.8879e+00,3.8591e+00,-7.0556e+02
1.9955e-01,-1.8397e+00,1.6844e+00,2.6275e+00,2.6597e+00,1.6717e+00,3.8884e+00,-6.2364e+02
1.2191e-01,-1.4962e+00,1.7276e+00,2.6089e+00,2.6521e+00,3.4105e+00,3.5210e+00,-7.3823e+02
2.1420e-01,-1.5682e+00,1.7180e+00,2.6310e+00,2.1097e+00,3.4546e+00,3.6599e+00,-6.3483e+02
1.6060e-01,-1.4547e+00,1.6924e+00,2.6572e+00,2.1410e+00,3.6118e+00,3.2655e+00,-7.1979e+02
6.3611e-03,-1.3321e+00,1.6679e+00,2.6416e+00,6.2653e-01,3.3279e+00,3.6830e+00,-7.3354e+02
-4.3024e-02,-1.4470e+00,1.7332e+00,2.5644e+00,1.4487e+00,3.1368e+00,3.7838e+00,-7.1101e+02
-1.4377e-02,-1.3622e+00,1.7192e+00,2.6404e+00,1.2673e+00,3.0050e+00,3.8041e+00,-7.1105e+02
