logfeh,logdust_med,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod,logl
-4.8154e-02,-1.3877e+00,1.5870e+00,2.1117e+00,5.2484e-01,1.9744e+00,3.5607e+00,2.8711e+01,-7.4808e+02
6.0964e-02,-1.5428e+00,1.3693e+00,2.0595e+00,1.8032e+00,1.8147e+00,3.4192e+00,2.8408e+01,-7.7316e+02
1.3951e-01,-1.9970e+00,1.5535e+00,2.3228e+00,3.1019e+00,2.1661e+00,3.2934e+00,2.9278e+01,-8.2978e+02
1.2548e-01,-1.5985e+00,1.4489e+00,2.0594e+00,1.4865e+00,2.8219e+00,3.3777e+00,2.8532e+01,-7.2182e+02
2.0342e-01,-1.5860e+00,1.3920e+00,2.5034e+00,6.6581e-01,1.9365e+00,3.6697e+00,2.8994e+01,-5.9876e+02
-1.4382e-01,-1.0147e+00,1.6937e+00,2.2994e+00,7.9401e-01,2.6223e+00,3.6486e+00,2.9152e+01,-7.7994e+02
9.5431e-02,-1.3121e+00,1.5560e+00,1.9400e+00,2.7143e+00,2.2278e+00,3.3253e+00,2.8724e+01,-8.4377e+02
-1.5403e-01,-1.3397e+00,1.7205e+00,2.1449e+00,1.0877e+00,2.0876e+00,3.6816e+00,2.9081e+01,-7.2495e+02
2.3736e-02,-1.3670e+00,1.6471e+00,2.3959e+00,8.6918e-01,3.4770e+00,3.0385e+00,2.9254e+01,-7.1975e+02
-5.1627e-03,-1.5626e+00,1.7305e+00,1.9299e+00,3.2860e+00,2.8131e+00,2.5089e+00,2.9479e+01,-7.9014e+02
2.2021e-01,-1.2050e+00,1.0744e+00,2.3407e+00,2.5116e+00,2.1829e+00,3.3661e+00,2.8590e+01,-8.8607e+02
1.3154e-01,-1.7597e+00,1.6826e+00,2.2197e+00,1.3629e+00,3.3491e+00,3.1987e+00,2.9045e+01,-8.2003e+02
6.5266e-02,-1.7903e+00,1.4629e+00,2.5528e+00,1.5773e+00,3.4973e+00,3.2300e+00,2.9409e+01,-9.1642e+02
2.3007e-01,-1.9030e+00,1.5052e+00,2.2491e+00,2.6103e+00,3.1543e+00,3.2857e+00,2.8979e+01,-6.2241e+02
2.1116e-01,-1.1498e+00,1.6218e+00,3.2547e-01,2.8350e+00,2.2595e+00,3.1897e+00,2.8514e+01,-9.4678e+02
6.6266e-03,-1.9932e+00,1.7192e+00,2.4164e+00,2.4209e+00,3.3621e+00,3.4401e+00,2.9456e+01,-8.7229e+02
1.8998e-01,-1.8803e+00,1.2167e+00,2.5456e+00,1.1745e+00,2.8820e+00,3.6378e+00,2.9153e+01,-9.5485e+02
6.9813e-02,-1.4833e+00,1.4461e+00,2.5937e+00,1.3058e+00,2.1545e+00,3.7736e+00,2.9342e+01,-7.7409e+02
-9.7555e-01,-1.3652e+00,1.6768e+00,1.6043e+00,1.4596e+00,2.9826e+00,3.5809e+00,2.9225e+01,-8.7812e+02
-1.2784e-02,-1.4730e+00,1.6535e+00,2.4396e+00,1.1005e+00,2.9307e+00,3.6706e+00,2.9317e+01,-5.8951e+02
2.3059e-01,-1.1434e+00,1.6755e+00,2.1968e+00,2.4161e+00,3.2321e+00,3.3696e+00,2.9003e+01,-6.1243e+02
1.8302e-01,-1.8486e+00,1.5957e+00,1.9498e+00,7.0771e-01,3.3461e+00,2.7927e+00,2.8709e+01,-7.7568e+02
1.7983e-01,-1.9853e+00,1.6599e+00,2.1567e+00,2.5638e+00,3.4380e+00,2.6167e+00,2.9096e+01,-6.9800e+02
1.2647e-01,-1.8782e+00,1.7307e+00,1.9123e+00,3.0480e+00,2.7627e+00,3.2538e+00,2.9210e+01,-7.0853e+02
1.9037e-02,-1.5514e+00,1.7136e+00,2.2757e+00,9.7122e-01,1.7776e+00,3.7722e+00,2.9230e+01,-5.1014e+02
1.4495e-01,-1.8439e+00,1.5078e+00,2.2700e+00,1.4876e+00,3.3616e+00,3.1224e+00,2.9012e+01,-6.5010e+02
1.0632e-01,-1.4286e+00,1.3493e+00,2.3449e+00,2.8302e+00,3.0893e+00,2.6561e+00,2.8972e+01,-9.3970e+02
2.0823e-01,-1.6487e+00,1.2507e+00,2.4086e+00,3.0517e+00,2.2465e+00,3.2557e+00,2.9118e+01,-9.3393e+02
8.2070e-02,-1.2069e+00,1.7147e+00,2.5548e+00,1.4636e+00,3.4726e+00,3.5132e+00,2.9534e+01,-7.9530e+02
4.2255e-03,-1.5925e+00,1.5483e+00,2.3273e+00,1.1854e+00,3.2342e+00,3.4670e+00,2.9192e+01,-7.9655e+02
-1.6245e-02,-1.5962e+00,1.6811e+00,1.9022e+00,5.9561e-01,3.4580e+00,2.8536e+00,2.9007e+01,-7.4604e+02
4.7720e-02,-1.3437e+00,1.6406e+00,2.0386e+00,1.3589e+00,3.4378e+00,2.6358e+00,2.8932e+01,-7.8699e+02
