logfeh,logdust,logNpix,logage,logl
-4.0582e-02,-1.9696e+00,4.6506e+00,1.0055e+01,-1.8696e+03
1.3765e-01,-1.2604e+00,4.5751e+00,9.8353e+00,-1.3781e+03
-9.9586e-02,-1.7452e+00,4.7245e+00,1.0178e+01,-1.4063e+03
-4.1716e-02,-1.4204e+00,4.5957e+00,9.9627e+00,-2.1780e+03
-1.1087e-01,-1.6258e+00,4.6608e+00,1.0124e+01,-1.6906e+03
1.9476e-01,-1.8954e+00,4.6799e+00,1.0013e+01,-1.6540e+03
-1.5519e-02,-1.6184e+00,4.6203e+00,1.0009e+01,-2.5649e+03
3.8120e-01,-1.5445e+00,4.5522e+00,9.7501e+00,-2.6679e+03
-8.5794e-02,-1.0424e+00,4.5384e+00,9.8601e+00,-1.1214e+03
1.7922e-01,-1.8015e+00,4.6699e+00,9.9819e+00,-2.7980e+03
1.3462e-01,-1.2926e+00,4.6157e+00,9.8943e+00,-2.1242e+03
-6.0237e-02,-1.4600e+00,4.6124e+00,9.9866e+00,-2.4963e+03
1.4871e-01,-1.8323e+00,4.6972e+00,1.0062e+01,-2.6368e+03
1.8909e-01,-1.4955e+00,4.5708e+00,9.8501e+00,-2.6944e+03
4.5019e-01,-1.8182e+00,4.6285e+00,9.7913e+00,-2.8272e+03
1.9798e-01,-1.7563e+00,4.6293e+00,9.9436e+00,-1.8675e+03
3.4601e-01,-1.3440e+00,4.5941e+00,9.7824e+00,-2.3302e+03
1.9524e-01,-1.2545e+00,4.5198e+00,9.7720e+00,-2.6175e+03
1.3885e-01,-1.5027e+00,4.6321e+00,9.9647e+00,-1.5610e+03
3.3173e-01,-1.0358e+00,4.4422e+00,9.5622e+00,-1.6838e+03
1.3106e-01,-1.0917e+00,4.4844e+00,9.7160e+00,-1.7211e+03
-1.6099e-01,-1.0884e+00,4.6302e+00,9.9967e+00,-1.0507e+03
-4.0149e-02,-1.6437e+00,4.6230e+00,1.0005e+01,-2.3704e+03
1.7998e-01,-1.7925e+00,4.6269e+00,9.9584e+00,-1.4641e+03
-2.4513e-01,-1.0640e+00,4.6081e+00,1.0005e+01,-2.2667e+03
2.4003e-01,-1.4675e+00,4.6276e+00,9.9038e+00,-2.1078e+03
4.9794e-01,-1.7910e+00,4.5854e+00,9.7573e+00,-2.5641e+03
2.1099e-01,-1.9779e+00,4.6079e+00,9.8799e+00,-2.8047e+03
4.5182e-01,-1.4411e+00,4.5682e+00,9.6915e+00,-2.4065e+03
-5.7938e-02,-1.8660e+00,4.7045e+00,1.0142e+01,-8.4552e+02
9.6916e-02,-1.8180e+00,4.6416e+00,1.0024e+01,-2.5654e+03
4.9782e-01,-1.5022e+00,4.5668e+00,9.6856e+00,-2.7007e+03
-1.7179e-01,-1.7698e+00,4.6699e+00,1.0141e+01,-2.0609e+03
-2.1839e-01,-1.0567e+00,4.6706e+00,1.0113e+01,-8.6339e+02
3.3549e-03,-1.7019e+00,4.7280e+00,1.0170e+01,-2.6634e+03
-1.0427e-01,-1.6800e+00,4.6967e+00,1.0169e+01,-6.8590e+02
2.3597e-01,-1.8670e+00,4.6979e+00,9.9909e+00,-2.5747e+03
2.7015e-01,-1.4077e+00,4.6339e+00,9.9096e+00,-2.1415e+03
1.3533e-01,-1.4316e+00,4.6252e+00,9.9601e+00,-2.5920e+03
-2.8650e-01,-1.0885e+00,4.6325e+00,1.0025e+01,-5.4338e+02
-8.6922e-03,-1.0377e+00,4.5650e+00,9.8573e+00,-1.6891e+03
-1.0572e-01,-1.7886e+00,4.7185e+00,1.0180e+01,-1.3873e+03
-3.2581e-01,-1.1366e+00,4.6938e+00,1.0145e+01,-2.5955e+03
1.7926e-01,-1.6999e+00,4.5965e+00,9.9196e+00,-2.4867e+03
4.6215e-02,-1.3552e+00,4.6373e+00,9.9814e+00,-1.2627e+03
