logfeh,logdust_med,logNpix,tau,dmod,logl
2.4922e-01,-1.9863e+00,3.7274e+00,9.9678e+00,2.8162e+01,-6.3151e+03
2.2676e-01,-1.9516e+00,3.7282e+00,9.9932e+00,2.8171e+01,-6.3143e+03
2.2971e-01,-1.9827e+00,3.7263e+00,9.9928e+00,2.8169e+01,-6.3162e+03
2.1217e-01,-1.9987e+00,3.7262e+00,9.9916e+00,2.8163e+01,-6.3024e+03
2.4018e-01,-1.9599e+00,3.7268e+00,9.9747e+00,2.8162e+01,-6.3145e+03
2.4537e-01,-1.9544e+00,3.7262e+00,9.9925e+00,2.8167e+01,-6.3065e+03
2.4700e-01,-1.9429e+00,3.7294e+00,9.9726e+00,2.8172e+01,-6.3135e+03
2.3424e-01,-1.9119e+00,3.7263e+00,9.9995e+00,2.8163e+01,-6.3114e+03
2.0541e-01,-1.8553e+00,3.7259e+00,9.9941e+00,2.8164e+01,-6.3121e+03
2.3815e-01,-1.9917e+00,3.7285e+00,9.9362e+00,2.8169e+01,-6.3159e+03
2.4418e-01,-1.9917e+00,3.7256e+00,9.9704e+00,2.8159e+01,-6.3092e+03
2.0444e-01,-1.9804e+00,3.7262e+00,9.9868e+00,2.8161e+01,-6.3054e+03
2.0456e-01,-1.9982e+00,3.7288e+00,9.9999e+00,2.8166e+01,-6.3096e+03
2.4194e-01,-1.9114e+00,3.7264e+00,9.9961e+00,2.8164e+01,-6.3085e+03
2.2106e-01,-1.8930e+00,3.7261e+00,9.9974e+00,2.8161e+01,-6.3035e+03
2.1817e-01,-1.9499e+00,3.7263e+00,9.9884e+00,2.8166e+01,-6.3073e+03
2.4493e-01,-1.9155e+00,3.7260e+00,9.9958e+00,2.8166e+01,-6.3080e+03
2.1756e-01,-1.9988e+00,3.7274e+00,9.9737e+00,2.8170e+01,-6.3145e+03
2.0903e-01,-1.9731e+00,3.7266e+00,9.9845e+00,2.8159e+01,-6.3042e+03
2.2078e-01,-1.9924e+00,3.7268e+00,9.9991e+00,2.8164e+01,-6.3089e+03
2.4104e-01,-1.9675e+00,3.7284e+00,9.9960e+00,2.8169e+01,-6.3111e+03
2.4581e-01,-1.9502e+00,3.7260e+00,9.9911e+00,2.8166e+01,-6.2941e+03
2.0201e-01,-1.9790e+00,3.7286e+00,9.9841e+00,2.8169e+01,-6.3118e+03
