logfeh_scale,logdust_med,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod,logl
-7.2338e-01,-1.9348e+00,1.7835e+00,1.9355e+00,2.1522e+00,2.4134e+00,4.1498e+00,3.0680e+01,-1.5995e+03
3.0289e-01,-1.5059e+00,1.8320e+00,2.4976e+00,3.2818e+00,1.7047e+00,3.9182e+00,3.0555e+01,-1.4104e+03
-1.5264e-01,-7.1139e-01,2.0052e+00,2.4305e+00,1.6788e+00,4.0390e+00,2.7266e+00,3.0770e+01,-1.5063e+03
4.7449e-01,-9.5517e-01,2.3034e+00,6.3751e-01,2.9016e+00,3.9965e+00,3.5982e+00,3.0911e+01,-1.6318e+03
-7.0539e-01,-1.3671e+00,5.5627e-01,1.9660e+00,1.3596e+00,1.9768e+00,3.5082e+00,2.9076e+01,-1.7002e+03
-9.9005e-02,-1.5662e+00,7.3115e-01,2.2153e+00,7.1217e-01,2.6793e+00,3.5175e+00,2.9188e+01,-1.5535e+03
-9.9724e-01,-5.3846e-01,1.3379e+00,5.9778e-01,9.7618e-01,3.4627e+00,1.9456e+00,2.9188e+01,-2.0118e+03
4.1309e-02,-1.6428e+00,1.4549e+00,2.2427e+00,2.0629e+00,2.7304e+00,3.7684e+00,2.9772e+01,-6.0908e+02
-1.9542e-01,-1.3006e+00,2.2834e+00,1.9955e+00,2.1355e+00,3.0933e+00,4.3856e+00,3.1205e+01,-1.9111e+03
-5.2489e-01,-5.7113e-01,2.1183e+00,2.2104e+00,3.7334e+00,2.7373e+00,2.7356e+00,3.1026e+01,-1.6235e+03
-4.6347e-01,-6.1521e-01,2.3714e+00,1.3082e+00,2.6225e+00,4.1117e+00,3.6772e+00,3.1279e+01,-1.6846e+03
1.4245e-01,-1.9144e+00,8.2303e-01,2.2119e+00,6.2012e-01,3.4726e+00,2.7366e+00,2.9376e+01,-1.7556e+03
-6.3316e-01,-1.4207e+00,6.4685e-01,2.2074e+00,7.8591e-01,2.7919e+00,3.6033e+00,2.9559e+01,-1.3718e+03
2.4759e-01,-1.2272e+00,2.2945e+00,5.7913e-01,3.9049e+00,3.0863e+00,1.9840e+00,3.1411e+01,-1.4482e+03
-7.7031e-01,-1.2758e+00,1.9063e+00,2.2611e+00,1.0358e+00,3.6455e+00,3.9870e+00,3.0888e+01,-2.0054e+03
-2.8983e-01,-1.0030e+00,1.7626e+00,8.6972e-02,3.5031e+00,2.3904e+00,2.3100e+00,3.0433e+01,-1.2699e+03
