logfeh,logdust_med,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,logl
-2.3684e-01,-1.9657e+00,1.4355e+00,2.0972e+00,1.3505e+00,3.4191e+00,3.2651e+00,-7.5275e+02
1.8209e-01,-1.2683e+00,1.4896e+00,2.0060e+00,3.2578e+00,2.8179e+00,2.8374e+00,-7.5443e+02
-4.6682e-01,-1.6661e+00,1.4963e+00,1.8804e+00,2.6746e+00,2.1776e+00,3.6218e+00,-9.0378e+02
5.8731e-02,-1.7333e+00,1.5300e+00,1.5525e+00,3.1073e+00,3.1744e+00,2.9868e+00,-8.9626e+02
-3.0879e-01,-1.1981e+00,1.4417e+00,2.3085e+00,9.2899e-01,3.2097e+00,3.4750e+00,-8.5826e+02
-2.5233e-01,-1.3944e+00,1.3417e+00,2.3724e+00,1.3795e+00,2.9046e+00,3.6385e+00,-9.9631e+02
-1.8501e-01,-1.9299e+00,1.3605e+00,2.2011e+00,1.8062e+00,3.4962e+00,2.9463e+00,-8.2489e+02
9.2922e-02,-1.1588e+00,1.5016e+00,1.8479e+00,3.2375e+00,2.6591e+00,2.9167e+00,-8.7036e+02
-8.9806e-01,-1.7096e+00,1.5047e+00,9.3135e-02,2.3901e+00,2.4074e+00,3.6867e+00,-1.0057e+03
1.8136e-01,-1.8017e+00,1.4014e+00,2.3402e+00,2.6141e+00,2.9137e+00,3.6744e+00,-7.9694e+02
-4.2951e-01,-1.5095e+00,1.4655e+00,2.0963e+00,1.7233e+00,2.8315e+00,3.6555e+00,-9.1227e+02
-5.9633e-01,-1.5567e+00,1.5590e+00,1.9244e+00,5.7487e-01,2.9580e+00,3.6240e+00,-8.8745e+02
-1.0682e-01,-1.7159e+00,1.1089e+00,2.4600e+00,8.4351e-01,2.3274e+00,3.7457e+00,-7.5373e+02
-5.9897e-01,-1.2732e+00,1.5773e+00,1.8032e+00,1.3308e+00,3.3033e+00,3.4218e+00,-8.6287e+02
-5.2285e-01,-1.5461e+00,1.5754e+00,-6.4314e-02,2.4699e+00,3.4282e+00,3.0111e+00,-9.5809e+02
8.0269e-02,-1.0536e+00,1.5629e+00,1.8993e+00,3.1898e+00,2.9851e+00,2.9849e+00,-7.7804e+02
-4.7595e-01,-1.7149e+00,1.4996e+00,2.0733e+00,9.7054e-01,2.2712e+00,3.7215e+00,-7.9825e+02
-1.0522e-01,-1.9266e+00,1.2180e+00,2.3400e+00,1.2693e+00,3.4438e+00,3.2342e+00,-7.9810e+02
-2.4459e-01,-1.3274e+00,1.3468e+00,2.3790e+00,1.2706e+00,2.5469e+00,3.6967e+00,-6.1697e+02
-1.3605e-01,-1.7097e+00,1.4763e+00,2.3053e+00,2.0387e+00,1.9710e+00,3.7154e+00,-9.4973e+02
-2.0770e-01,-1.4929e+00,1.1777e+00,2.4370e+00,7.0696e-01,2.0816e+00,3.7139e+00,-9.1854e+02
