logfeh,logdust_med,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod,logl
-1.4349e-01,-1.1010e+00,1.3643e+00,2.2328e+00,2.7077e+00,3.6005e+00,3.6778e+00,3.0213e+01,-9.1595e+02
-6.8882e-01,-1.8150e+00,1.2077e+00,1.2610e+00,9.7651e-01,1.7947e+00,3.8455e+00,2.9648e+01,-1.4614e+03
5.0069e-02,-1.0951e+00,8.8429e-01,2.0025e+00,1.6610e+00,3.3274e+00,3.2293e+00,2.9051e+01,-1.3014e+03
-3.8254e-01,-1.9710e+00,1.3899e+00,2.6416e-01,2.6621e+00,3.9530e+00,3.2744e+00,3.0602e+01,-1.5630e+03
-3.7604e-01,-1.7741e+00,1.1165e+00,1.5750e+00,4.2288e-01,3.8554e+00,3.3006e+00,3.0269e+01,-1.5886e+03
-1.4556e-01,-1.0823e+00,-1.2053e+00,2.1213e+00,1.6655e+00,3.4051e+00,3.2590e+00,2.9320e+01,-1.0561e+03
-3.2776e-01,-1.5021e+00,1.2110e+00,9.4998e-01,5.4090e-01,3.5805e+00,3.1869e+00,2.9641e+01,-1.6424e+03
1.1583e-01,-1.4361e+00,6.4473e-01,2.2799e+00,1.9935e+00,3.1307e+00,3.6438e+00,2.9406e+01,-1.2161e+03
-2.7054e-01,-1.6895e+00,9.0960e-01,2.1351e+00,9.8343e-01,3.5541e+00,3.7495e+00,3.0074e+01,-1.2672e+03
-9.0580e-02,-1.6572e+00,-1.1229e+00,2.1131e+00,1.1635e+00,1.7442e+00,3.7373e+00,2.9214e+01,-7.6171e+02
2.4862e-01,-1.5592e+00,-8.0171e-01,2.3521e+00,1.1278e+00,3.2353e+00,3.6331e+00,2.9412e+01,-1.1957e+03
-5.6799e-02,-1.9658e+00,1.0219e+00,1.8954e+00,2.0857e+00,3.6025e+00,3.1633e+00,2.9590e+01,-1.5773e+03
-3.0211e-01,-1.3284e+00,1.1463e+00,1.4087e+00,1.7821e+00,3.7050e+00,2.7497e+00,2.9767e+01,-1.1841e+03
-6.0336e-01,-1.6034e+00,1.1127e+00,1.8569e+00,2.2656e+00,1.9324e+00,3.9506e+00,3.0000e+01,-1.0064e+03
-3.7377e-01,-1.7537e+00,7.3181e-01,1.6202e+00,1.2615e+00,3.5209e+00,3.0468e+00,2.9491e+01,-1.5758e+03
1.6857e-01,-1.5078e+00,9.4017e-01,2.0436e+00,2.3272e+00,3.4346e+00,3.3238e+00,2.9396e+01,-1.4298e+03
-5.3613e-01,-1.6398e+00,1.4630e+00,9.7415e-01,1.0555e+00,3.2622e+00,3.9333e+00,3.0132e+01,-1.1459e+03
-1.8278e-01,-1.8032e+00,-1.2059e-01,2.0580e+00,1.8922e+00,2.6352e+00,3.7101e+00,2.9353e+01,-1.4319e+03
-2.7870e-01,-1.3564e+00,1.3192e-01,2.2362e+00,4.5459e-01,3.2902e+00,3.6525e+00,2.9703e+01,-1.3079e+03
-1.7348e-02,-1.8583e+00,5.9467e-01,1.9750e+00,1.3151e+00,3.0369e+00,3.6368e+00,2.9244e+01,-1.4823e+03
-6.3825e-01,-1.2775e+00,9.8890e-01,2.7745e-01,8.0971e-01,3.3034e+00,3.5234e+00,2.9495e+01,-1.3664e+03
-3.7604e-01,-1.1304e+00,9.2118e-01,2.0674e+00,6.9701e-01,2.6438e+00,3.8066e+00,2.9594e+01,-1.0051e+03
-6.2751e-01,-1.6649e+00,8.8339e-01,1.8402e+00,1.5134e+00,3.2173e+00,3.9222e+00,3.0126e+01,-1.4217e+03
-3.7991e-01,-1.0107e+00,-6.0493e-01,2.2515e+00,9.4498e-01,2.5908e+00,3.7489e+00,2.9515e+01,-1.1240e+03
-4.9580e-01,-1.7183e+00,1.2969e+00,1.0151e+00,5.9530e-01,3.0373e+00,3.7513e+00,2.9618e+01,-1.4056e+03
-1.2487e-02,-1.4149e+00,1.2196e+00,2.0209e+00,1.4388e+00,3.5015e+00,3.6810e+00,2.9741e+01,-1.5553e+03
-5.2234e-01,-1.2761e+00,3.2774e-01,1.7927e+00,8.6295e-01,3.2136e+00,3.5223e+00,2.9382e+01,-1.5266e+03
-2.3374e-01,-1.1879e+00,8.0532e-01,2.3763e+00,1.7437e+00,3.4367e+00,3.7713e+00,3.0049e+01,-1.0167e+03
1.6331e-01,-1.8192e+00,-3.0970e-01,2.0804e+00,7.6816e-01,2.4217e+00,3.5840e+00,2.8826e+01,-5.5603e+02
-8.1044e-01,-1.2555e+00,9.5121e-01,9.5844e-01,7.1191e-01,3.0476e+00,3.7812e+00,2.9697e+01,-1.6612e+03
1.0081e-01,-1.2014e+00,1.0530e+00,1.7943e+00,3.2368e+00,3.4256e+00,2.4394e+00,2.9760e+01,-1.2164e+03
6.4945e-02,-1.3384e+00,3.8884e-01,1.4481e+00,3.0019e+00,2.5493e+00,3.1374e+00,2.9047e+01,-1.5565e+03
-5.3494e-01,-1.9550e+00,1.4617e+00,-1.5668e-01,1.4786e+00,2.4302e+00,4.0319e+00,3.0078e+01,-1.6387e+03
-2.8521e-01,-1.9827e+00,1.0519e+00,1.6355e+00,1.9550e+00,3.7589e+00,2.9314e+00,2.9973e+01,-1.3192e+03
-3.1071e-01,-1.2157e+00,6.8990e-01,2.3011e+00,1.8041e+00,2.7032e+00,3.9582e+00,2.9994e+01,-1.5260e+03
-4.4052e-01,-1.5055e+00,9.6996e-01,2.0975e+00,2.7197e+00,3.5872e+00,3.7835e+00,3.0386e+01,-1.4506e+03
-1.9493e-01,-1.2114e+00,1.5143e+00,2.0951e+00,1.6824e+00,1.6561e+00,3.9866e+00,2.9905e+01,-1.5197e+03
-6.9123e-01,-1.9357e+00,1.0088e+00,1.6856e+00,9.9747e-01,2.0156e+00,3.9029e+00,2.9853e+01,-1.2845e+03
-2.3448e-03,-1.7129e+00,7.3159e-01,1.8497e+00,3.0768e+00,2.6204e+00,3.5749e+00,2.9588e+01,-1.2285e+03
-8.3240e-01,-1.4087e+00,1.0755e+00,3.1669e-01,1.5340e+00,2.3378e+00,3.8469e+00,2.9698e+01,-1.2304e+03
-1.4144e-01,-1.1963e+00,4.1277e-02,2.1519e+00,7.4252e-01,2.6385e+00,3.7521e+00,2.9383e+01,-1.5752e+03
-4.9833e-01,-1.1078e+00,1.7326e+00,1.4411e-01,1.2295e+00,3.6611e+00,3.9949e+00,3.0570e+01,-1.4724e+03
-7.9183e-01,-1.5478e+00,1.4369e+00,-5.1533e-02,1.3233e+00,2.1860e+00,4.0172e+00,3.0106e+01,-1.5585e+03
-3.0569e-01,-1.5525e+00,-4.2266e-01,2.0120e+00,8.5643e-01,3.5134e+00,3.3423e+00,2.9621e+01,-1.2630e+03
-2.6660e-01,-1.9816e+00,-1.7854e-01,1.9660e+00,1.7236e+00,3.5483e+00,3.1949e+00,2.9624e+01,-1.3793e+03
-7.8135e-01,-1.1413e+00,1.1190e+00,-7.8592e-02,2.2687e+00,2.4064e+00,3.8744e+00,2.9777e+01,-1.4584e+03
1.5906e-02,-1.4511e+00,1.1960e+00,2.0860e+00,9.0390e-01,3.7939e+00,3.2438e+00,2.9957e+01,-1.1713e+03
-7.8421e-01,-1.7308e+00,1.2129e+00,-5.8663e-03,7.6511e-01,2.1249e+00,3.8806e+00,2.9731e+01,-1.5734e+03
2.2770e-01,-1.7478e+00,-1.6506e-01,1.9969e+00,2.9721e+00,3.3705e+00,2.5612e+00,2.9356e+01,-1.0054e+03
