,NGC4993,NGC3377,M49,M87
148,128.61041642460972,809.4338817317833,910.5569012252488,1107.9225180992196
149,111.61415834601601,773.5011031827423,860.3304678150545,1089.2068819884785
150,79.66691120116917,786.5577077413774,864.2912207797982,1087.4658796390497
151,87.52911125862745,789.5751682839999,859.8267941322631,1105.7524459625815
152,291.8922494348304,788.9366164983148,882.5221442877983,1084.287745373781
153,127.3239304779822,752.4996226881174,841.0473332867288,1054.0514031689167
154,77.20110493909944,761.2475552176867,837.7157259869684,1063.760497640826
155,60.80604538886599,768.2756262335641,841.4689018265431,1069.7143602198719
156,,766.9898148809349,843.472824989381,1053.5878195584
157,,733.7643275304148,818.2548428415761,1026.3541925710058
158,,739.2248046992092,801.9564338383224,1032.4739385983767
159,,737.957618166885,818.8430318205632,1040.2968969955825
160,,741.2888311122597,810.8456140424537,1019.2444050538785
161,,713.1246868381439,789.7375145549723,999.1054773296976
162,,715.8763598812499,768.9584035464804,998.7282038153039
163,,710.4590160470345,789.8063463387454,1011.6843521958521
164,,717.673264767211,796.879706203109,990.7268327544597
165,,678.6786104010853,742.0749552293863,966.8214614003161
166,,676.2265616958913,754.4560692339954,970.4556159761222
167,,673.5297919980543,747.75856426755,978.8069915549745
168,,695.651959251799,769.6744505957407,966.3681538381087
169,,661.2729943036172,719.8360556316848,927.0965086454331
170,,652.9090108714499,729.3877970283132,947.7137077041301
171,,658.0991555248081,723.6344286873733,937.4247216230596
172,,663.697587332319,746.1264466754067,933.034577833297
173,,632.7004353568507,698.850055805207,906.415208511425
174,,617.779260497333,709.4906998507331,916.4436450753935
175,,626.0389494062671,699.0585144926063,919.6750860761077
176,,627.7151526993397,718.6705969432459,901.238115765511
177,,588.7335209480261,685.3570218214489,878.9974033263225
178,,580.5387761872855,684.154261879096,886.720492465075
179,,582.1934103186048,685.6382463241775,893.7163363939445
180,,597.6765404689077,699.407928983644,873.4717733490014
181,,558.8235755213541,660.9135528813271,847.5443915427293
182,,550.7735655804101,663.300083135988,859.0136482561517
