logfeh,logdust_med,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod,logl
1.9285e-01,-5.8230e-01,2.3781e+00,1.2318e+00,3.6383e+00,3.5423e+00,1.9842e+00,3.0313e+01,-3.8328e+02
2.3658e-01,-5.5251e-01,2.5230e+00,1.0647e+00,1.2137e+00,4.2025e+00,1.9156e+00,3.0508e+01,-3.7981e+02
2.3888e-01,-6.3946e-01,2.4766e+00,1.0431e+00,3.3282e+00,3.5875e+00,4.0755e+00,3.0495e+01,-3.9304e+02
1.9137e-01,-5.2999e-01,2.5756e+00,1.7736e+00,1.0742e+00,4.1157e+00,3.7719e+00,3.0610e+01,-3.8724e+02
1.0741e-01,-7.0305e-01,2.6835e+00,1.2649e+00,1.4735e+00,2.3433e+00,4.5230e+00,3.0961e+01,-3.9609e+02
1.8707e-01,-5.9667e-01,2.6327e+00,2.2068e+00,1.6869e+00,1.6815e+00,4.4743e+00,3.0781e+01,-3.9609e+02
1.8518e-01,-8.3227e-01,2.4536e+00,8.0285e-01,2.7784e+00,3.2362e+00,4.2511e+00,3.0445e+01,-3.8764e+02
1.8056e-01,-6.9348e-01,2.5574e+00,7.9149e-01,2.0134e+00,4.2186e+00,3.1202e+00,3.0706e+01,-3.7652e+02
1.1015e-01,-1.1232e+00,2.4495e+00,7.4441e-01,2.2833e+00,3.0136e+00,4.3128e+00,3.0543e+01,-3.9010e+02
1.5595e-01,-7.5312e-01,2.4714e+00,1.9349e+00,1.5826e+00,3.9259e+00,3.9449e+00,3.0499e+01,-3.7798e+02
1.6710e-01,-8.1009e-01,2.5773e+00,7.6957e-01,5.1349e-01,2.6449e+00,4.4415e+00,3.0717e+01,-3.8407e+02
2.4829e-01,-5.4358e-01,2.5896e+00,6.6132e-01,2.5248e+00,4.2295e+00,2.6773e+00,3.0648e+01,-3.7845e+02
1.4771e-01,-7.1074e-01,2.6269e+00,1.2800e-01,2.2192e+00,4.2835e+00,3.2235e+00,3.0914e+01,-3.9549e+02
1.5317e-01,-1.0774e+00,2.1112e+00,2.4059e+00,1.9643e+00,3.0245e+00,4.0128e+00,2.9896e+01,-3.8307e+02
1.9765e-01,-6.7571e-01,2.7473e+00,1.3524e-01,8.6621e-01,2.1173e+00,4.6178e+00,3.1097e+01,-3.9152e+02
1.8644e-01,-6.7322e-01,2.3117e+00,1.9920e+00,2.8549e+00,3.9073e+00,2.7918e+00,3.0099e+01,-3.9319e+02
1.6771e-01,-6.7643e-01,2.7632e+00,-3.5521e-02,1.3008e+00,2.1401e+00,4.6158e+00,3.1133e+01,-3.9637e+02
2.1296e-01,-6.3681e-01,2.7046e+00,1.6364e+00,2.6090e+00,1.7986e+00,4.5696e+00,3.0972e+01,-3.9887e+02
1.1872e-01,-1.4071e+00,2.3356e+00,1.1529e+00,1.8648e+00,4.0559e+00,3.3050e+00,3.0435e+01,-3.9984e+02
