logfeh,logdust_med,logNpix,tau,dmod,logl
3.0433e-01,-1.9380e+00,3.8022e+00,9.9783e+00,2.8334e+01,-6.2047e+03
3.0647e-01,-1.9897e+00,3.8090e+00,9.9844e+00,2.8354e+01,-6.2321e+03
3.0520e-01,-1.9443e+00,3.8081e+00,9.9725e+00,2.8344e+01,-6.2595e+03
3.0807e-01,-1.9698e+00,3.8058e+00,9.9517e+00,2.8344e+01,-6.2620e+03
3.0466e-01,-1.9979e+00,3.8013e+00,9.9927e+00,2.8329e+01,-6.2306e+03
2.8472e-01,-1.9689e+00,3.7261e+00,9.9925e+00,2.8162e+01,-6.2608e+03
3.0610e-01,-1.9404e+00,3.8088e+00,9.9439e+00,2.8350e+01,-6.2250e+03
2.7271e-01,-1.9887e+00,3.7257e+00,9.9699e+00,2.8160e+01,-6.2646e+03
3.0626e-01,-1.9638e+00,3.8044e+00,9.9821e+00,2.8337e+01,-6.2523e+03
3.0892e-01,-1.9558e+00,3.8085e+00,9.9861e+00,2.8342e+01,-6.2628e+03
3.0892e-01,-1.9628e+00,3.8083e+00,9.9633e+00,2.8348e+01,-6.2679e+03
3.0516e-01,-1.9800e+00,3.8017e+00,9.9740e+00,2.8337e+01,-6.2563e+03
3.0413e-01,-1.8923e+00,3.8022e+00,9.9717e+00,2.8334e+01,-6.2356e+03
3.0246e-01,-1.9717e+00,3.8024e+00,9.9521e+00,2.8340e+01,-6.2484e+03
3.0438e-01,-1.9837e+00,3.8080e+00,9.9744e+00,2.8344e+01,-6.1879e+03
3.0585e-01,-1.9819e+00,3.8011e+00,9.9966e+00,2.8334e+01,-6.2484e+03
3.0708e-01,-1.9354e+00,3.8082e+00,9.9813e+00,2.8345e+01,-6.2040e+03
3.0481e-01,-1.9793e+00,3.8027e+00,9.9960e+00,2.8339e+01,-6.2244e+03
3.0416e-01,-1.9313e+00,3.8015e+00,9.9473e+00,2.8338e+01,-6.2687e+03
3.0144e-01,-1.9531e+00,3.8019e+00,9.9665e+00,2.8342e+01,-6.2671e+03
3.0364e-01,-1.9377e+00,3.8026e+00,9.9631e+00,2.8335e+01,-6.2308e+03
3.0709e-01,-1.9687e+00,3.8093e+00,9.9237e+00,2.8350e+01,-6.2362e+03
3.0320e-01,-1.9840e+00,3.8022e+00,9.9823e+00,2.8339e+01,-6.2488e+03
3.0290e-01,-1.9651e+00,3.8008e+00,9.9368e+00,2.8331e+01,-6.2570e+03
3.0661e-01,-1.9617e+00,3.8081e+00,9.9953e+00,2.8358e+01,-6.2664e+03
3.0312e-01,-1.9755e+00,3.8027e+00,9.9560e+00,2.8340e+01,-6.2617e+03
3.0413e-01,-1.9569e+00,3.8023e+00,9.9761e+00,2.8334e+01,-6.2115e+03
3.0516e-01,-1.9674e+00,3.8025e+00,9.9765e+00,2.8336e+01,-6.2597e+03
3.0386e-01,-1.9577e+00,3.8027e+00,9.9627e+00,2.8332e+01,-6.2597e+03
3.0484e-01,-1.9091e+00,3.8017e+00,9.9311e+00,2.8334e+01,-6.2665e+03
3.0294e-01,-1.9784e+00,3.8020e+00,9.9558e+00,2.8334e+01,-6.2436e+03
3.0226e-01,-1.9722e+00,3.8030e+00,9.9411e+00,2.8340e+01,-6.2487e+03
2.8714e-01,-1.9518e+00,3.7259e+00,9.9899e+00,2.8165e+01,-6.2677e+03
3.0403e-01,-1.9731e+00,3.8020e+00,9.9518e+00,2.8341e+01,-6.2577e+03
3.0651e-01,-1.9954e+00,3.8088e+00,9.9731e+00,2.8356e+01,-6.2042e+03
3.0492e-01,-1.9791e+00,3.8016e+00,9.9423e+00,2.8338e+01,-6.2593e+03
3.0590e-01,-1.9902e+00,3.8081e+00,9.9751e+00,2.8351e+01,-6.2067e+03
3.0493e-01,-1.9882e+00,3.8027e+00,9.9657e+00,2.8333e+01,-6.2349e+03
3.0792e-01,-1.9023e+00,3.8082e+00,9.9751e+00,2.8342e+01,-6.2219e+03
3.0431e-01,-1.9689e+00,3.8017e+00,9.9803e+00,2.8335e+01,-6.2678e+03
3.0417e-01,-1.9650e+00,3.8015e+00,9.9620e+00,2.8333e+01,-6.2584e+03
3.0750e-01,-1.9529e+00,3.8055e+00,9.9633e+00,2.8343e+01,-6.2357e+03
2.8726e-01,-1.9738e+00,3.7260e+00,9.9941e+00,2.8161e+01,-6.2578e+03
3.0779e-01,-1.9171e+00,3.8089e+00,9.9912e+00,2.8352e+01,-6.2352e+03
2.7605e-01,-1.9841e+00,3.7268e+00,9.9722e+00,2.8164e+01,-6.2467e+03
3.0496e-01,-1.9366e+00,3.8083e+00,9.9889e+00,2.8352e+01,-6.2550e+03
3.0485e-01,-1.9831e+00,3.8018e+00,9.9591e+00,2.8337e+01,-6.2658e+03
3.0837e-01,-1.9161e+00,3.8054e+00,9.9735e+00,2.8344e+01,-6.2658e+03
3.0830e-01,-1.9112e+00,3.8085e+00,9.9852e+00,2.8352e+01,-6.2403e+03
3.0437e-01,-1.9273e+00,3.8021e+00,9.9655e+00,2.8327e+01,-6.2575e+03
3.0529e-01,-1.9249e+00,3.8015e+00,9.9976e+00,2.8330e+01,-6.2457e+03
3.0514e-01,-1.9272e+00,3.8014e+00,9.9747e+00,2.8327e+01,-6.2561e+03
3.0754e-01,-1.9480e+00,3.8089e+00,9.9487e+00,2.8354e+01,-6.2589e+03
3.0687e-01,-1.9100e+00,3.8081e+00,9.9791e+00,2.8347e+01,-6.2018e+03
3.0514e-01,-1.9498e+00,3.8084e+00,9.9557e+00,2.8353e+01,-6.2576e+03
3.0712e-01,-1.9718e+00,3.8085e+00,9.9948e+00,2.8345e+01,-6.2168e+03
3.0769e-01,-1.9735e+00,3.8080e+00,9.9813e+00,2.8345e+01,-6.2353e+03
3.0012e-01,-1.9795e+00,3.8002e+00,9.9286e+00,2.8332e+01,-6.2589e+03
3.0633e-01,-1.9381e+00,3.8081e+00,9.9794e+00,2.8343e+01,-6.2319e+03
3.0349e-01,-1.9262e+00,3.8024e+00,9.9777e+00,2.8341e+01,-6.2555e+03
3.0465e-01,-1.9453e+00,3.8021e+00,9.9691e+00,2.8341e+01,-6.2052e+03
3.0673e-01,-1.9468e+00,3.8086e+00,9.9711e+00,2.8361e+01,-6.2170e+03
3.0776e-01,-1.9583e+00,3.8088e+00,9.9921e+00,2.8343e+01,-6.2445e+03
3.0771e-01,-1.9282e+00,3.8084e+00,9.9826e+00,2.8342e+01,-6.2184e+03
3.0477e-01,-1.9705e+00,3.8021e+00,9.9564e+00,2.8343e+01,-6.2683e+03
2.5146e-01,-1.8955e+00,3.7261e+00,9.9931e+00,2.8163e+01,-6.2675e+03
3.0651e-01,-1.9855e+00,3.8080e+00,9.9809e+00,2.8342e+01,-6.2514e+03
3.0318e-01,-1.9936e+00,3.8026e+00,9.9600e+00,2.8344e+01,-6.2484e+03
3.0260e-01,-1.9900e+00,3.8014e+00,9.9172e+00,2.8332e+01,-6.2547e+03
3.0465e-01,-1.9715e+00,3.8025e+00,9.9581e+00,2.8341e+01,-6.2424e+03
3.0729e-01,-1.9123e+00,3.8083e+00,9.9833e+00,2.8349e+01,-6.2041e+03
3.0751e-01,-1.9651e+00,3.8081e+00,9.9797e+00,2.8337e+01,-6.2623e+03
3.0416e-01,-1.9713e+00,3.8021e+00,9.9542e+00,2.8341e+01,-6.2419e+03
3.0228e-01,-1.9589e+00,3.8025e+00,9.9680e+00,2.8340e+01,-6.2557e+03
3.0349e-01,-1.9447e+00,3.8032e+00,9.9501e+00,2.8340e+01,-6.2620e+03
3.0485e-01,-1.9655e+00,3.8020e+00,9.9793e+00,2.8329e+01,-6.2360e+03
3.0325e-01,-1.9774e+00,3.8018e+00,9.9779e+00,2.8335e+01,-6.2420e+03
3.0689e-01,-1.9469e+00,3.8089e+00,9.9857e+00,2.8350e+01,-6.2525e+03
3.0453e-01,-1.9697e+00,3.8084e+00,9.9724e+00,2.8356e+01,-6.2515e+03
3.0667e-01,-1.9879e+00,3.8089e+00,9.9743e+00,2.8347e+01,-6.2516e+03
3.0411e-01,-1.9069e+00,3.8027e+00,9.9528e+00,2.8341e+01,-6.2566e+03
3.0597e-01,-1.9897e+00,3.8093e+00,9.9650e+00,2.8348e+01,-6.2570e+03
3.0587e-01,-1.9371e+00,3.8079e+00,9.9951e+00,2.8356e+01,-6.2374e+03
3.0703e-01,-1.9663e+00,3.8087e+00,9.9972e+00,2.8352e+01,-6.1909e+03
3.0637e-01,-1.9352e+00,3.8092e+00,9.9823e+00,2.8356e+01,-6.2676e+03
3.0388e-01,-1.9374e+00,3.8024e+00,9.9747e+00,2.8335e+01,-6.2158e+03
3.0233e-01,-1.9995e+00,3.8009e+00,9.9033e+00,2.8332e+01,-6.2489e+03
3.0341e-01,-1.8921e+00,3.8026e+00,9.9677e+00,2.8334e+01,-6.2642e+03
3.0598e-01,-1.9829e+00,3.8085e+00,9.9759e+00,2.8348e+01,-6.2323e+03
3.0555e-01,-1.9962e+00,3.8085e+00,9.9646e+00,2.8350e+01,-6.2606e+03
3.0748e-01,-1.9165e+00,3.8086e+00,9.9784e+00,2.8351e+01,-6.2274e+03
3.0693e-01,-1.9618e+00,3.8085e+00,9.9721e+00,2.8345e+01,-6.1679e+03
3.0357e-01,-1.9970e+00,3.8024e+00,9.9799e+00,2.8336e+01,-6.2504e+03
3.0405e-01,-1.9862e+00,3.8026e+00,9.9641e+00,2.8326e+01,-6.2544e+03
3.0356e-01,-1.9323e+00,3.8006e+00,9.9133e+00,2.8326e+01,-6.2683e+03
3.0503e-01,-1.9981e+00,3.8022e+00,9.9918e+00,2.8333e+01,-6.2429e+03
3.0589e-01,-1.9576e+00,3.8047e+00,9.9656e+00,2.8337e+01,-6.2594e+03
3.0428e-01,-1.9662e+00,3.8023e+00,9.9792e+00,2.8327e+01,-6.2457e+03
3.0789e-01,-1.9912e+00,3.8086e+00,9.9657e+00,2.8355e+01,-6.2296e+03
2.6811e-01,-1.9705e+00,3.7259e+00,9.9936e+00,2.8162e+01,-6.2587e+03
3.0783e-01,-1.9455e+00,3.8055e+00,9.9591e+00,2.8340e+01,-6.2443e+03
3.0416e-01,-1.9949e+00,3.8022e+00,9.9505e+00,2.8336e+01,-6.2390e+03
3.0655e-01,-1.9585e+00,3.8085e+00,9.9728e+00,2.8357e+01,-6.2067e+03
3.0948e-01,-1.9136e+00,3.8095e+00,9.9843e+00,2.8351e+01,-6.2677e+03
2.9488e-01,-1.9922e+00,3.7271e+00,9.9631e+00,2.8166e+01,-6.2662e+03
3.0855e-01,-1.9905e+00,3.8079e+00,9.9908e+00,2.8352e+01,-6.2622e+03
3.0445e-01,-1.9155e+00,3.8020e+00,9.9790e+00,2.8336e+01,-6.2341e+03
3.0372e-01,-1.9835e+00,3.8011e+00,9.9357e+00,2.8334e+01,-6.2611e+03
3.0702e-01,-1.9027e+00,3.8085e+00,9.9665e+00,2.8345e+01,-6.2061e+03
3.0772e-01,-1.9293e+00,3.8085e+00,9.9609e+00,2.8352e+01,-6.2577e+03
3.0232e-01,-1.9793e+00,3.8027e+00,9.9545e+00,2.8334e+01,-6.2576e+03
3.0479e-01,-1.9432e+00,3.8017e+00,9.9267e+00,2.8326e+01,-6.2617e+03
3.0808e-01,-1.9681e+00,3.8089e+00,9.9938e+00,2.8351e+01,-6.2466e+03
3.0467e-01,-1.9991e+00,3.8018e+00,9.9129e+00,2.8334e+01,-6.2657e+03
2.4130e-01,-1.9695e+00,3.7261e+00,9.9921e+00,2.8159e+01,-6.2675e+03
3.0298e-01,-1.9819e+00,3.8016e+00,9.9293e+00,2.8339e+01,-6.2578e+03
3.0853e-01,-1.9453e+00,3.8085e+00,9.9812e+00,2.8343e+01,-6.2287e+03
3.0732e-01,-1.9440e+00,3.8091e+00,9.9552e+00,2.8345e+01,-6.2631e+03
3.0464e-01,-1.9038e+00,3.8029e+00,9.9849e+00,2.8339e+01,-6.2632e+03
3.0742e-01,-1.9309e+00,3.8054e+00,9.9678e+00,2.8347e+01,-6.2658e+03
3.0498e-01,-1.9406e+00,3.8024e+00,9.9712e+00,2.8338e+01,-6.2239e+03
3.0587e-01,-1.9547e+00,3.8083e+00,9.9977e+00,2.8345e+01,-6.2321e+03
3.0471e-01,-1.9412e+00,3.8020e+00,9.9624e+00,2.8330e+01,-6.2260e+03
3.0387e-01,-1.9646e+00,3.8022e+00,9.9888e+00,2.8333e+01,-6.2140e+03
3.0420e-01,-1.9895e+00,3.8027e+00,9.9806e+00,2.8331e+01,-6.2510e+03
3.0449e-01,-1.9960e+00,3.8014e+00,9.9158e+00,2.8330e+01,-6.2657e+03
3.0842e-01,-1.9502e+00,3.8082e+00,9.9731e+00,2.8349e+01,-6.2321e+03
3.0416e-01,-1.9971e+00,3.8024e+00,9.9390e+00,2.8338e+01,-6.2318e+03
2.9167e-01,-1.9533e+00,3.7261e+00,9.9958e+00,2.8162e+01,-6.2627e+03
3.0815e-01,-1.9590e+00,3.8088e+00,9.9965e+00,2.8351e+01,-6.2564e+03
3.0806e-01,-1.9454e+00,3.8054e+00,9.9573e+00,2.8342e+01,-6.2566e+03
3.0629e-01,-1.9725e+00,3.8083e+00,9.9716e+00,2.8347e+01,-6.2225e+03
2.2022e-01,-1.9058e+00,3.7260e+00,9.9944e+00,2.8158e+01,-6.2685e+03
