logfeh_mean,logdust,logNpix,logage,dmod,logl
2.6285e-01,-1.9007e+00,4.3421e+00,1.0023e+01,3.0240e+01,-3.4741e+01
2.3455e-01,-1.7719e+00,4.3272e+00,1.0012e+01,3.0207e+01,-4.3368e+01
2.3794e-01,-1.3088e+00,4.2972e+00,9.8866e+00,3.0255e+01,-4.3059e+01
1.8157e-01,-1.8616e+00,4.3772e+00,1.0038e+01,3.0269e+01,-4.0498e+01
8.9131e-02,-1.9048e+00,4.4314e+00,1.0077e+01,3.0373e+01,-4.3215e+01
1.7077e-01,-1.8485e+00,4.3968e+00,1.0051e+01,3.0324e+01,-3.6838e+01
2.5681e-01,-1.8473e+00,4.3401e+00,1.0011e+01,3.0233e+01,-3.2149e+01
3.1108e-01,-1.2722e+00,4.2681e+00,9.8504e+00,3.0227e+01,-4.3585e+01
3.2978e-01,-1.6975e+00,4.2994e+00,9.9480e+00,3.0183e+01,-3.8892e+01
3.2018e-01,-1.6653e+00,4.2808e+00,9.9639e+00,3.0137e+01,-3.6579e+01
4.0759e-01,-1.9848e+00,4.2772e+00,9.9519e+00,3.0115e+01,-4.1017e+01
2.1060e-01,-1.6631e+00,4.3663e+00,1.0024e+01,3.0309e+01,-3.9744e+01
1.7901e-01,-1.5880e+00,4.3591e+00,1.0005e+01,3.0298e+01,-3.8002e+01
2.0526e-01,-1.6787e+00,4.3704e+00,9.9856e+00,3.0324e+01,-4.3067e+01
2.1591e-01,-1.7155e+00,4.3616e+00,1.0022e+01,3.0297e+01,-3.7107e+01
2.6084e-01,-1.5257e+00,4.3385e+00,9.9614e+00,3.0301e+01,-4.3062e+01
2.6412e-01,-1.5428e+00,4.3315e+00,9.9745e+00,3.0284e+01,-4.0718e+01
3.5687e-01,-1.7583e+00,4.2799e+00,9.9574e+00,3.0128e+01,-4.1652e+01
1.1354e-01,-1.6040e+00,4.4248e+00,1.0049e+01,3.0407e+01,-4.1071e+01
9.6505e-02,-1.9392e+00,4.4467e+00,1.0081e+01,3.0408e+01,-4.2146e+01
1.3549e-01,-1.6872e+00,4.4010e+00,1.0043e+01,3.0343e+01,-4.2601e+01
2.4925e-01,-1.5070e+00,4.3245e+00,9.9437e+00,3.0268e+01,-3.9901e+01
3.7154e-01,-1.8454e+00,4.2876e+00,9.9549e+00,3.0149e+01,-4.2101e+01
1.0624e-01,-1.9701e+00,4.4422e+00,1.0112e+01,3.0395e+01,-4.2814e+01
1.7933e-01,-1.3703e+00,4.3465e+00,9.9541e+00,3.0335e+01,-4.2483e+01
2.3874e-01,-1.4893e+00,4.3413e+00,9.9681e+00,3.0312e+01,-3.9866e+01
2.4626e-01,-1.8335e+00,4.3359e+00,9.9800e+00,3.0227e+01,-4.3165e+01
