logfeh,logdust_med,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,logl
-1.0733e-01,-1.0355e+00,6.5083e-01,2.3817e+00,1.7644e+00,1.7863e+00,3.8909e+00,-5.0404e+02
-5.3295e-02,-1.0528e+00,8.2875e-01,2.3580e+00,2.1685e+00,2.3307e+00,3.8766e+00,-5.0122e+02
-1.0586e-01,-1.0049e+00,7.8610e-01,2.3792e+00,1.4650e+00,2.2595e+00,3.8905e+00,-5.0426e+02
-6.9477e-02,-1.0655e+00,7.4913e-01,2.3517e+00,2.2999e+00,1.9083e+00,3.8718e+00,-5.0032e+02
-7.3932e-02,-1.0307e+00,8.2173e-01,2.3639e+00,1.9633e+00,2.2601e+00,3.8852e+00,-5.0080e+02
-7.6243e-02,-1.1488e+00,7.3441e-01,2.3440e+00,2.1100e+00,2.0143e+00,3.8787e+00,-5.0387e+02
-1.1209e-01,-1.0376e+00,7.8191e-01,2.3643e+00,1.7843e+00,1.9503e+00,3.8889e+00,-5.0374e+02
-5.5876e-02,-1.0004e+00,7.8142e-01,2.3730e+00,2.2014e+00,2.1729e+00,3.8813e+00,-5.0386e+02
-1.0836e-01,-1.0172e+00,8.3857e-01,2.3589e+00,1.9425e+00,1.7385e+00,3.8893e+00,-4.9637e+02
-9.9394e-02,-1.0824e+00,7.7278e-01,2.3591e+00,1.7872e+00,1.8878e+00,3.8931e+00,-5.0399e+02
-6.9297e-02,-1.0268e+00,8.5183e-01,2.3702e+00,1.9046e+00,2.1530e+00,3.8923e+00,-5.0341e+02
-6.2754e-02,-1.0355e+00,8.1829e-01,2.3576e+00,2.2805e+00,1.7543e+00,3.8788e+00,-5.0268e+02
-9.0321e-02,-1.0487e+00,8.0932e-01,2.3604e+00,1.9810e+00,2.1855e+00,3.8819e+00,-4.9874e+02
-6.6763e-02,-1.0175e+00,7.1568e-01,2.3844e+00,1.9997e+00,2.1011e+00,3.8904e+00,-5.0082e+02
-1.2612e-01,-1.0092e+00,8.4515e-01,2.3564e+00,1.7295e+00,1.9435e+00,3.8883e+00,-4.9742e+02
-1.1803e-01,-1.0213e+00,7.9142e-01,2.3690e+00,1.3857e+00,1.9475e+00,3.8978e+00,-5.0084e+02
-8.4305e-02,-1.0181e+00,8.7069e-01,2.3483e+00,2.2273e+00,1.9665e+00,3.8737e+00,-5.0027e+02
-9.5684e-02,-1.0214e+00,7.4702e-01,2.3699e+00,1.9468e+00,2.2469e+00,3.8799e+00,-4.9972e+02
-9.5197e-02,-1.0087e+00,7.7561e-01,2.3661e+00,1.9489e+00,2.2558e+00,3.8806e+00,-4.9881e+02
-7.4424e-02,-1.0035e+00,8.1004e-01,2.3820e+00,1.8919e+00,1.9658e+00,3.8953e+00,-5.0108e+02
-8.9091e-02,-1.0163e+00,8.5382e-01,2.3582e+00,1.7910e+00,2.2274e+00,3.8931e+00,-5.0320e+02
-1.0189e-01,-1.0113e+00,7.1756e-01,2.3836e+00,1.7947e+00,1.8405e+00,3.8921e+00,-5.0292e+02
-1.0310e-01,-1.0125e+00,8.2946e-01,2.3579e+00,1.8958e+00,2.3485e+00,3.8775e+00,-5.0165e+02
-1.0434e-01,-1.0321e+00,7.8754e-01,2.3583e+00,1.9825e+00,1.6999e+00,3.8881e+00,-5.0265e+02
-8.0634e-02,-1.1061e+00,8.1826e-01,2.3416e+00,2.1513e+00,1.9506e+00,3.8780e+00,-4.9752e+02
-9.2274e-02,-1.0025e+00,8.4934e-01,2.3642e+00,1.9795e+00,2.2150e+00,3.8802e+00,-4.9604e+02
-6.4911e-02,-1.0113e+00,7.3819e-01,2.3878e+00,1.8976e+00,2.1966e+00,3.8918e+00,-4.9626e+02
-6.2370e-02,-1.0373e+00,8.0014e-01,2.3589e+00,2.2786e+00,1.7043e+00,3.8794e+00,-4.9911e+02
-1.1621e-01,-1.0443e+00,7.5908e-01,2.3633e+00,1.4685e+00,1.8315e+00,3.8995e+00,-5.0323e+02
-1.0411e-01,-1.1048e+00,8.5796e-01,2.3384e+00,1.7481e+00,1.7909e+00,3.8954e+00,-5.0322e+02
-7.6944e-02,-1.0181e+00,8.2213e-01,2.3660e+00,2.0468e+00,2.3300e+00,3.8765e+00,-5.0090e+02
-9.5642e-02,-1.0310e+00,8.1995e-01,2.3551e+00,1.8924e+00,2.0760e+00,3.8909e+00,-5.0257e+02
-9.3091e-02,-1.0170e+00,8.0358e-01,2.3698e+00,1.8124e+00,1.9229e+00,3.8945e+00,-4.8831e+02
-1.3107e-01,-1.0355e+00,8.3417e-01,2.3516e+00,1.7333e+00,1.8693e+00,3.8882e+00,-5.0407e+02
-9.2582e-02,-1.0098e+00,7.5053e-01,2.3749e+00,1.9537e+00,2.0354e+00,3.8869e+00,-5.0336e+02
