logfeh_mean,logdust_med,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod,logl
8.8399e-02,-1.9224e+00,1.4357e+00,2.5281e+00,4.1579e-01,3.0908e+00,3.6086e+00,2.9307e+01,-7.9677e+02
1.0120e-01,-1.0846e+00,1.6239e+00,2.3473e+00,1.3049e+00,3.5418e+00,2.6544e+00,2.9148e+01,-8.7048e+02
3.4679e-02,-1.7911e+00,1.4951e+00,1.9667e+00,1.3269e+00,3.0595e+00,3.2147e+00,2.8579e+01,-7.8424e+02
1.6332e-01,-1.7744e+00,1.5334e+00,2.3035e+00,1.9867e+00,2.5887e+00,3.6189e+00,2.8937e+01,-8.6130e+02
-3.1968e-02,-1.5387e+00,1.5627e+00,2.4583e+00,1.2709e+00,2.6549e+00,3.6998e+00,2.9276e+01,-5.8988e+02
2.2968e-01,-1.9134e+00,1.5926e+00,2.1744e+00,1.8551e+00,2.7357e+00,3.5976e+00,2.8885e+01,-5.5333e+02
1.1953e-01,-1.5736e+00,1.2586e+00,2.4690e+00,1.9609e+00,2.6541e+00,3.5294e+00,2.8932e+01,-8.8247e+02
5.4264e-02,-1.6691e+00,1.5929e+00,1.9399e+00,8.7845e-01,2.5831e+00,3.5373e+00,2.8693e+01,-7.4995e+02
2.4589e-01,-1.0708e+00,1.1152e+00,2.3378e+00,2.1390e+00,2.1443e+00,3.3182e+00,2.8379e+01,-8.2359e+02
2.4836e-01,-1.6300e+00,1.4699e+00,2.1948e+00,8.9334e-01,2.9696e+00,3.4385e+00,2.8708e+01,-5.7817e+02
2.3791e-01,-1.3034e+00,1.1778e+00,2.0557e+00,5.8581e-01,2.8966e+00,3.0546e+00,2.8089e+01,-8.4831e+02
1.4168e-01,-1.0803e+00,1.2134e+00,2.1635e+00,1.2824e+00,2.4872e+00,3.2696e+00,2.8198e+01,-7.7626e+02
1.5670e-01,-1.0271e+00,1.3905e+00,2.1586e+00,2.3440e+00,2.6811e+00,3.3000e+00,2.8544e+01,-8.1066e+02
-5.2345e-02,-1.6643e+00,1.5296e+00,2.3191e+00,7.2037e-01,3.0703e+00,3.5201e+00,2.9096e+01,-7.1539e+02
-1.3799e-01,-1.3214e+00,1.7044e+00,2.0812e+00,6.0169e-01,2.1906e+00,3.6766e+00,2.9024e+01,-8.2418e+02
1.2611e-01,-1.4763e+00,1.2777e+00,2.2979e+00,1.8827e+00,3.2187e+00,2.9879e+00,2.8732e+01,-7.7345e+02
7.1045e-02,-1.6061e+00,1.3790e+00,2.3759e+00,6.5836e-01,2.3111e+00,3.6393e+00,2.8965e+01,-6.7269e+02
1.0847e-01,-1.1230e+00,1.4703e+00,2.1530e+00,6.4884e-01,3.2289e+00,3.0392e+00,2.8629e+01,-7.6026e+02
9.2604e-02,-1.6588e+00,1.5151e+00,2.1331e+00,5.2709e-01,3.2911e+00,3.1253e+00,2.8852e+01,-7.1642e+02
2.0056e-01,-1.9795e+00,1.2851e+00,2.5409e+00,6.9644e-01,2.2850e+00,3.7188e+00,2.9122e+01,-8.2729e+02
2.3840e-01,-1.4586e+00,1.3386e+00,2.3367e+00,5.0353e-01,3.1903e+00,3.2055e+00,2.8773e+01,-6.0480e+02
4.4551e-02,-1.1410e+00,1.4001e+00,2.3029e+00,1.4111e+00,3.1177e+00,3.2161e+00,2.8733e+01,-8.4361e+02
1.0277e-01,-1.1466e+00,1.6342e+00,2.2733e+00,5.8164e-01,3.2856e+00,3.1711e+00,2.8931e+01,-7.8024e+02
1.6606e-01,-1.7951e+00,1.5637e+00,2.0033e+00,1.4562e+00,2.9249e+00,3.4804e+00,2.8720e+01,-8.5672e+02
