logfeh,logdust,logNpix,tau,logl
-3.7262e-01,-8.7795e-01,5.2698e+00,2.8545e+00,-2.1140e+02
-4.4559e-01,-8.3670e-01,5.2744e+00,2.7098e+00,-2.1238e+02
-4.1299e-01,-8.6900e-01,5.2758e+00,2.6152e+00,-2.0941e+02
-4.1885e-01,-8.5699e-01,5.2737e+00,2.7029e+00,-2.1291e+02
-4.3697e-01,-8.4885e-01,5.2757e+00,2.6281e+00,-2.1295e+02
-4.0019e-01,-8.7827e-01,5.2756e+00,2.6078e+00,-2.1080e+02
-3.8344e-01,-8.8094e-01,5.2711e+00,2.7683e+00,-2.1180e+02
-4.5189e-01,-8.2040e-01,5.2798e+00,2.4519e+00,-2.0704e+02
-4.5823e-01,-8.1994e-01,5.2804e+00,2.4494e+00,-2.1301e+02
-4.3352e-01,-8.5645e-01,5.2765e+00,2.5966e+00,-2.0893e+02
-4.8474e-01,-8.2874e-01,5.2814e+00,2.3427e+00,-2.1110e+02
-3.8521e-01,-8.9281e-01,5.2764e+00,2.5767e+00,-2.1290e+02
-4.6554e-01,-8.0968e-01,5.2782e+00,2.5673e+00,-2.1168e+02
-4.8351e-01,-8.0736e-01,5.2775e+00,2.6175e+00,-2.0850e+02
-4.0149e-01,-8.6840e-01,5.2723e+00,2.7364e+00,-2.1281e+02
-4.4187e-01,-8.4490e-01,5.2744e+00,2.6771e+00,-2.0994e+02
-4.4151e-01,-8.5505e-01,5.2762e+00,2.5531e+00,-2.1263e+02
-4.9518e-01,-8.0102e-01,5.2772e+00,2.6724e+00,-2.1170e+02
-4.4305e-01,-8.4354e-01,5.2756e+00,2.6507e+00,-2.0816e+02
-3.6455e-01,-9.0413e-01,5.2746e+00,2.6437e+00,-2.1290e+02
-4.3656e-01,-8.4462e-01,5.2741e+00,2.7046e+00,-2.1218e+02
-3.8099e-01,-8.8386e-01,5.2740e+00,2.7011e+00,-2.1093e+02
-4.0829e-01,-8.6418e-01,5.2734e+00,2.7206e+00,-2.1299e+02
-4.3483e-01,-8.5882e-01,5.2772e+00,2.5470e+00,-2.1135e+02
-4.0065e-01,-8.7851e-01,5.2754e+00,2.6116e+00,-2.1267e+02
-4.3220e-01,-8.5416e-01,5.2743e+00,2.6493e+00,-2.0854e+02
-4.3083e-01,-8.5930e-01,5.2746e+00,2.6170e+00,-2.1086e+02
-3.9526e-01,-8.7439e-01,5.2726e+00,2.7231e+00,-2.0815e+02
-4.3341e-01,-8.5068e-01,5.2752e+00,2.6580e+00,-2.1088e+02
-4.4595e-01,-8.4558e-01,5.2749e+00,2.6353e+00,-2.1011e+02
-4.2513e-01,-8.5768e-01,5.2748e+00,2.6482e+00,-2.1267e+02
-4.2881e-01,-8.5798e-01,5.2748e+00,2.6258e+00,-2.1293e+02
-4.0450e-01,-8.7388e-01,5.2757e+00,2.6144e+00,-2.1185e+02
-4.4906e-01,-8.4418e-01,5.2760e+00,2.6187e+00,-2.0881e+02
-4.3764e-01,-8.6386e-01,5.2785e+00,2.4641e+00,-2.1262e+02
-3.7897e-01,-8.8522e-01,5.2737e+00,2.7088e+00,-2.1260e+02
-4.4901e-01,-8.4870e-01,5.2762e+00,2.5735e+00,-2.1055e+02
-4.2720e-01,-8.6486e-01,5.2761e+00,2.5578e+00,-2.1287e+02
-4.4421e-01,-8.4694e-01,5.2754e+00,2.6270e+00,-2.1017e+02
-3.8649e-01,-8.7989e-01,5.2732e+00,2.7175e+00,-2.0960e+02
-4.4675e-01,-8.4814e-01,5.2764e+00,2.5761e+00,-2.0987e+02
-3.7946e-01,-8.8270e-01,5.2724e+00,2.7428e+00,-2.1219e+02
-3.7289e-01,-9.0394e-01,5.2766e+00,2.5610e+00,-2.1276e+02
-4.4681e-01,-8.5003e-01,5.2761e+00,2.5729e+00,-2.0916e+02
-4.4205e-01,-8.4517e-01,5.2762e+00,2.6397e+00,-2.1278e+02
-4.6538e-01,-8.0551e-01,5.2775e+00,2.6318e+00,-2.1288e+02
-4.4432e-01,-8.4775e-01,5.2752e+00,2.6164e+00,-2.0982e+02
-4.6046e-01,-8.0186e-01,5.2768e+00,2.6893e+00,-2.0947e+02
-4.3602e-01,-8.4264e-01,5.2736e+00,2.7305e+00,-2.0439e+02
-4.4703e-01,-8.4430e-01,5.2753e+00,2.6305e+00,-2.1133e+02
-4.1300e-01,-8.6936e-01,5.2754e+00,2.6229e+00,-2.0798e+02
-4.4257e-01,-8.4510e-01,5.2762e+00,2.6255e+00,-2.0760e+02
-4.4409e-01,-8.3519e-01,5.2740e+00,2.7412e+00,-2.0879e+02
-4.3296e-01,-8.5522e-01,5.2755e+00,2.6194e+00,-2.0997e+02
