logfeh,logdust_med,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,logl
-8.2390e-02,-1.6744e+00,1.3821e+00,2.3771e+00,1.2982e+00,2.2208e+00,3.7599e+00,-4.5906e+02
-5.0154e-02,-1.2483e+00,1.4168e+00,2.3116e+00,2.0740e+00,3.5143e+00,2.8992e+00,-5.1136e+02
4.2975e-02,-1.9464e+00,1.3832e+00,2.2244e+00,2.1288e+00,3.5038e+00,3.0615e+00,-5.0353e+02
3.0868e-02,-1.1799e+00,1.3157e+00,2.4155e+00,1.9019e+00,3.4351e+00,3.2461e+00,-4.9862e+02
1.9642e-02,-9.0301e-01,1.4656e+00,2.3883e+00,1.0566e+00,3.6018e+00,2.3021e+00,-4.5742e+02
7.3613e-02,-6.8931e-01,1.5048e+00,2.3142e+00,3.1866e+00,3.0988e+00,2.1045e+00,-4.9420e+02
5.7422e-02,-1.1280e+00,1.4891e+00,2.3907e+00,1.7988e+00,3.2120e+00,3.6040e+00,-5.0187e+02
6.3280e-02,-7.0053e-01,1.5655e+00,2.4495e+00,1.3343e+00,3.6152e+00,2.1701e+00,-4.1666e+02
6.9336e-02,-1.3208e+00,1.4372e+00,2.4086e+00,1.8554e+00,2.8153e+00,3.7361e+00,-4.7703e+02
-2.8798e-02,-8.7147e-01,1.4477e+00,2.4112e+00,1.8339e+00,3.5467e+00,2.8101e+00,-4.9650e+02
3.5226e-02,-1.7605e+00,1.4075e+00,2.2773e+00,2.5521e+00,3.1338e+00,3.5124e+00,-4.9149e+02
-4.0916e-02,-1.0281e+00,1.4271e+00,2.4652e+00,1.5988e+00,1.7878e+00,3.7960e+00,-4.4346e+02
-1.2720e-01,-1.0522e+00,1.3942e+00,2.4467e+00,1.0810e+00,2.4150e+00,3.7539e+00,-4.8816e+02
-8.4876e-02,-1.6921e+00,1.4359e+00,2.3397e+00,4.9409e-01,2.6467e+00,3.7449e+00,-4.7051e+02
1.3900e-01,-9.1431e-01,1.4999e+00,2.2673e+00,3.1554e+00,1.9414e+00,3.3998e+00,-4.7694e+02
4.1122e-02,-1.3677e+00,1.4553e+00,2.3706e+00,1.7193e+00,2.7953e+00,3.7268e+00,-4.5513e+02
-7.9419e-02,-1.3897e+00,1.3893e+00,2.3363e+00,6.6982e-01,3.4132e+00,3.3151e+00,-4.9109e+02
-3.0636e-03,-9.5560e-01,1.4676e+00,2.3606e+00,5.7631e-01,3.6108e+00,2.0190e+00,-4.5269e+02
-4.4925e-02,-6.2320e-01,1.4895e+00,2.5150e+00,1.1173e+00,3.5663e+00,2.7225e+00,-5.0270e+02
2.3043e-02,-1.4559e+00,1.3865e+00,2.3199e+00,1.3684e+00,3.5427e+00,2.9023e+00,-4.7884e+02
-1.5596e-01,-1.1588e+00,1.3967e+00,2.4169e+00,6.2301e-01,2.6080e+00,3.7232e+00,-4.4449e+02
-1.7729e-01,-1.2069e+00,1.4617e+00,2.3530e+00,1.1407e+00,2.4629e+00,3.7374e+00,-4.6872e+02
-1.7552e-01,-1.6579e+00,1.2666e+00,2.3934e+00,8.3028e-01,1.6238e+00,3.7595e+00,-4.6659e+02
8.0884e-02,-5.6055e-01,1.5733e+00,2.2819e+00,3.3243e+00,2.3229e+00,1.9381e+00,-4.8396e+02
4.0999e-02,-1.4305e+00,1.4198e+00,2.3941e+00,1.8941e+00,1.5206e+00,3.7876e+00,-4.4990e+02
1.5427e-01,-7.6006e-01,1.5622e+00,2.4785e+00,9.4618e-01,3.5823e+00,2.9722e+00,-4.8058e+02
-9.7061e-02,-1.8190e+00,1.4136e+00,2.3075e+00,8.5928e-01,2.9775e+00,3.6627e+00,-4.9124e+02
-6.7559e-02,-1.7169e+00,1.4949e+00,2.2756e+00,8.5640e-01,3.1157e+00,3.6255e+00,-5.1015e+02
-9.0902e-03,-1.6265e+00,1.3756e+00,2.2422e+00,2.8931e+00,1.8175e+00,3.5994e+00,-5.1061e+02
-7.9824e-02,-1.3464e+00,1.3622e+00,2.4109e+00,1.3385e+00,1.4583e+00,3.7806e+00,-4.2766e+02
-3.7488e-02,-1.3640e+00,1.4045e+00,2.3182e+00,5.0429e-01,3.5491e+00,2.9161e+00,-4.5202e+02
1.0925e-02,-7.1410e-01,1.4698e+00,2.4973e+00,1.5959e+00,3.5766e+00,2.2970e+00,-4.9201e+02
1.4021e-01,-6.5146e-01,1.4927e+00,2.4634e+00,3.0168e+00,3.2963e+00,2.6364e+00,-4.6216e+02
1.3285e-01,-5.7778e-01,1.5954e+00,2.4293e+00,2.9413e+00,3.3860e+00,2.8382e+00,-5.0104e+02
1.2243e-01,-5.6037e-01,1.4955e+00,2.5958e+00,2.0975e+00,3.5676e+00,2.5616e+00,-4.3402e+02
7.7334e-02,-5.1469e-01,1.5599e+00,2.5793e+00,7.4939e-01,3.5478e+00,3.1000e+00,-4.5275e+02
1.3499e-03,-1.6843e+00,1.4003e+00,2.2100e+00,2.3525e+00,3.5556e+00,2.1779e+00,-4.7441e+02
-4.4292e-02,-9.9503e-01,1.5085e+00,2.3270e+00,1.5148e+00,3.5467e+00,2.9500e+00,-4.7852e+02
-1.3749e-01,-1.0932e+00,1.4437e+00,2.3691e+00,1.1350e+00,3.1660e+00,3.5718e+00,-4.5331e+02
1.4721e-02,-1.5335e+00,1.2646e+00,2.4576e+00,5.0012e-01,2.1165e+00,3.7841e+00,-5.0123e+02
3.1545e-02,-1.2925e+00,1.4630e+00,2.2848e+00,1.3378e+00,3.5120e+00,3.1828e+00,-5.0402e+02
-1.9007e-02,-1.2369e+00,1.3922e+00,2.3451e+00,1.9190e+00,3.5372e+00,2.9095e+00,-4.8055e+02
3.3296e-02,-5.3228e-01,1.5363e+00,2.5295e+00,2.1397e+00,3.5591e+00,2.7711e+00,-4.9070e+02
7.5675e-02,-6.7324e-01,1.5840e+00,2.1543e+00,3.3060e+00,1.5956e+00,2.7878e+00,-4.6574e+02
-5.2358e-02,-9.2864e-01,1.5181e+00,2.4328e+00,1.6381e+00,1.4469e+00,3.7910e+00,-4.4267e+02
-5.3979e-02,-1.7531e+00,1.3999e+00,2.3048e+00,2.0035e+00,3.2769e+00,3.4616e+00,-4.7677e+02
-1.1607e-01,-6.8997e-01,1.5547e+00,2.4011e+00,1.2085e+00,3.5525e+00,2.7788e+00,-4.8384e+02
9.6320e-02,-1.2647e+00,1.4633e+00,2.2806e+00,2.2966e+00,3.5784e+00,2.3625e+00,-4.9850e+02
6.7801e-02,-1.7500e+00,1.3535e+00,2.3425e+00,1.8232e+00,3.5085e+00,3.1111e+00,-4.8551e+02
8.9450e-02,-5.0737e-01,1.5249e+00,2.3762e+00,3.3158e+00,2.1783e+00,2.4993e+00,-4.9243e+02
1.0132e-01,-7.0796e-01,1.5989e+00,2.3442e+00,2.9466e+00,3.3441e+00,2.7895e+00,-5.0385e+02
-5.6015e-02,-1.2565e+00,1.3591e+00,2.3738e+00,2.4491e+00,3.0200e+00,3.5538e+00,-5.0979e+02
3.4185e-02,-8.2206e-01,1.3767e+00,2.5396e+00,1.7504e+00,2.7543e+00,3.7162e+00,-4.7666e+02
-8.5011e-02,-1.6764e+00,1.4213e+00,2.2570e+00,1.3924e+00,3.3124e+00,3.4807e+00,-5.0598e+02
-1.1322e-02,-7.4158e-01,1.5390e+00,2.4329e+00,5.6294e-01,3.6015e+00,2.0253e+00,-5.0249e+02
3.9464e-02,-8.8643e-01,1.4361e+00,2.5014e+00,1.4411e+00,3.1192e+00,3.6089e+00,-4.7405e+02
1.8293e-02,-9.3736e-01,1.4943e+00,2.4380e+00,2.2620e+00,3.0292e+00,3.6277e+00,-5.1191e+02
-2.8959e-02,-9.6456e-01,1.4007e+00,2.4711e+00,1.6683e+00,3.1979e+00,3.5819e+00,-4.7726e+02
1.0092e-02,-8.7720e-01,1.4219e+00,2.4322e+00,1.2562e+00,3.6009e+00,1.9497e+00,-4.4585e+02
-1.0415e-01,-1.0984e+00,1.4037e+00,2.4330e+00,8.4906e-01,2.0485e+00,3.7686e+00,-4.0672e+02
2.6355e-02,-7.9783e-01,1.4735e+00,2.4718e+00,1.9779e+00,3.2024e+00,3.5753e+00,-4.7034e+02
6.7498e-02,-8.2710e-01,1.5548e+00,2.4478e+00,2.5086e+00,3.1006e+00,3.5584e+00,-4.6708e+02
-3.6923e-02,-1.2994e+00,1.4374e+00,2.3432e+00,2.2770e+00,2.8187e+00,3.6932e+00,-4.6297e+02
-5.9494e-02,-7.7811e-01,1.4297e+00,2.5227e+00,1.5931e+00,2.6382e+00,3.7364e+00,-4.5445e+02
4.9674e-02,-9.3344e-01,1.4768e+00,2.4864e+00,1.2142e+00,2.6089e+00,3.7607e+00,-4.8879e+02
-1.2259e-02,-7.3111e-01,1.5316e+00,2.4312e+00,1.7226e+00,3.6038e+00,2.2829e+00,-4.9505e+02
