logfeh,logdust,logNpix,tau,logl
-2.9679e-01,-1.9265e+00,4.0830e+00,4.1731e+00,-2.3643e+02
-3.4259e-01,-1.4945e+00,4.0828e+00,4.2463e+00,-2.3554e+02
-2.8947e-01,-1.7883e+00,4.0794e+00,4.3179e+00,-2.3770e+02
-3.8062e-01,-1.3617e+00,4.0828e+00,4.3470e+00,-2.3721e+02
-3.7589e-01,-1.4202e+00,4.0858e+00,4.2092e+00,-2.3742e+02
-3.2636e-01,-1.6516e+00,4.0890e+00,4.0035e+00,-2.3750e+02
-2.4746e-01,-1.9371e+00,4.0866e+00,4.1181e+00,-2.3688e+02
-2.0829e-01,-1.8333e+00,4.0790e+00,4.3027e+00,-2.3742e+02
-3.8674e-01,-1.3985e+00,4.0859e+00,4.2077e+00,-2.3576e+02
-3.2322e-01,-1.6358e+00,4.0889e+00,4.0343e+00,-2.3759e+02
-2.3676e-01,-1.9704e+00,4.0869e+00,4.0945e+00,-2.3681e+02
-3.2494e-01,-1.6788e+00,4.0876e+00,4.0317e+00,-2.3760e+02
-3.6538e-01,-1.3898e+00,4.0808e+00,4.3681e+00,-2.3598e+02
-3.5742e-01,-1.4811e+00,4.0866e+00,4.1550e+00,-2.3761e+02
-2.0961e-01,-1.9313e+00,4.0876e+00,4.1079e+00,-2.3765e+02
-2.4219e-01,-1.7977e+00,4.0815e+00,4.2858e+00,-2.3407e+02
-2.5007e-01,-1.9202e+00,4.0873e+00,4.1126e+00,-2.3531e+02
-4.1041e-01,-1.2718e+00,4.0856e+00,4.3967e+00,-2.3466e+02
-2.7878e-01,-1.8538e+00,4.0799e+00,4.2881e+00,-2.3739e+02
-2.5435e-01,-1.9858e+00,4.0864e+00,4.1059e+00,-2.3774e+02
-2.3474e-01,-1.8502e+00,4.0786e+00,4.3047e+00,-2.3730e+02
-2.6561e-01,-1.9477e+00,4.0867e+00,4.1187e+00,-2.3552e+02
-2.2249e-01,-1.8671e+00,4.0817e+00,4.2233e+00,-2.3728e+02
-2.6054e-01,-1.8094e+00,4.0816e+00,4.2595e+00,-2.3771e+02
-4.1957e-01,-1.2465e+00,4.0807e+00,4.5249e+00,-2.3689e+02
-2.8674e-01,-1.9756e+00,4.0862e+00,4.1074e+00,-2.3601e+02
-2.8526e-01,-1.9526e+00,4.0871e+00,4.1093e+00,-2.3725e+02
-2.2916e-01,-1.7849e+00,4.0825e+00,4.2718e+00,-2.3711e+02
-2.9067e-01,-1.8117e+00,4.0802e+00,4.2951e+00,-2.3766e+02
-3.8218e-01,-1.4056e+00,4.0885e+00,4.1763e+00,-2.3679e+02
-2.2157e-01,-1.8447e+00,4.0818e+00,4.2684e+00,-2.3560e+02
-2.2919e-01,-1.9502e+00,4.0841e+00,4.1492e+00,-2.3680e+02
-2.2806e-01,-1.7585e+00,4.0813e+00,4.3251e+00,-2.3676e+02
-3.8226e-01,-1.4220e+00,4.0855e+00,4.2058e+00,-2.3705e+02
-3.9177e-01,-1.3859e+00,4.0872e+00,4.2044e+00,-2.3610e+02
-2.0123e-01,-1.9700e+00,4.0859e+00,4.1252e+00,-2.3733e+02
-3.9375e-01,-1.3696e+00,4.0874e+00,4.2102e+00,-2.3484e+02
-2.2676e-01,-1.8265e+00,4.0788e+00,4.3196e+00,-2.3730e+02
-3.2747e-01,-1.6187e+00,4.0850e+00,4.1052e+00,-2.3639e+02
-3.1273e-01,-1.7832e+00,4.0916e+00,3.9135e+00,-2.3774e+02
-2.7133e-01,-1.8348e+00,4.0803e+00,4.2781e+00,-2.3692e+02
-3.4366e-01,-1.6091e+00,4.0899e+00,3.9940e+00,-2.3661e+02
-4.1199e-01,-1.3052e+00,4.0871e+00,4.2871e+00,-2.3637e+02
-2.7860e-01,-1.8845e+00,4.0827e+00,4.2067e+00,-2.3542e+02
-4.2149e-01,-1.2517e+00,4.0877e+00,4.3756e+00,-2.3520e+02
-2.2805e-01,-1.8309e+00,4.0819e+00,4.2570e+00,-2.3667e+02
-2.1751e-01,-1.8736e+00,4.0815e+00,4.2421e+00,-2.3737e+02
-4.0963e-01,-1.2787e+00,4.0836e+00,4.4195e+00,-2.3738e+02
-2.4119e-01,-1.7939e+00,4.0813e+00,4.2916e+00,-2.3572e+02
-2.6110e-01,-1.9585e+00,4.0864e+00,4.1075e+00,-2.3756e+02
-3.3646e-01,-1.6051e+00,4.0888e+00,4.0266e+00,-2.3533e+02
-2.9934e-01,-1.8007e+00,4.0819e+00,4.2777e+00,-2.3475e+02
-2.8586e-01,-1.8294e+00,4.0814e+00,4.2645e+00,-2.3517e+02
-3.8109e-01,-1.4115e+00,4.0870e+00,4.1666e+00,-2.3756e+02
-2.9363e-01,-1.8357e+00,4.0810e+00,4.2761e+00,-2.3680e+02
-2.1688e-01,-1.7268e+00,4.0813e+00,4.3358e+00,-2.3727e+02
-2.4644e-01,-1.9792e+00,4.0877e+00,4.0886e+00,-2.3517e+02
-4.1894e-01,-1.2694e+00,4.0850e+00,4.3860e+00,-2.3741e+02
-4.1522e-01,-1.2627e+00,4.0822e+00,4.4704e+00,-2.3651e+02
-3.7590e-01,-1.4108e+00,4.0861e+00,4.2139e+00,-2.3747e+02
-2.2822e-01,-1.8471e+00,4.0803e+00,4.2740e+00,-2.3544e+02
-2.2519e-01,-1.8195e+00,4.0781e+00,4.3298e+00,-2.3563e+02
-3.3225e-01,-1.5839e+00,4.0836e+00,4.1513e+00,-2.3591e+02
-2.9068e-01,-1.9818e+00,4.0867e+00,4.1060e+00,-2.3559e+02
-2.6327e-01,-1.7972e+00,4.0788e+00,4.3199e+00,-2.3690e+02
-3.5428e-01,-1.4870e+00,4.0833e+00,4.2158e+00,-2.3390e+02
-3.8594e-01,-1.4002e+00,4.0862e+00,4.2078e+00,-2.3471e+02
-2.3589e-01,-1.8881e+00,4.0791e+00,4.2767e+00,-2.3641e+02
-3.4455e-01,-1.5725e+00,4.0871e+00,4.0655e+00,-2.3492e+02
-3.2255e-01,-1.6323e+00,4.0888e+00,4.0499e+00,-2.3605e+02
-2.4215e-01,-1.7595e+00,4.0806e+00,4.3189e+00,-2.3688e+02
-4.2316e-01,-1.2227e+00,4.0842e+00,4.5103e+00,-2.3675e+02
-2.1649e-01,-1.9704e+00,4.0871e+00,4.1039e+00,-2.3667e+02
-3.2908e-01,-1.5403e+00,4.0823e+00,4.2387e+00,-2.3541e+02
-2.8361e-01,-1.9868e+00,4.0864e+00,4.1059e+00,-2.3625e+02
-3.9121e-01,-1.3716e+00,4.0903e+00,4.1505e+00,-2.3645e+02
-3.5439e-01,-1.4698e+00,4.0850e+00,4.2151e+00,-2.3587e+02
-3.7105e-01,-1.4110e+00,4.0832e+00,4.2717e+00,-2.3746e+02
-3.4018e-01,-1.6182e+00,4.0900e+00,3.9734e+00,-2.3715e+02
-3.4567e-01,-1.4897e+00,4.0849e+00,4.1976e+00,-2.3770e+02
-2.2735e-01,-1.8638e+00,4.0808e+00,4.2595e+00,-2.3691e+02
-2.2099e-01,-1.7536e+00,4.0795e+00,4.3566e+00,-2.3565e+02
-3.9593e-01,-1.3517e+00,4.0841e+00,4.2767e+00,-2.3754e+02
-2.0315e-01,-1.8552e+00,4.0807e+00,4.2576e+00,-2.3632e+02
-3.9132e-01,-1.3728e+00,4.0870e+00,4.2304e+00,-2.3686e+02
-3.8805e-01,-1.3985e+00,4.0891e+00,4.1415e+00,-2.3756e+02
-4.0868e-01,-1.2919e+00,4.0845e+00,4.3856e+00,-2.3679e+02
-3.1217e-01,-1.6549e+00,4.0867e+00,4.0970e+00,-2.3745e+02
-3.2527e-01,-1.6646e+00,4.0893e+00,3.9975e+00,-2.3775e+02
-2.3870e-01,-1.8623e+00,4.0809e+00,4.2684e+00,-2.3700e+02
-2.5835e-01,-1.9803e+00,4.0865e+00,4.1020e+00,-2.3774e+02
-3.9592e-01,-1.3655e+00,4.0891e+00,4.1762e+00,-2.3668e+02
-3.0513e-01,-1.7670e+00,4.0880e+00,3.9955e+00,-2.3758e+02
-4.2501e-01,-1.2583e+00,4.0871e+00,4.3612e+00,-2.3746e+02
-2.2849e-01,-1.9609e+00,4.0886e+00,4.0707e+00,-2.3618e+02
-2.8525e-01,-1.8637e+00,4.0785e+00,4.3001e+00,-2.3687e+02
-3.3598e-01,-1.6762e+00,4.0899e+00,3.9473e+00,-2.3608e+02
-2.1581e-01,-1.8355e+00,4.0811e+00,4.2738e+00,-2.3506e+02
