logfeh_scale,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod,logl
-6.4604e-01,-6.2528e-01,2.5841e+00,1.7399e+00,2.3512e+00,2.5207e+00,4.2218e+00,2.9950e+01,-9.2915e+04
3.3544e-01,-7.2168e-01,2.6162e+00,3.3566e+00,1.9195e+00,3.6393e+00,3.4977e+00,3.1022e+01,-1.0109e+05
-4.5349e-01,-1.0310e+00,2.5762e+00,-1.3948e-01,1.9590e+00,3.1010e+00,3.6563e+00,3.2754e+01,-1.0188e+05
1.4449e-01,-1.4814e+00,-1.9618e-02,-1.6000e-01,3.2140e+00,4.6967e+00,3.7078e+00,3.0800e+01,-9.6354e+04
3.3357e-01,-1.7650e+00,1.0599e+00,1.3900e+00,2.8832e+00,5.0331e+00,4.4678e+00,3.1625e+01,-8.9617e+04
1.0858e-01,-7.2335e-01,1.4497e+00,2.4317e+00,2.5976e+00,1.8483e+00,4.8180e+00,3.0180e+01,-7.8078e+04
-4.9049e-01,-1.2077e+00,2.4386e+00,3.0440e-01,1.3925e+00,1.8600e+00,2.5343e+00,3.1402e+01,-8.7055e+04
-4.3222e-01,-1.3084e+00,1.8478e+00,2.6480e+00,1.3011e+00,1.7068e+00,3.4650e+00,3.0640e+01,-1.0063e+05
-1.6374e-01,-1.6206e+00,1.5811e+00,1.3510e+00,4.6821e-01,2.7887e+00,3.1144e+00,2.9895e+01,-9.4674e+04
-4.8804e-01,-1.6893e+00,2.1702e+00,3.0519e+00,1.1302e+00,1.7874e+00,3.2493e+00,3.0202e+01,-9.6008e+04
1.1300e-01,-6.3631e-01,2.5665e+00,1.8926e+00,1.0743e+00,1.8592e+00,2.8679e+00,3.0060e+01,-7.4827e+04
1.1848e-01,-7.2547e-01,2.4960e+00,3.5225e-01,3.1292e+00,2.9223e+00,3.1863e+00,3.2203e+01,-1.0042e+05
2.4577e-01,-1.0185e+00,2.3449e+00,2.6592e+00,2.3863e+00,2.9913e+00,3.0585e+00,3.1653e+01,-9.8838e+04
-7.8795e-01,-6.8661e-01,1.6565e+00,1.4127e+00,1.4407e+00,2.7750e+00,4.2717e+00,2.9079e+01,-3.7154e+04
1.7918e-02,-1.0309e+00,-1.2324e+00,1.7724e+00,3.1604e+00,3.9722e+00,3.4087e+00,2.9070e+01,-9.8830e+04
-4.5195e-02,-1.4603e+00,2.3928e+00,3.3643e+00,1.2565e+00,3.5637e+00,2.5701e+00,2.9275e+01,-1.0187e+05
-4.4873e-01,-7.5307e-01,1.8163e+00,1.1312e+00,3.2627e+00,1.6836e+00,3.1678e+00,2.9247e+01,-9.5316e+04
-1.3618e-01,-1.6752e+00,2.5702e+00,2.7729e+00,3.3190e+00,2.4869e+00,2.5773e+00,3.0804e+01,-9.0105e+04
-1.3985e-01,-5.3901e-01,2.2989e+00,1.2427e+00,2.3709e+00,3.2134e+00,3.6928e+00,3.0276e+01,-9.0624e+04
1.2680e-01,-7.1284e-01,2.0407e+00,7.4868e-01,6.4169e-01,3.4352e+00,3.7249e+00,2.9452e+01,-9.3845e+04
