logfeh_mean,logdust_med,logNpix,tau,dmod,logl
-5.0152e-02,-4.0202e-01,2.3715e+00,2.2127e+00,2.5519e+01,-3.6434e+02
2.2551e-01,-9.3246e-01,2.2703e+00,5.6052e+00,2.8201e+01,-3.4744e+02
-2.5533e-02,-1.7125e-01,3.8524e+00,2.7503e+00,2.5838e+01,-4.6301e+03
-2.7838e-02,-8.3995e-01,3.4867e+00,7.1713e+00,2.8655e+01,-6.0456e+02
-4.6905e-01,-8.2513e-01,2.6804e+00,2.7908e+00,2.5224e+01,-1.6615e+03
-4.6223e-01,-8.4555e-01,3.2662e+00,4.2365e-01,2.7087e+01,-1.2491e+03
-4.0166e-01,-8.0678e-01,2.7500e+00,7.7703e+00,2.8869e+01,-2.3871e+01
-4.9014e-01,-7.9868e-01,2.1677e+00,1.3648e+00,2.7420e+01,-1.3604e+02
-4.4494e-01,-5.9255e-01,2.2714e+00,1.2282e+00,2.9365e+01,-2.2834e+03
-9.2886e-03,-3.9518e-01,2.5800e+00,3.0594e+00,2.5315e+01,-9.3566e+02
-1.7828e-01,-2.8028e-01,4.0721e+00,1.6355e+00,2.9314e+01,-7.9158e+02
-4.7846e-01,-9.7871e-02,1.9462e+00,1.1158e+00,2.6589e+01,-1.9070e+02
1.3657e-01,-1.6770e-01,2.3826e+00,1.9958e+00,2.7679e+01,-2.4531e+02
-6.7185e-02,-4.7481e-01,3.5743e+00,2.1526e+00,2.9891e+01,-1.7869e+01
6.8105e-02,-1.1650e-02,4.2056e+00,2.8175e+00,2.6677e+01,-4.4149e+03
-2.3632e-01,-5.5705e-01,3.3180e+00,4.9787e+00,2.5886e+01,-3.1082e+03
1.4874e-01,-2.8973e-01,1.6825e+00,6.8552e+00,2.5099e+01,-8.6151e-02
-1.8737e-02,-8.3767e-01,2.0302e+00,2.8066e+00,2.5031e+01,-2.2521e+02
-1.7109e-01,-2.0296e-01,3.7027e+00,4.4057e+00,2.7821e+01,-1.4832e+03
-1.5060e-01,-5.5857e-01,4.5893e+00,2.6271e+00,2.8545e+01,-3.5887e+03
7.2206e-02,-4.6615e-01,3.5653e+00,4.4011e+00,2.8561e+01,-5.2669e+02
