logfeh,logdust,logSFH0,logSFH1,logSFH2,dmod,logl
-1.0645e+00,-1.8948e+00,4.7580e-01,1.6077e+00,2.4974e+00,3.0425e+01,-1.5462e+03
-1.1854e+00,-1.5421e+00,1.3309e+00,2.3949e+00,1.8069e+00,3.0677e+01,-1.4549e+03
-1.2374e+00,-1.8835e+00,6.9069e-01,2.3485e+00,2.7678e+00,3.1461e+01,-1.3710e+03
-1.1545e+00,-1.5849e+00,9.2141e-01,2.3613e+00,2.1203e+00,3.0731e+01,-1.4669e+03
-1.0718e+00,-1.8016e+00,2.4478e+00,2.5764e+00,1.8374e+00,3.1730e+01,-1.5030e+03
-1.2291e+00,-1.6486e+00,1.8005e+00,2.1264e+00,2.7905e+00,3.1539e+01,-1.4979e+03
-1.1743e+00,-1.9924e+00,1.1584e+00,2.7583e+00,1.1651e+00,3.1338e+01,-1.5845e+03
-1.0674e+00,-1.7195e+00,2.2226e+00,1.3782e+00,1.4509e+00,3.0589e+01,-1.5793e+03
-1.0378e+00,-1.6954e+00,1.2294e+00,2.5181e+00,1.8401e+00,3.0861e+01,-1.5101e+03
-1.1468e+00,-1.8413e+00,1.2257e+00,2.1494e+00,2.4222e+00,3.0828e+01,-1.4581e+03
-1.1761e+00,-1.8404e+00,9.1197e-01,2.4361e+00,1.9318e+00,3.0751e+01,-1.5034e+03
-1.1815e+00,-1.5583e+00,4.7320e-01,1.8689e+00,3.0403e+00,3.1727e+01,-1.4602e+03
-1.1904e+00,-1.6279e+00,2.4724e+00,1.6952e+00,2.2662e+00,3.1406e+01,-1.4181e+03
-1.0848e+00,-1.8761e+00,2.3664e-01,2.1262e+00,2.4653e+00,3.0747e+01,-1.4121e+03
-1.1524e+00,-1.5104e+00,9.5926e-01,1.6834e+00,2.5194e+00,3.0518e+01,-1.5328e+03
-1.1209e+00,-1.5959e+00,2.4632e+00,2.3246e+00,2.0199e+00,3.1576e+01,-1.4314e+03
-1.1247e+00,-1.6524e+00,1.9615e+00,2.0661e+00,1.8212e+00,3.0605e+01,-1.5206e+03
-1.1395e+00,-1.7389e+00,2.6077e-01,2.3608e+00,2.7509e+00,3.1432e+01,-1.3756e+03
-1.1756e+00,-1.6418e+00,5.6578e-01,2.5468e+00,2.9880e+00,3.1946e+01,-1.5675e+03
-1.2141e+00,-1.6032e+00,2.2054e+00,1.8951e+00,2.4930e+00,3.1199e+01,-1.4700e+03
-1.1525e+00,-1.6856e+00,1.7167e+00,2.6201e+00,2.7532e+00,3.1816e+01,-1.5021e+03
-1.1740e+00,-1.5470e+00,4.1576e-02,1.5214e+00,2.7928e+00,3.1053e+01,-1.3467e+03
-1.1365e+00,-1.9634e+00,1.9013e-02,2.5460e+00,2.4362e+00,3.1254e+01,-1.3659e+03
-1.2079e+00,-1.7442e+00,1.5944e-02,2.0207e+00,2.9216e+00,3.1558e+01,-1.4072e+03
-1.2499e+00,-1.7835e+00,3.2057e-01,2.7246e+00,2.4877e+00,3.1633e+01,-1.4286e+03
-1.1045e+00,-1.9971e+00,1.8340e+00,2.3566e+00,1.2858e+00,3.0756e+01,-1.4747e+03
-1.1771e+00,-1.9255e+00,5.6511e-01,2.5632e+00,2.0810e+00,3.1111e+01,-1.3689e+03
-1.0432e+00,-1.9716e+00,9.1758e-01,1.3744e+00,2.9931e+00,3.1539e+01,-1.4045e+03
-1.1785e+00,-1.8324e+00,1.6570e+00,1.3778e+00,2.5552e+00,3.0817e+01,-1.5122e+03
-1.0795e+00,-1.7816e+00,1.7371e+00,1.9804e+00,2.4388e+00,3.0793e+01,-1.4515e+03
-1.1944e+00,-1.5224e+00,2.1598e+00,2.1740e+00,1.6745e+00,3.0859e+01,-1.5469e+03
-1.1665e+00,-1.5959e+00,1.9551e+00,1.8590e+00,2.8223e+00,3.1410e+01,-1.5226e+03
-1.2412e+00,-1.7824e+00,1.7779e+00,2.4297e+00,1.7640e+00,3.0897e+01,-1.5494e+03
-1.1006e+00,-1.5660e+00,1.4596e+00,1.3437e+00,2.4748e+00,3.0520e+01,-1.5678e+03
-1.0830e+00,-1.6720e+00,1.9170e+00,2.5360e+00,2.0809e+00,3.1212e+01,-1.4735e+03
-1.0639e+00,-1.9478e+00,1.6963e+00,2.5849e+00,1.2319e+00,3.1205e+01,-1.5962e+03
-1.1061e+00,-1.9967e+00,1.5410e+00,2.3584e+00,2.4753e+00,3.1162e+01,-1.3444e+03
-1.1555e+00,-1.9927e+00,2.3031e+00,1.1084e+00,1.6021e+00,3.0733e+01,-1.5980e+03
-1.0581e+00,-1.6692e+00,5.3370e-01,2.7388e+00,1.0137e+00,3.1356e+01,-1.5030e+03
-1.1468e+00,-1.9143e+00,6.4022e-01,1.3312e+00,2.7169e+00,3.0919e+01,-1.3934e+03
-1.0390e+00,-1.9013e+00,1.1090e+00,2.3840e+00,1.5875e+00,3.0564e+01,-1.4918e+03
-1.0478e+00,-1.8043e+00,1.4681e+00,2.3197e+00,1.6211e+00,3.0578e+01,-1.5497e+03
-1.0396e+00,-1.7454e+00,6.3290e-01,1.7529e+00,2.7061e+00,3.0945e+01,-1.3281e+03
-1.1484e+00,-1.9543e+00,1.0121e+00,2.4276e+00,2.0464e+00,3.0896e+01,-1.5060e+03
-1.1816e+00,-1.7331e+00,6.3122e-02,1.9863e+00,2.7629e+00,3.1159e+01,-1.3422e+03
-1.0514e+00,-1.7440e+00,4.2839e-01,2.4633e+00,2.1147e+00,3.0907e+01,-1.3926e+03
-1.0759e+00,-1.5154e+00,2.8490e-02,2.6793e+00,1.9302e+00,3.1201e+01,-1.3704e+03
-1.1516e+00,-1.9210e+00,5.8003e-01,2.9753e+00,1.7373e+00,3.1932e+01,-1.5752e+03
-1.0735e+00,-1.6365e+00,1.5983e+00,1.1698e+00,2.8848e+00,3.1352e+01,-1.3359e+03
-1.1421e+00,-1.7647e+00,1.0841e+00,2.8603e+00,1.6334e+00,3.1671e+01,-1.4403e+03
-1.1048e+00,-1.8978e+00,1.5819e+00,2.3666e+00,2.4646e+00,3.1224e+01,-1.4495e+03
-1.1471e+00,-1.9162e+00,2.0118e+00,1.7902e+00,2.2339e+00,3.0705e+01,-1.5497e+03
-1.0853e+00,-1.8080e+00,8.6841e-01,1.5086e+00,2.9843e+00,3.1481e+01,-1.5294e+03
-1.1432e+00,-1.9565e+00,2.0921e+00,1.9792e+00,1.2763e+00,3.0585e+01,-1.5982e+03
-1.1993e+00,-1.5368e+00,1.2084e+00,2.5250e+00,1.3422e+00,3.0928e+01,-1.5658e+03
-1.0318e+00,-1.5736e+00,1.6395e+00,1.7802e+00,2.4128e+00,3.0595e+01,-1.4325e+03
-1.0944e+00,-1.5398e+00,1.4713e+00,2.6283e+00,2.0888e+00,3.1225e+01,-1.3747e+03
-1.2036e+00,-1.8911e+00,1.1976e+00,1.3114e+00,2.9101e+00,3.1413e+01,-1.3434e+03
-1.0642e+00,-1.6145e+00,1.2885e+00,2.8213e+00,1.5304e+00,3.1561e+01,-1.3953e+03
-1.1143e+00,-1.9422e+00,5.0028e-01,2.6933e+00,1.3215e+00,3.1151e+01,-1.5402e+03
-1.1575e+00,-1.8790e+00,7.1886e-01,2.6172e+00,2.2158e+00,3.1201e+01,-1.5374e+03
-1.1353e+00,-1.7285e+00,7.0028e-01,2.5796e+00,2.1947e+00,3.1218e+01,-1.4243e+03
-1.1487e+00,-1.5998e+00,1.7946e+00,1.5443e+00,2.8724e+00,3.1508e+01,-1.5549e+03
-1.1125e+00,-1.5244e+00,7.3959e-01,1.0507e+00,2.5908e+00,3.0601e+01,-1.5837e+03
-1.0543e+00,-1.9660e+00,1.9944e+00,1.2833e+00,2.7313e+00,3.1308e+01,-1.4609e+03
-1.1513e+00,-1.6471e+00,6.7911e-01,1.7130e+00,2.8142e+00,3.1191e+01,-1.3217e+03
-1.1335e+00,-1.8230e+00,1.3500e+00,2.7627e+00,2.1270e+00,3.1600e+01,-1.4873e+03
-1.1015e+00,-1.5117e+00,3.2211e-01,2.4294e+00,1.3540e+00,3.0580e+01,-1.5273e+03
-1.2179e+00,-1.5462e+00,2.2005e+00,1.7674e+00,2.8591e+00,3.1684e+01,-1.4593e+03
-1.0698e+00,-1.5632e+00,5.9818e-01,2.8758e+00,1.8859e+00,3.1747e+01,-1.6005e+03
-1.2143e+00,-1.9270e+00,2.0887e+00,1.9734e+00,1.9432e+00,3.0749e+01,-1.5437e+03
-1.1259e+00,-1.9171e+00,2.0240e+00,1.1116e+00,2.2295e+00,3.0538e+01,-1.6027e+03
-1.0792e+00,-1.8093e+00,1.9794e+00,1.9209e+00,2.6020e+00,3.1133e+01,-1.3909e+03
-1.0931e+00,-1.9713e+00,4.6585e-01,1.1920e+00,2.4975e+00,3.0359e+01,-1.5796e+03
-1.2367e+00,-1.6346e+00,1.1966e+00,2.3663e+00,2.5126e+00,3.1181e+01,-1.4138e+03
-1.1853e+00,-1.9256e+00,1.3034e+00,2.3593e+00,1.6441e+00,3.0629e+01,-1.5647e+03
-1.1009e+00,-1.6456e+00,1.7983e+00,1.5955e+00,2.5222e+00,3.0799e+01,-1.4003e+03
-1.1708e+00,-1.6386e+00,1.3288e-01,1.6618e+00,2.6172e+00,3.0675e+01,-1.5281e+03
-1.0253e+00,-1.5627e+00,1.3807e+00,1.4210e+00,2.7935e+00,3.1031e+01,-1.5332e+03
-1.0554e+00,-1.9976e+00,2.0193e+00,2.5894e+00,2.4026e+00,3.1526e+01,-1.4903e+03
-1.1075e+00,-1.9714e+00,3.2162e-02,2.4730e+00,2.4993e+00,3.1212e+01,-1.3485e+03
