# Imag Bmag-Vmag
# F814W F555W-F814W
# Vega Mags
# Disk Gap region extracted from square X=[3000,3400), Y=[6000, 6400) from M51 image
26.596971 1.179515
26.733883 1.116426
26.648827 1.168761
26.700460 1.068094
26.838047 0.963726
26.821516 1.088063
26.838641 1.182753
26.784759 1.236539
26.788985 1.138155
26.767811 1.114822
26.577081 1.293810
26.555685 1.313542
26.591977 1.266402
26.545179 1.339176
26.404683 1.404658
26.623481 1.175701
26.850138 1.069989
26.772235 1.022627
26.859017 0.915898
26.974524 0.936355
26.924204 0.951071
26.767324 1.032956
26.717728 1.111709
26.670680 1.075511
26.778094 0.980904
26.739362 1.063128
26.650947 1.111053
26.677841 1.141571
26.564175 1.304803
26.674306 1.109534
26.629642 1.344739
26.653457 1.286411
26.613541 1.210439
26.675165 1.240046
26.706418 1.166503
26.728671 1.323479
26.792025 1.261289
26.879339 1.191287
26.753880 1.301655
26.674442 1.272319
26.713205 1.283963
26.635088 1.205902
26.745104 1.223615
26.723833 1.127516
26.711345 1.050244
26.701600 1.136015
26.621115 1.228724
26.618985 1.212202
26.741328 0.986739
26.726476 1.044265
26.799956 1.156152
26.744314 1.157730
26.747273 1.179500
26.829948 1.127306
26.736514 1.240693
26.594137 1.157193
26.685919 0.938904
26.650809 0.990713
26.768338 0.881820
26.759644 1.099563
26.740957 1.102706
26.677462 1.152022
26.671967 1.108824
26.814975 0.955630
26.736537 1.048513
26.789463 0.963700
26.626046 1.122004
26.548165 1.160736
26.527291 1.213278
26.533032 1.305895
26.602141 1.299181
26.710970 1.119446
26.855487 1.034564
26.754427 1.149722
26.743488 1.011371
26.603662 1.106431
26.574374 1.059296
26.622067 1.046586
26.529659 1.062392
26.620657 0.975284
26.742490 0.924077
26.760106 0.910821
26.690482 1.006838
26.668709 1.010044
26.518973 1.040072
26.400326 1.132849
26.429766 1.185024
26.535801 0.968543
26.682140 0.973997
26.749037 1.059898
26.769338 1.037672
26.655222 1.180015
