# Imag Bmag-Vmag
# F814W F555W-F814W
# Vega Mags
# Disk Gap region extracted from square X=[3000,3400), Y=[6000, 6400) from M51 image
23.955949 1.248564
23.983450 1.237161
23.953547 1.241010
23.955333 1.251243
24.014376 1.266484
24.046402 1.299790
24.072170 1.299413
24.070751 1.326100
24.043124 1.261720
24.009783 1.207200
23.915741 1.209490
23.861449 1.244029
23.855942 1.216571
23.848889 1.204842
23.834324 1.215772
23.884914 1.269123
23.931523 1.301574
23.976603 1.274356
23.988846 1.270173
24.008895 1.303411
24.022259 1.306440
24.010454 1.307228
24.014377 1.297311
23.996162 1.340262
24.008806 1.350601
24.019675 1.328462
24.035195 1.307233
24.015122 1.293988
23.979400 1.276962
23.929243 1.296210
23.948814 1.283034
23.982952 1.258610
24.036587 1.278911
24.111701 1.301213
24.156772 1.362580
24.176923 1.385433
24.205161 1.380417
24.214996 1.449361
24.229240 1.446813
24.259119 1.416827
24.282449 1.440385
24.313126 1.435798
24.352556 1.348865
24.342669 1.350366
24.318612 1.342883
24.307878 1.314867
24.272022 1.313142
24.221034 1.332557
24.218498 1.288382
24.184735 1.254469
24.115077 1.103154
23.891247 0.856211
23.617167 0.646555
23.602941 0.612180
23.702729 0.691783
23.757214 0.855559
23.832929 1.039580
23.870190 1.108300
23.881105 1.032975
23.914106 0.956037
24.047942 1.048693
24.072271 1.188863
24.059380 1.181118
24.016086 1.193959
23.999999 1.186670
24.016872 1.159888
24.043886 1.191649
24.081929 1.251411
24.111737 1.295500
24.080667 1.273054
24.033522 1.192101
24.012973 1.154724
24.020420 1.190398
24.015057 1.255786
24.027947 1.252750
24.034113 1.325768
24.072539 1.331679
24.091420 1.329777
24.062831 1.371975
24.076199 1.369612
24.126577 1.373870
24.135248 1.290350
24.126624 1.199551
24.116254 1.212988
24.107506 1.209046
24.055701 1.186386
24.181666 1.232427
24.365703 1.363102
24.463946 1.444608
24.515462 1.462526
24.535710 1.475328
24.555853 1.450198
24.600564 1.465748
24.599913 1.486594
24.564700 1.487874
24.531684 1.473957
24.486173 1.477775
24.416960 1.475641
24.373749 1.465385
24.362007 1.494800
24.371030 1.512850
24.349664 1.505216
24.311650 1.499157
24.204332 1.498803
24.143423 1.478147
24.123223 1.434354
23.875241 1.401009
23.586910 1.313248
23.668050 1.212590
23.922385 1.193037
24.124350 1.249902
24.262334 1.314286
24.367538 1.303650
24.343949 1.297848
24.331194 1.205898
24.448443 1.232970
24.414615 1.359627
24.398814 1.442297
24.533834 1.407670
24.545800 1.427210
24.558557 1.429779
24.543229 1.443715
24.487301 1.433074
24.402072 1.400465
24.345251 1.366285
24.362355 1.317431
24.454459 1.332100
24.504388 1.368993
24.504287 1.337954
24.539772 1.320571
24.548828 1.289600
24.560855 1.271997
24.557164 1.333517
24.572381 1.330454
24.574633 1.358543
24.555020 1.377169
24.519673 1.405365
24.458503 1.399366
24.541819 1.303624
23.901397 1.348784
23.891227 1.300050
23.878070 1.289767
23.867657 1.276594
23.869245 1.275014
23.814519 1.328425
23.822807 1.370009
23.894659 1.288288
23.922162 1.304782
23.954322 1.349185
24.006859 1.315754
24.026805 1.365737
24.029215 1.369285
24.008899 1.401991
23.983733 1.389358
23.976588 1.428624
23.929612 1.417512
23.894696 1.434378
23.888434 1.454021
23.900634 1.433333
23.889153 1.455692
23.818364 1.465366
23.770065 1.454991
23.740016 1.419609
23.705175 1.383498
23.695416 1.389517
23.648576 1.369557
23.620282 1.388589
23.641929 1.376152
23.649418 1.398636
23.638916 1.439868
23.666584 1.374300
23.663518 1.377412
23.650039 1.339454
23.635220 1.302193
23.606880 1.311068
23.607377 1.334397
23.663430 1.361849
23.721696 1.359395
23.717128 1.378468
