# Vega Mags
# Elliptical M49 region extracted from isophotes (40,43]
# Semi-Minor Axes (pix): (194.9, 259.4]
# Num Pixels: 63771
# Neff ~ 436^2
# zmag gmag-zmag
# F850LP F475W-F850LP
# 
23.066541 2.129419
23.051126 2.153363
23.045387 2.140857
23.055432 2.145122
23.048396 2.149305
23.040652 2.161788
23.037518 2.132267
23.062563 2.115211
23.036715 2.181265
23.027174 2.169547
23.022774 2.159181
23.040083 2.134977
23.061395 2.090470
23.036825 2.173849
23.028738 2.163011
23.023844 2.162161
23.024453 2.173252
23.025601 2.197458
23.023405 2.186282
23.033928 2.152062
23.012480 2.168187
23.033274 2.179677
23.079570 2.161563
23.096570 2.134409
23.073993 2.178081
23.037418 2.187525
23.074850 2.139739
23.073289 2.132052
23.060024 2.138081
23.076260 2.129387
23.039905 2.169947
23.040748 2.169061
23.033277 2.178951
23.067235 2.138593
23.068188 2.134998
23.050449 2.142873
23.060554 2.157519
23.050431 2.151976
23.047377 2.145426
23.042709 2.162314
23.050387 2.166577
23.044800 2.194629
23.066303 2.163752
23.080654 2.148687
23.058549 2.170169
23.045227 2.185685
23.036753 2.184453
23.063602 2.164728
23.042096 2.210338
23.054316 2.198763
23.077224 2.154970
23.086148 2.119670
23.096439 2.115989
23.101997 2.135304
23.094506 2.104510
23.068642 2.140522
23.063016 2.144115
23.077553 2.138987
23.068921 2.163039
23.105723 2.133006
23.101318 2.112439
23.083809 2.131848
23.080452 2.141953
23.078413 2.199967
23.102166 2.153240
23.072968 2.112860
23.090649 2.107398
23.068582 2.133910
23.065130 2.170271
23.068941 2.152459
23.078817 2.137876
23.092737 2.103389
23.081304 2.129925
23.075670 2.137888
23.074225 2.131609
23.035646 2.196792
23.044609 2.189850
23.067384 2.106921
23.056251 2.107733
23.052226 2.130557
23.026460 2.185895
23.027894 2.198669
23.031642 2.188811
23.037280 2.174425
23.049513 2.165159
23.048395 2.153864
23.050851 2.151614
23.042873 2.161833
23.028074 2.166184
23.039458 2.194576
23.041454 2.163976
23.061078 2.120524
23.045381 2.109142
23.028373 2.146329
23.029356 2.133552
23.031854 2.126013
23.027414 2.136087
23.028469 2.172700
23.067539 2.147510
23.072696 2.132454
23.038415 2.141627
23.024267 2.181049
23.007768 2.190352
23.036853 2.156386
23.053177 2.143403
23.073512 2.110857
23.062317 2.132284
23.071643 2.113680
23.059929 2.134761
23.046212 2.153428
23.047812 2.144996
23.047064 2.161050
23.050538 2.150874
23.057975 2.143636
23.037699 2.167149
23.020325 2.170956
23.018281 2.140967
23.029047 2.138199
23.028104 2.183158
23.015516 2.189425
23.035828 2.126261
23.025825 2.139442
23.028783 2.149557
23.010929 2.173246
23.006362 2.202832
23.005148 2.197144
23.010557 2.210648
23.022768 2.182044
23.037672 2.171189
23.049665 2.168639
23.069634 2.120770
23.026564 2.140326
23.068325 2.148238
23.056164 2.138557
23.058550 2.170984
23.065821 2.158945
23.046101 2.170492
23.035382 2.192660
23.045325 2.138900
23.069252 2.117766
23.058237 2.156062
23.068497 2.168079
23.074675 2.146080
23.067060 2.172209
23.058321 2.175949
23.024209 2.157437
23.070991 2.142781
23.065150 2.137272
23.072281 2.119952
23.077856 2.121883
23.053796 2.151052
23.049986 2.173713
23.055841 2.177115
23.079787 2.140170
23.058443 2.195921
23.049012 2.183167
23.052185 2.151920
23.059835 2.145926
23.091326 2.129802
23.085367 2.138055
23.066441 2.138904
23.054127 2.189084
23.075197 2.184273
23.079208 2.135147
23.073217 2.169574
23.073947 2.165747
23.055442 2.170273
23.123253 2.103358
23.053845 2.205671
23.084956 2.168654
23.095857 2.196611
23.067827 2.156946
23.078416 2.156241
23.081449 2.126177
23.088178 2.133125
23.087000 2.136550
23.080067 2.155138
23.059418 2.174257
