# Vega Mags
# m51b region extracted from square X=[2652,2908), Y=[10412, 10668) from M51 image
# Imag Vmag-Imag Bmag-Vmag
# F814W F555W-F814W F435W-F555W
25.021099 1.247554 0.915913
24.994115 1.174714 0.977003
25.069058 1.193584 0.814919
25.132984 1.185055 0.742975
25.120053 1.239692 0.763245
25.165360 1.145612 0.775645
25.104373 1.173438 0.856458
25.059109 1.278806 0.847883
25.089438 1.270444 0.769632
25.183672 1.142775 0.808665
25.204884 1.179583 0.853385
25.153921 1.260069 0.765463
25.137415 1.193812 0.827786
25.132195 1.183029 0.928358
25.065667 1.306107 0.830500
25.103596 1.292334 0.902020
25.121252 1.246960 0.823538
25.109518 1.257537 0.772331
25.126893 1.214845 0.897878
25.103531 1.344805 0.824377
25.142774 1.252900 0.871776
25.167325 1.288936 0.884004
25.176680 1.171478 0.999985
25.155734 1.218489 0.880939
25.158852 1.202509 0.879560
25.181851 1.298921 0.796946
25.229391 1.344063 0.761022
25.205709 1.288343 0.959791
25.126287 1.351630 0.934774
25.206400 1.288924 0.929061
25.207725 1.297770 0.864316
25.238943 1.211632 0.943528
25.214404 1.150694 0.858372
25.180066 1.287971 0.865470
25.130613 1.325911 0.831982
25.149996 1.270935 0.931163
25.126294 1.276236 0.843885
25.186159 1.276185 0.727543
25.210250 1.246331 0.844126
25.172865 1.230496 0.921837
25.127367 1.308318 0.836040
25.142360 1.233362 0.849077
25.063908 1.237466 0.977458
25.060556 1.201569 0.837179
25.104215 1.189229 0.815534
25.113438 1.183294 0.819746
25.109777 1.183912 0.827141
25.111660 1.198148 0.843847
25.098819 1.158505 0.871135
25.010963 1.230480 0.908819
25.021765 1.284180 0.812974
25.034391 1.336758 0.713716
25.156003 1.166504 0.798791
25.187158 1.124922 0.792419
25.133702 1.146944 0.865775
25.089235 1.220444 0.845612
25.068283 1.196401 0.873233
25.072521 1.153710 0.910603
25.014621 1.251477 0.891472
25.025219 1.264933 0.880339
25.027440 1.334267 0.736153
25.017317 1.268402 0.902822
25.028698 1.308165 0.828075
25.071644 1.207625 0.820491
25.078812 1.248239 0.819994
25.111362 1.159962 0.802881
25.179036 1.086611 0.839647
25.195771 1.120605 0.765490
25.162871 1.148022 0.811809
25.141905 1.218383 0.809321
25.131995 1.190904 0.740278
25.164129 1.161838 0.794317
25.152755 1.245310 0.741171
25.170392 1.203080 0.800789
25.164069 1.228431 0.686471
25.144893 1.252008 0.703619
25.121446 1.234608 0.816439
25.077831 1.198286 0.865865
25.102337 1.215916 0.816410
25.128329 1.226234 0.686944
25.145625 1.224489 0.742745
25.121265 1.167824 0.881533
25.059930 1.223281 0.877053
25.058087 1.199336 0.879707
25.061551 1.216649 0.840001
25.077744 1.188072 0.867615
25.132376 1.235337 0.751339
25.122928 1.302190 0.798113
25.104261 1.208591 0.897661
