# Imag Bmag-Vmag
# F814W F435W-F555W
# Vega Mags
# Disk Gap region extracted from square X=[3000,3400), Y=[6000, 6400) from M51 image
26.586459 0.793156
26.446031 0.953563
26.576145 0.802824
26.618068 0.960936
26.698283 0.934145
26.739530 0.805504
26.557186 0.741184
26.510432 0.768469
26.695834 0.843228
26.743637 0.783704
26.703711 0.593623
26.841031 0.688204
26.896070 0.636013
26.800935 0.773725
26.782442 0.939689
26.925569 0.900536
26.857581 0.852482
26.754866 0.802386
26.775448 0.710870
26.688651 0.756663
26.711061 0.808620
26.826804 0.699345
26.906133 0.514185
26.848175 0.612468
26.766038 0.593021
26.697761 0.660705
26.657157 0.618566
26.684076 0.540366
26.704896 0.699888
26.692402 0.714542
26.622361 0.815199
26.463829 0.685438
26.569285 0.872070
26.654598 0.929182
26.602462 0.689928
26.612513 0.733744
26.762343 0.846805
26.655434 0.847612
26.554554 0.692609
26.663354 0.943314
26.623637 0.684041
26.732085 0.746600
26.764892 0.596906
26.639444 0.803608
26.724151 0.722662
26.783365 0.622076
26.783604 0.567844
26.762900 0.542671
26.699460 0.758678
26.714595 0.628761
26.804363 0.667953
26.741319 0.643441
26.595034 0.727631
26.529981 0.534221
26.652970 0.650041
26.674912 0.971446
26.683788 0.721067
26.685317 0.630154
26.621611 0.721937
26.673096 0.705589
26.657361 0.750563
26.675343 0.708207
26.553455 0.762177
26.541282 0.803862
26.715401 0.834688
26.665163 0.844175
26.569806 0.691464
26.548922 0.828115
26.529733 0.958806
26.712329 0.822681
26.640359 0.861533
26.722317 0.931129
26.760759 0.942797
26.805582 0.656408
26.763466 0.750200
26.673504 0.840978
26.636573 0.657816
26.535518 0.823625
26.704098 0.949858
26.778236 0.778274
26.669821 0.818913
26.567527 0.835112
26.505696 0.686235
26.475557 0.762245
26.557510 0.760708
26.600703 1.034334
26.734047 0.816852
26.800147 0.913663
26.865615 0.508007
26.826089 0.556374
26.910554 0.820550
26.925019 0.808660
26.831162 0.817433
26.713078 0.588106
26.735811 0.693583
26.705959 0.836741
26.713239 1.053786
26.695027 0.944775
26.851716 0.665939
26.846206 0.680971
26.755178 0.638119
26.675838 0.664551
26.640811 0.600530
26.728960 0.808585
26.759235 0.805097
26.666799 0.806269
26.676900 0.679375
26.663892 0.717782
26.563210 0.651817
26.690750 0.671404
26.760086 0.770620
26.825284 0.808327
26.949890 0.784734
26.985692 0.786360
26.863537 0.812184
26.775646 0.878829
26.764724 0.798124
26.711262 0.843327
26.795194 0.670477
26.830978 0.806743
26.753393 0.773810
26.689937 0.675067
26.666506 0.799289
26.670545 0.781561
26.667718 0.866632
26.587829 0.680803
26.482982 0.870140
26.592666 0.931669
26.741440 0.826931
26.730178 0.888026
26.794291 0.776731
26.714524 0.889320
26.694694 0.665307
26.656230 0.721646
26.660559 0.886352
26.646335 0.757751
26.621810 0.683378
26.636107 0.721695
26.657281 0.826358
26.677365 0.852993
26.626691 0.643351
26.535591 0.816433
26.683277 0.970956
26.685978 0.782144
26.801879 0.614327
26.741113 0.737027
26.830928 0.901490
26.810979 0.809276
26.667995 0.893784
26.584792 0.767243
26.548356 0.779689
26.627944 0.836573
26.729579 0.769865
26.647953 0.746364
26.702147 0.667532
26.686389 0.644224
26.669472 0.701516
26.709710 0.578085
26.680885 0.721218
26.716867 0.849051
26.738853 0.723296
26.569150 0.622174
26.597090 0.697858
26.631268 0.712740
26.649877 0.854328
26.599711 0.838944
26.703544 0.764650
26.733409 0.818418
26.773208 0.850444
26.722066 0.629433
26.649370 0.819631
26.710809 0.598176
26.634800 0.577339
26.738183 0.725026
26.768925 0.704348
26.781142 0.596731
26.713536 0.575796
26.612391 0.747838
26.529818 0.814764
26.493156 0.670993
26.436713 0.699385
26.526462 0.850523
26.675051 0.609432
26.664977 0.769486
26.673241 0.741923
26.599288 0.609605
26.541184 0.854872
26.534849 0.743657
26.704944 0.610639
26.634808 0.740324
26.649450 0.820592
26.521206 0.885925
26.471374 0.659354
26.457881 0.813445
26.468761 0.710519
26.466844 0.758971
26.490434 0.854135
26.576685 0.688516
26.510675 0.653109
26.433579 0.805533
26.632395 0.592086
26.608480 0.720601
26.563493 0.665079
26.603168 0.506861
26.687957 0.536711
26.613604 0.622770
26.554245 0.751495
26.523979 0.604934
26.525497 0.351509
26.608097 0.475434
26.667066 0.672333
26.530270 0.721440
26.628425 0.676643
26.583921 0.771603
26.442223 0.719174
26.423911 0.685560
26.444825 0.669143
26.518054 0.652808
26.593606 0.702172
26.634558 0.669481
26.651294 0.671256
26.611098 0.633927
26.484705 0.662898
26.456295 0.533309
26.455903 0.492795
26.360800 0.465578
26.436148 0.391060
26.553833 0.576948
26.585548 0.621181
26.505131 0.577945
26.454581 0.639818
26.456271 0.602487
26.488279 0.616401
26.631350 0.673252
26.519139 0.765150
26.290878 0.687271
26.338990 0.808962
26.482505 0.653053
26.288491 0.513918
26.144293 0.496813
26.115401 0.327397
26.433379 0.279168
26.502850 0.586769
26.558897 0.534479
26.601421 0.512451
26.591837 0.672894
26.552171 0.592761
26.524434 0.583946
26.375038 0.770645
26.325866 0.650490
26.420759 0.646554
26.552535 0.639268
26.501874 0.740534
26.502941 0.690763
26.434029 0.526515
26.502630 0.894779
26.606599 0.744009
26.628287 0.664218
26.598174 0.671072
26.575604 0.795805
26.562059 0.896108
26.482191 0.755449
26.584655 0.882061
26.606835 0.704133
26.699644 0.720799
26.651011 0.736871
26.584430 0.753120
26.634161 0.783844
26.661625 0.670833
26.743070 0.686735
26.654512 0.763453
26.572024 0.736169
26.588488 0.641375
26.546435 0.670947
26.553703 0.860617
26.478633 0.823024
26.573621 0.697338
26.515986 0.681328
26.502914 0.620586
26.617172 0.731870
26.689419 0.879143
26.706156 0.733661
26.721193 0.415138
26.688780 0.624524
26.604501 0.680935
26.675656 0.711987
26.696726 0.675541
26.646032 0.685680
26.688060 0.763800
26.652445 0.648422
26.666302 0.558929
26.825506 0.590536
26.724474 0.820985
26.759668 0.724437
26.781560 0.698181
26.698858 0.740991
26.711704 0.738567
26.742890 0.946305
26.770607 0.801972
26.793701 0.660352
