# Imag Bmag-Vmag
# F814W F555W-F814W
# Vega Magnitudes
-2.970145 0.923757
-2.886972 0.858013
-2.994744 0.824549
-2.972540 0.925557
-2.989184 0.872546
-2.907289 0.853734
-2.948885 0.996376
-3.023309 1.024034
-3.175225 1.121455
-3.278153 1.110254
-3.004685 0.914327
-2.958595 0.931361
-2.917047 0.888660
-2.920848 0.892339
-2.999258 1.197081
-2.907167 0.981615
-2.854159 0.879051
-2.960777 0.940740
-2.991504 1.044278
-2.864873 0.970993
-3.016454 1.042755
-3.161441 1.010557
-3.107296 1.081812
-3.087746 1.003238
-3.085438 0.963862
-3.159518 1.144413
-3.185317 1.136806
-2.977864 0.822387
-2.996853 1.000529
-2.999024 1.093020
-3.033294 1.018740
-3.046039 1.067408
-3.153129 1.126730
-3.102988 1.110866
-3.089846 1.061803
-3.117546 1.032089
-3.105413 1.118973
-3.025008 1.164086
-3.016619 1.112106
-3.121763 1.207764
-3.241558 1.186399
-3.052131 1.013853
-3.126478 0.964892
-3.158484 1.159089
-3.084197 1.105981
-3.361122 1.312086
-3.726190 1.517300
-3.465391 1.289900
-3.142174 1.184736
-3.059222 1.047113
-2.951901 1.064403
-3.031655 1.034804
-2.867495 0.978298
-2.805175 1.046998
-2.920437 1.119234
-2.944397 1.232481
-2.912087 1.135504
-3.055803 1.178410
-3.022644 1.090022
-3.052134 1.116730
-2.929887 1.040880
-2.863321 1.178680
-2.942701 1.152384
-2.978031 1.007066
-3.030219 1.036594
-3.017693 1.112578
-2.924786 1.034982
-2.977262 1.147265
-2.898001 1.061752
-2.876268 1.056178
-2.974049 0.960792
-3.179208 1.211442
-3.128270 1.112571
-3.181289 1.301546
-3.321349 1.263783
-3.262903 1.307354
-3.045527 1.285801
-2.879004 1.100159
-2.930104 1.023106
-3.119044 1.313957
-3.118335 1.266427
-3.210067 1.315401
-3.102931 1.170516
-3.101856 1.148052
-3.080978 1.195292
-3.221406 1.263341
-3.091291 1.175622
-3.049368 1.199061
-2.969154 1.090989
-2.927906 1.159966
-3.110250 1.319680
-3.157004 1.355073
-2.971603 1.138301
-2.923800 1.187464
-2.963725 1.327752
-2.826405 1.110532
-2.771367 1.144107
-2.866502 1.103283
-2.884994 1.139961
-2.741867 0.956310
-2.809856 1.051744
-2.912571 1.113768
-2.891989 1.176341
-2.978785 1.169454
-2.956375 1.181291
-2.840633 1.127656
-2.761303 1.226282
-2.819261 1.246643
-2.901398 1.175896
-2.969676 1.029884
-3.010279 0.870363
-2.983361 0.736812
-2.962541 0.986394
-2.975035 1.143692
-3.045075 1.248178
-3.203607 1.288021
-3.098152 1.154245
-3.012839 1.057605
-3.064975 1.255287
-3.054923 1.277413
-2.905094 0.997617
-3.012003 1.093373
-3.112883 1.301645
-3.004082 1.062722
-3.043799 1.342528
-2.935351 1.100309
-2.902545 1.172583
-3.027992 1.166936
-2.943285 1.080112
-2.884072 1.221018
-2.883832 1.209323
-2.904537 1.215856
-2.967976 1.076237
-2.952842 1.245269
-2.863074 1.105278
-2.926118 1.176278
-3.072403 1.129570
-3.137456 1.110578
-3.014466 1.088127
-2.992525 1.038800
-2.983649 1.222512
-2.982120 1.215052
-3.045825 1.118103
-2.994340 0.988104
-3.010076 1.001368
-2.992093 1.151844
-3.113982 1.286669
-3.126155 1.204744
-2.952036 1.077319
-3.002273 1.097138
-3.097631 1.321400
-3.118514 1.271803
-3.137704 1.268792
-2.955108 1.205355
-3.027078 1.279584
-2.945120 1.194038
-2.906677 1.068793
-2.861854 1.218769
-2.903971 1.193142
-2.993932 1.031115
-3.030864 1.113929
-3.131918 1.219998
-2.963338 1.087293
-2.889200 1.015656
-2.997615 1.246643
-3.099909 1.170799
-3.161741 1.248380
-3.191879 1.339892
-3.109926 1.283698
-3.066734 1.117603
-2.933389 1.140439
-2.867289 0.923865
-2.801821 0.912009
-2.841347 1.053541
-2.756882 0.968278
-2.742418 1.071054
-2.836274 1.029180
-2.954359 1.290357
-2.931625 1.140973
-2.961477 1.067328
-2.954197 1.073929
-2.972410 1.153388
-2.815720 1.065936
-2.821230 1.082397
-2.912259 1.222875
-2.991599 1.280572
-3.026625 1.363877
-2.938477 1.106060
-2.908201 1.057786
-3.000638 1.172781
-2.990536 1.314088
-3.003544 1.159803
-3.104227 1.248260
-2.976686 1.177934
-2.907351 1.056718
-2.842153 1.034617
-2.717547 0.895078
-2.681745 0.923044
-2.803900 0.992637
-2.891791 0.947016
-2.902712 0.949340
-2.956175 1.056635
-2.872243 0.959109
-2.836459 0.985611
-2.914044 1.132975
-2.977500 1.168107
-3.000931 1.150622
-2.996892 1.191737
-2.999718 1.156086
-3.079607 1.317592
-3.184454 1.368055
-3.074771 1.196004
-2.925996 1.109068
-2.937258 1.108691
-2.873146 1.149712
-2.952912 1.085818
-2.972742 1.116587
-3.011206 1.179153
-3.006877 1.199019
-3.021102 1.183205
-3.045626 1.207752
-3.031329 1.208289
-3.010155 1.112830
-2.990071 1.128135
-3.040746 1.183605
-3.131845 1.158166
-2.984159 1.028565
-2.981458 1.139992
-2.865557 1.110733
-2.926324 1.059213
-2.836509 0.991385
-2.856458 0.998050
-2.999442 1.034524
-3.082644 1.122917
-3.119081 1.100984
-3.039492 1.056761
-2.937857 0.973812
-3.019484 1.152912
-2.965289 1.109323
-2.981048 1.124470
-2.997965 1.098829
-2.957726 1.174134
-2.986552 1.062089
-2.950570 1.021812
-2.928583 1.048787
-3.098287 1.313171
-3.070346 1.241589
-3.036168 1.211176
-3.017560 1.000194
-3.067726 1.163962
-2.963893 1.072318
-2.934027 1.029540
-2.894228 0.953841
-2.945370 1.096959
-3.018067 1.045565
-2.956627 1.162787
-3.032637 1.006058
-2.929253 0.917774
-2.898512 0.915406
-2.886294 1.013500
-2.953900 1.026557
-3.055045 1.055455
-3.137618 0.983800
-3.174280 1.005656
-3.230724 1.234133
-3.140974 1.099485
-2.992386 0.965688
-3.002459 0.975828
-2.994196 0.925533
-3.068149 1.178648
-3.126252 1.014056
-3.132587 1.107234
-2.962492 1.051865
-3.032629 1.005102
-3.017986 1.019117
-3.146230 1.197368
-3.196063 1.357542
-3.209555 1.109725
-3.198676 1.197683
-3.200592 1.176797
-3.177003 1.099616
-3.090751 0.988376
-3.156762 1.077864
-3.233857 1.007122
-3.035042 1.039074
-3.058956 0.973271
-3.103943 0.980353
-3.064268 1.014778
-2.979479 1.048973
-3.053832 1.093275
-3.113192 0.999039
-3.143457 0.937807
-3.141940 0.920557
-3.059340 0.838275
-3.000370 0.926907
-3.137166 1.134806
-3.039012 1.048848
-3.083516 0.896536
-3.225213 1.038195
-3.243525 1.087564
-3.222611 1.087592
-3.149382 1.015375
-3.073830 0.990051
-3.032879 1.043283
-3.016142 0.989986
-3.056338 1.040751
-3.182732 1.018603
-3.211142 1.030654
-3.211533 0.900017
-3.306637 0.634636
-3.231289 0.781224
-3.113603 0.866865
-3.081889 0.958534
-3.162306 1.139304
-3.212855 1.178281
-3.211166 1.166772
-3.179157 1.017297
-3.036087 0.900027
-3.148298 0.895894
-3.376558 1.185796
-3.328446 1.137926
-3.184932 1.122175
-3.378945 1.050153
-3.523144 0.791287
-3.552036 0.641253
-3.234057 0.757116
-3.164587 0.998259
-3.108540 1.141483
-3.066016 1.182165
-3.075599 1.089201
-3.115266 1.031896
-3.143002 1.015248
-3.292398 1.119152
-3.341570 1.190485
-3.246677 1.152089
-3.114902 1.065894
-3.165563 1.025008
-3.164495 1.034543
-3.233408 1.191280
-3.164806 0.973726
-3.060837 1.011185
-3.039149 1.139119
-3.069263 1.095911
-3.091833 1.071883
-3.105377 1.002015
-3.185245 1.135342
-3.082782 0.996522
-3.060601 0.992415
-2.967793 0.956569
-3.016425 1.051363
-3.083007 1.009990
-3.033276 0.968030
-3.005811 1.059548
-2.924366 0.971762
-3.012925 1.002288
-3.095412 1.113604
-3.078948 1.122430
-3.121001 1.124528
-3.113734 1.058805
-3.188803 1.087170
-3.093816 1.124512
-3.151451 1.084083
-3.164523 1.198254
-3.050264 1.036303
-2.978017 0.963354
-2.961281 0.923208
-2.946244 1.157890
-2.978656 1.034080
-3.062935 1.117817
-2.991780 0.961008
-2.970710 1.013452
-3.021405 1.146102
-2.979376 0.899149
-3.014991 1.019500
-3.001134 1.091913
-2.841930 0.979094
-2.942963 0.897071
-2.907769 0.880606
-2.885877 0.858447
-2.968579 1.052671
-2.955732 1.063067
-2.924547 0.950040
-2.896830 0.934202
-2.873735 0.928633
-2.880268 0.826673
-2.928223 0.838583
-2.958118 0.967471
-2.936822 0.901344
-2.904563 0.915775
-3.091292 1.229689
-3.037960 1.049733
-2.981423 0.964630
-2.927897 1.016850
-3.032148 1.097577
-3.006894 1.143841
-2.864182 1.024858
-2.878882 1.002731
-2.927679 1.108606
-2.977796 0.976177
-3.072651 0.967683
-3.095610 0.969397
-2.930170 0.907697
-2.992373 0.936271
-3.083626 0.950608
-3.091741 1.041086
-3.082840 0.994740
-3.015305 0.987885
-3.142995 1.193639
-3.323521 1.289260
-3.239574 1.115624
-3.008039 0.925459
-2.981545 0.900446
-2.936013 1.080924
-2.960113 0.974227
-3.134488 1.112747
-3.124922 1.214581
-2.987419 1.187558
-2.909396 1.012960
-2.922230 1.002267
-2.849061 0.866952
-2.934877 0.965369
-3.190670 1.295210
-3.154735 1.232534
-3.105234 1.132599
-3.119537 1.156913
-3.180849 1.182442
-3.124480 1.171905
-2.959328 1.033792
-2.867486 0.971102
-2.860512 1.085220
-2.959869 1.040605
-3.091936 1.180610
-3.128021 1.089411
-3.050065 0.998074
-3.023379 0.931863
-3.117985 1.064539
-3.069885 0.997383
-2.982296 1.191721
-2.898681 1.058014
-3.032774 1.055485
-3.222334 1.220334
-3.120980 1.168807
-3.183321 1.208255
-3.165625 1.254574
-3.154312 1.059635
-3.179211 1.119752
-3.356588 1.206188
-3.295547 1.306190
-3.149841 1.122273
-3.027397 1.072390
-2.837589 1.035874
-2.804871 0.895113
-2.780245 0.802781
-2.822074 0.982271
-2.865858 1.075332
-2.985021 1.024466
-3.065156 1.078322
-3.024994 1.102924
-2.955299 1.022816
-2.960942 0.974754
-2.847201 0.916510
-2.889230 1.092800
-2.986463 1.122290
-2.902558 1.001168
-2.937397 0.978703
-2.971406 1.183838
-2.919339 1.097506
-2.963267 1.085654
-2.953929 1.153736
-2.901634 0.896720
-3.007013 1.074956
-2.953510 0.958345
-2.962311 1.165082
-3.030397 1.238538
-3.199791 1.168170
-3.154956 1.287112
-3.035381 1.183280
-2.987971 1.117002
-2.999715 0.891831
-3.201484 1.168448
-3.204265 1.349193
-3.241645 1.303173
-3.160570 1.183686
-3.146683 1.142915
-3.153407 1.196658
-3.263044 1.255293
-3.193609 1.240052
-3.094682 1.234177
-3.061022 1.048606
-3.054469 1.205943
-3.048977 1.150396
-3.022242 1.157408
-3.046632 1.177535
-2.933599 0.992311
-2.932561 1.296278
-2.847460 1.076107
-2.769601 1.029508
-2.879072 1.009507
-2.893716 1.092397
-2.849260 1.257930
-2.871401 1.378388
-2.896249 1.010116
-2.993632 1.193947
-3.013410 1.405539
-2.898442 1.239051
-2.827623 1.106963
-2.837654 1.102701
-2.858193 1.090675
-2.938925 1.145468
-2.972873 1.196274
-2.916494 1.064249
-2.970533 0.884588
-2.978372 0.988882
-3.008356 1.101252
-3.061295 1.196344
-3.185463 1.323149
-3.077867 1.231473
-3.041277 1.137211
-3.118961 1.314897
-3.016085 1.223361
-2.935732 1.054517
-2.888949 1.015951
-3.075751 1.246444
-2.975810 1.177620
-2.907902 1.176123
-2.872686 1.079191
-2.887332 1.026565
-2.930863 1.022215
-2.974017 1.109137
-2.942263 1.165068
-2.880893 1.101774
-2.867265 1.014153
-2.820758 1.094981
-2.786516 1.221979
-2.853147 1.031071
-3.017137 1.283289
-3.036738 1.305476
-2.951295 1.095028
-3.019958 1.012931
-2.984575 1.159548
-3.126534 1.338066
-3.159553 1.250959
-3.146529 1.121026
-3.105509 1.136677
-3.092664 1.158617
-3.026768 1.161040
-3.097327 1.183774
-3.127131 1.207851
-3.013334 1.018557
-3.126470 1.025965
-3.153469 1.224676
-3.120792 1.371892
-3.007274 1.254619
-2.923952 1.318346
-2.899784 1.221107
-2.975404 1.218459
-3.064421 1.179880
-3.108042 1.288673
-3.142226 1.140263
-3.163555 1.119293
-3.184310 1.106901
-3.035788 1.057181
-2.993127 1.196207
-2.945310 1.227849
-2.948692 1.163341
-3.091756 1.039163
-3.046002 1.137735
-2.980045 1.266761
-3.000525 1.286748
-2.988953 1.044110
-2.907399 0.993667
-2.819561 0.862300
-2.861855 1.091594
-2.897789 1.109022
-2.876960 1.192805
-2.810705 1.012397
-2.899124 1.236242
-2.983808 1.290624
-3.016325 1.256377
-3.087869 1.264232
-2.950031 1.128307
-2.954864 1.239338
-2.916324 1.189491
-2.816133 1.031790
-2.929574 1.265224
-3.044565 1.185878
-3.144350 1.212306
-3.063467 1.191030
-3.038959 1.099956
-2.915459 1.171186
-2.907025 1.128890
-2.947456 1.079017
-2.929219 0.967872
-2.857902 1.117216
-2.923598 1.134992
-2.898470 1.087348
-2.855469 0.986066
-2.782153 0.932011
-2.841695 0.957325
-2.887754 1.060297
-2.833413 0.919393
-2.901271 1.112505
-2.942397 1.112157
-2.863259 1.031505
-2.973524 1.186791
-3.034632 1.254138
-2.977875 1.181002
-2.985133 1.214428
-3.064403 1.183935
-3.111533 1.154835
-3.235454 1.351799
-3.062124 1.228307
-3.093949 1.213007
-2.979856 1.074443
-2.922534 1.173837
-2.951506 1.153459
-2.945745 1.191351
-2.985530 1.182950
-2.951816 1.092009
-3.109578 1.294763
-2.973483 1.176280
-2.957965 1.183475
-2.986115 1.272959
-2.918634 1.313004
-2.810731 1.145495
-2.926344 1.080114
-2.969188 1.079285
-2.987728 1.075193
-2.883674 1.100211
-2.861178 1.069730
-2.770053 1.012152
-2.855657 1.042383
-2.900017 1.078904
-3.006226 1.081496
-3.048689 1.020930
-2.950663 1.098923
-2.959874 1.134744
-3.034210 1.195811
-3.050326 1.235416
-3.005409 1.110220
-2.928163 0.929560
-2.987647 1.164799
-3.018812 1.208260
-2.903225 1.042517
-2.961837 1.138693
-3.047021 1.218197
-3.009525 1.132603
-3.103747 1.233014
-3.087637 1.147949
-3.045560 1.120478
-3.016189 1.105994
-2.869770 0.985877
-2.910161 1.030930
-2.934893 1.021311
-2.899042 0.960954
-2.919224 1.158687
-2.872198 1.062208
-2.947921 1.012398
-2.943767 0.935011
-3.055985 1.114709
-2.943949 0.940710
-3.096490 1.176506
-3.173348 1.215779
-3.139723 1.035244
-3.041823 0.993659
-3.123950 1.052539
-3.067924 0.919925
-3.198969 0.970380
-3.244492 0.990820
-2.965409 0.872753
-3.052328 1.090909
-3.008438 1.038793
-3.030588 1.182029
-2.995161 1.211658
-3.009812 0.979876
-3.150643 1.220953
-3.295527 1.347142
-3.489790 1.466857
-3.517272 1.396413
-3.249224 1.189171
-3.173319 1.151731
-3.129527 1.134031
-3.257252 1.127652
-3.311710 1.138786
-3.088145 0.899771
-3.011861 0.897400
-3.144610 1.064194
-3.108440 1.088313
-2.978151 0.904781
-3.091482 1.007960
-3.188847 1.091118
-3.224256 1.113871
-3.008282 0.906434
-2.962839 0.896330
-3.079186 0.957709
-3.186077 1.104040
-3.109014 1.103273
-3.112898 1.024112
-3.175395 1.061073
-3.288592 1.115324
-3.311224 1.066432
-3.143375 0.989537
-3.067917 0.988322
-2.968196 0.961520
-3.064406 1.085617
-3.037013 1.008235
-3.093662 1.003723
-3.135140 1.070533
-3.179982 1.050084
-3.217884 0.723875
-3.116048 0.920681
-3.062776 0.988550
-3.034782 1.010028
-3.171868 0.989581
-3.403068 1.355513
-3.263643 1.060424
-3.151485 0.931225
-3.230142 0.929814
-3.313287 0.954529
-3.364006 1.156243
-3.229998 0.958774
-3.217595 1.041987
-3.262535 0.976454
-3.391580 0.959518
-3.307425 0.925105
-3.203705 1.060019
-3.141677 1.069959
-3.143713 1.178602
-3.028455 1.268709
-3.049738 1.103406
-3.091448 1.045353
-3.160849 1.012044
-3.360770 1.218297
-3.316112 1.240253
-3.285521 1.127204
-3.139462 0.995605
-3.143114 1.042912
-3.224396 1.077966
-3.283091 1.256099
-3.239150 1.241822
-3.100939 0.999855
-3.096750 1.041917
-3.044839 1.072625
-3.166265 1.071732
-3.076775 0.994058
-3.040027 0.931881
-3.044699 0.984216
-3.016635 0.982245
-2.917179 1.072060
-3.012181 1.064653
-2.972065 0.928981
-3.008795 0.892757
-3.004992 0.921547
-2.913264 0.820594
-3.056324 1.075427
-3.032827 1.055292
-3.126985 1.130624
-3.208283 1.193445
-3.328789 1.215496
-3.398997 1.138901
-3.208649 1.133149
-3.138071 1.137199
-3.147223 1.162152
-2.978518 1.005308
-2.946705 0.892904
-3.053013 1.036026
-3.032526 1.101961
-2.972357 0.997245
-3.096586 0.980285
-3.120179 0.927404
-2.975606 0.928189
-3.108287 1.150668
-3.042689 1.037800
-3.034397 0.978596
-2.887402 0.874098
-2.893780 0.915607
-2.885027 0.919275
-2.903811 0.900045
-3.031011 0.998376
-3.017928 1.023566
-3.046183 0.962006
-3.031805 1.116286
-2.977892 1.055444
-2.922819 1.078657
-2.846971 0.868843
-3.004425 0.994512
-3.087739 0.924138
-3.037964 1.071364
-3.042553 1.069635
-2.964100 1.180767
-3.074529 1.076506
-3.046848 1.031632
-2.997021 1.038674
-3.026083 1.050832
-2.963372 1.144536
-2.910804 1.065156
-2.872193 1.046922
-2.904582 0.995475
-2.868482 0.852642
-3.099583 1.011182
-3.101787 1.006710
